Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911374
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/19/2020,00:00:00,16.19,G
Aliquot_Num,03/19/2020,00:00:00,47,G
Flow_cfs,03/19/2020,00:00:00,38.78,G
Curr_pacing,03/19/2020,00:00:00,25000.00,G
FlowVolume,03/19/2020,00:00:00,6912.07,G
PT Level,03/19/2020,00:01:00,16.18,G
Flow_cfs,03/19/2020,00:01:00,38.74,G
FlowVolume,03/19/2020,00:01:00,9236.42,G
PT Level,03/19/2020,00:02:00,16.18,G
Flow_cfs,03/19/2020,00:02:00,38.74,G
FlowVolume,03/19/2020,00:02:00,11560.77,G
PT Level,03/19/2020,00:03:00,16.18,G
Flow_cfs,03/19/2020,00:03:00,38.74,G
FlowVolume,03/19/2020,00:03:00,13885.12,G
PT Level,03/19/2020,00:04:00,16.17,G
Flow_cfs,03/19/2020,00:04:00,38.70,G
FlowVolume,03/19/2020,00:04:00,16206.86,G
PT Level,03/19/2020,00:05:00,16.16,G
Aliquot_Num,03/19/2020,00:05:00,47,G
Flow_cfs,03/19/2020,00:05:00,38.65,G
Curr_pacing,03/19/2020,00:05:00,25000.00,G
FlowVolume,03/19/2020,00:05:00,18525.99,G
PT Level,03/19/2020,00:06:00,16.19,G
Flow_cfs,03/19/2020,00:06:00,38.78,G
FlowVolume,03/19/2020,00:06:00,20852.94,G
PT Level,03/19/2020,00:07:00,16.19,G
Flow_cfs,03/19/2020,00:07:00,38.78,G
FlowVolume,03/19/2020,00:07:00,23179.90,G
PT Level,03/19/2020,00:08:00,16.17,G
Flow_cfs,03/19/2020,00:08:00,38.70,G
Triggered S,03/19/2020,00:08:00,48,G
VolumeTrig,03/19/2020,00:08:00,25501.64,G
FlowVolume,03/19/2020,00:08:00,501.64,G
Client Conn,03/19/2020,00:08:44,73,G
PT Level,03/19/2020,00:09:00,16.18,G
Flow_cfs,03/19/2020,00:09:00,38.74,G
FlowVolume,03/19/2020,00:09:00,2825.99,G
PT Level,03/19/2020,00:10:00,16.18,G
Aliquot_Num,03/19/2020,00:10:00,48,G
Flow_cfs,03/19/2020,00:10:00,38.74,G
Curr_pacing,03/19/2020,00:10:00,25000.00,G
FlowVolume,03/19/2020,00:10:00,5150.34,G
PT Level,03/19/2020,00:11:00,16.18,G
Flow_cfs,03/19/2020,00:11:00,38.74,G
FlowVolume,03/19/2020,00:11:00,7474.68,G
PT Level,03/19/2020,00:12:00,16.16,G
Flow_cfs,03/19/2020,00:12:00,38.65,G
FlowVolume,03/19/2020,00:12:00,9793.81,G
PT Level,03/19/2020,00:13:00,16.19,G
Flow_cfs,03/19/2020,00:13:00,38.78,G
FlowVolume,03/19/2020,00:13:00,12120.77,G
PT Level,03/19/2020,00:14:00,16.16,G
Flow_cfs,03/19/2020,00:14:00,38.65,G
FlowVolume,03/19/2020,00:14:00,14439.90,G
PT Level,03/19/2020,00:15:00,16.17,G
Aliquot_Num,03/19/2020,00:15:00,48,G
Flow_cfs,03/19/2020,00:15:00,38.70,G
Curr_pacing,03/19/2020,00:15:00,25000.00,G
FlowVolume,03/19/2020,00:15:00,16761.64,G
PT Level,03/19/2020,00:16:00,16.19,G
Flow_cfs,03/19/2020,00:16:00,38.78,G
FlowVolume,03/19/2020,00:16:00,19088.60,G
PT Level,03/19/2020,00:17:00,16.17,G
Flow_cfs,03/19/2020,00:17:00,38.70,G
FlowVolume,03/19/2020,00:17:00,21410.34,G
PT Level,03/19/2020,00:18:00,16.16,G
Flow_cfs,03/19/2020,00:18:00,38.65,G
FlowVolume,03/19/2020,00:18:00,23729.47,G
PT Level,03/19/2020,00:19:00,16.15,G
Flow_cfs,03/19/2020,00:19:00,38.61,G
Triggered S,03/19/2020,00:19:00,49,G
VolumeTrig,03/19/2020,00:19:00,26045.99,G
FlowVolume,03/19/2020,00:19:00,1045.99,G
PT Level,03/19/2020,00:20:00,16.17,G
Aliquot_Num,03/19/2020,00:20:00,49,G
Flow_cfs,03/19/2020,00:20:00,38.70,G
Curr_pacing,03/19/2020,00:20:00,25000.00,G
FlowVolume,03/19/2020,00:20:00,3367.73,G
PT Level,03/19/2020,00:21:00,16.17,G
Flow_cfs,03/19/2020,00:21:00,38.70,G
FlowVolume,03/19/2020,00:21:00,5689.47,G
PT Level,03/19/2020,00:22:00,16.17,G
Flow_cfs,03/19/2020,00:22:00,38.70,G
FlowVolume,03/19/2020,00:22:00,8011.21,G
PT Level,03/19/2020,00:23:00,16.16,G
Flow_cfs,03/19/2020,00:23:00,38.65,G
FlowVolume,03/19/2020,00:23:00,10330.34,G
PT Level,03/19/2020,00:24:00,16.15,G
Flow_cfs,03/19/2020,00:24:00,38.61,G
FlowVolume,03/19/2020,00:24:00,12646.86,G
PT Level,03/19/2020,00:25:00,16.16,G
Aliquot_Num,03/19/2020,00:25:00,49,G
Flow_cfs,03/19/2020,00:25:00,38.65,G
Curr_pacing,03/19/2020,00:25:00,25000.00,G
FlowVolume,03/19/2020,00:25:00,14965.99,G
PT Level,03/19/2020,00:26:00,16.15,G
Flow_cfs,03/19/2020,00:26:00,38.61,G
FlowVolume,03/19/2020,00:26:00,17282.51,G
PT Level,03/19/2020,00:27:00,16.16,G
Flow_cfs,03/19/2020,00:27:00,38.65,G
FlowVolume,03/19/2020,00:27:00,19601.64,G
PT Level,03/19/2020,00:28:00,16.16,G
Flow_cfs,03/19/2020,00:28:00,38.65,G
FlowVolume,03/19/2020,00:28:00,21920.77,G
PT Level,03/19/2020,00:29:00,16.15,G
Flow_cfs,03/19/2020,00:29:00,38.61,G
FlowVolume,03/19/2020,00:29:00,24237.29,G
PT Level,03/19/2020,00:30:00,16.16,G
Aliquot_Num,03/19/2020,00:30:00,49,G
Flow_cfs,03/19/2020,00:30:00,38.65,G
Curr_pacing,03/19/2020,00:30:00,25000.00,G
Triggered S,03/19/2020,00:30:00,50,G
VolumeTrig,03/19/2020,00:30:00,26556.42,G
FlowVolume,03/19/2020,00:30:00,1556.42,G
PT Level,03/19/2020,00:31:00,16.15,G
Flow_cfs,03/19/2020,00:31:00,38.61,G
FlowVolume,03/19/2020,00:31:00,3872.94,G
PT Level,03/19/2020,00:32:00,16.17,G
Flow_cfs,03/19/2020,00:32:00,38.70,G
FlowVolume,03/19/2020,00:32:00,6194.68,G
PT Level,03/19/2020,00:33:00,16.16,G
Flow_cfs,03/19/2020,00:33:00,38.65,G
FlowVolume,03/19/2020,00:33:00,8513.81,G
PT Level,03/19/2020,00:34:00,16.16,G
Flow_cfs,03/19/2020,00:34:00,38.65,G
FlowVolume,03/19/2020,00:34:00,10832.94,G
PT Level,03/19/2020,00:35:00,16.15,G
Aliquot_Num,03/19/2020,00:35:00,50,G
Flow_cfs,03/19/2020,00:35:00,38.61,G
Curr_pacing,03/19/2020,00:35:00,25000.00,G
FlowVolume,03/19/2020,00:35:00,13149.47,G
PT Level,03/19/2020,00:36:00,16.16,G
Flow_cfs,03/19/2020,00:36:00,38.65,G
FlowVolume,03/19/2020,00:36:00,15468.60,G
PT Level,03/19/2020,00:37:00,16.15,G
Flow_cfs,03/19/2020,00:37:00,38.61,G
FlowVolume,03/19/2020,00:37:00,17785.12,G
PT Level,03/19/2020,00:38:00,16.16,G
Flow_cfs,03/19/2020,00:38:00,38.65,G
FlowVolume,03/19/2020,00:38:00,20104.25,G
PT Level,03/19/2020,00:39:00,16.16,G
Flow_cfs,03/19/2020,00:39:00,38.65,G
FlowVolume,03/19/2020,00:39:00,22423.38,G
PT Level,03/19/2020,00:40:00,16.14,G
Aliquot_Num,03/19/2020,00:40:00,50,G
Flow_cfs,03/19/2020,00:40:00,38.57,G
Curr_pacing,03/19/2020,00:40:00,25000.00,G
FlowVolume,03/19/2020,00:40:00,24737.29,G
PT Level,03/19/2020,00:41:00,16.16,G
Flow_cfs,03/19/2020,00:41:00,38.65,G
Triggered S,03/19/2020,00:41:00,51,G
VolumeTrig,03/19/2020,00:41:00,27056.42,G
FlowVolume,03/19/2020,00:41:00,2056.42,G
PT Level,03/19/2020,00:42:00,16.18,G
Flow_cfs,03/19/2020,00:42:00,38.74,G
FlowVolume,03/19/2020,00:42:00,4380.77,G
PT Level,03/19/2020,00:43:00,16.17,G
Flow_cfs,03/19/2020,00:43:00,38.70,G
FlowVolume,03/19/2020,00:43:00,6702.51,G
PT Level,03/19/2020,00:44:00,16.19,G
Flow_cfs,03/19/2020,00:44:00,38.78,G
FlowVolume,03/19/2020,00:44:00,9029.47,G
PT Level,03/19/2020,00:45:00,16.20,G
Aliquot_Num,03/19/2020,00:45:00,51,G
Flow_cfs,03/19/2020,00:45:00,38.83,G
Curr_pacing,03/19/2020,00:45:00,25000.00,G
FlowVolume,03/19/2020,00:45:00,11359.03,G
