Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911368
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/19/2020,00:00:00,10.79,G
Aliquot_Num,03/19/2020,00:00:00,19,G
Flow_cfs,03/19/2020,00:00:00,12.39,G
Curr_pacing,03/19/2020,00:00:00,10000.00,G
FlowVolume,03/19/2020,00:00:00,6814.80,G
Client Conn,03/19/2020,00:00:48,51,G
PT Level,03/19/2020,00:01:00,10.65,G
Flow_cfs,03/19/2020,00:01:00,11.93,G
FlowVolume,03/19/2020,00:01:00,7530.51,G
PT Level,03/19/2020,00:02:00,10.81,G
Flow_cfs,03/19/2020,00:02:00,12.46,G
FlowVolume,03/19/2020,00:02:00,8278.37,G
PT Level,03/19/2020,00:03:00,10.85,G
Flow_cfs,03/19/2020,00:03:00,12.59,G
FlowVolume,03/19/2020,00:03:00,9033.99,G
PT Level,03/19/2020,00:04:00,10.86,G
Flow_cfs,03/19/2020,00:04:00,12.62,G
FlowVolume,03/19/2020,00:04:00,9791.49,G
PT Level,03/19/2020,00:05:00,10.80,G
Aliquot_Num,03/19/2020,00:05:00,19,G
Flow_cfs,03/19/2020,00:05:00,12.43,G
Curr_pacing,03/19/2020,00:05:00,10000.00,G
Triggered S,03/19/2020,00:05:00,20,G
VolumeTrig,03/19/2020,00:05:00,10537.21,G
FlowVolume,03/19/2020,00:05:00,537.21,G
PT Level,03/19/2020,00:06:00,10.68,G
Flow_cfs,03/19/2020,00:06:00,12.03,G
FlowVolume,03/19/2020,00:06:00,1259.08,G
PT Level,03/19/2020,00:07:00,10.62,G
Flow_cfs,03/19/2020,00:07:00,11.82,G
FlowVolume,03/19/2020,00:07:00,1968.37,G
PT Level,03/19/2020,00:08:00,10.42,G
Flow_cfs,03/19/2020,00:08:00,11.09,G
FlowVolume,03/19/2020,00:08:00,2633.99,G
PT Level,03/19/2020,00:09:00,10.54,G
Flow_cfs,03/19/2020,00:09:00,11.54,G
FlowVolume,03/19/2020,00:09:00,3326.14,G
PT Level,03/19/2020,00:10:00,10.41,G
Aliquot_Num,03/19/2020,00:10:00,20,G
Flow_cfs,03/19/2020,00:10:00,11.06,G
Curr_pacing,03/19/2020,00:10:00,10000.00,G
FlowVolume,03/19/2020,00:10:00,3989.89,G
PT Level,03/19/2020,00:11:00,10.39,G
Flow_cfs,03/19/2020,00:11:00,11.00,G
FlowVolume,03/19/2020,00:11:00,4649.89,G
PT Level,03/19/2020,00:12:00,10.32,G
Flow_cfs,03/19/2020,00:12:00,10.78,G
FlowVolume,03/19/2020,00:12:00,5296.76,G
PT Level,03/19/2020,00:13:00,10.09,G
Flow_cfs,03/19/2020,00:13:00,10.14,G
FlowVolume,03/19/2020,00:13:00,5905.09,G
PT Level,03/19/2020,00:14:00,10.29,G
Flow_cfs,03/19/2020,00:14:00,10.70,G
FlowVolume,03/19/2020,00:14:00,6547.09,G
PT Level,03/19/2020,00:15:00,10.24,G
Aliquot_Num,03/19/2020,00:15:00,20,G
Flow_cfs,03/19/2020,00:15:00,10.57,G
Curr_pacing,03/19/2020,00:15:00,10000.00,G
FlowVolume,03/19/2020,00:15:00,7181.59,G
PT Level,03/19/2020,00:16:00,10.41,G
Flow_cfs,03/19/2020,00:16:00,11.06,G
FlowVolume,03/19/2020,00:16:00,7845.34,G
PT Level,03/19/2020,00:17:00,10.13,G
Flow_cfs,03/19/2020,00:17:00,10.25,G
FlowVolume,03/19/2020,00:17:00,8460.34,G
PT Level,03/19/2020,00:18:00,10.15,G
Flow_cfs,03/19/2020,00:18:00,10.31,G
FlowVolume,03/19/2020,00:18:00,9079.09,G
PT Level,03/19/2020,00:19:00,10.03,G
Flow_cfs,03/19/2020,00:19:00,9.98,G
FlowVolume,03/19/2020,00:19:00,9677.73,G
PT Level,03/19/2020,00:20:00,10.09,G
Aliquot_Num,03/19/2020,00:20:00,20,G
Flow_cfs,03/19/2020,00:20:00,10.14,G
Curr_pacing,03/19/2020,00:20:00,10000.00,G
Triggered S,03/19/2020,00:20:00,21,G
VolumeTrig,03/19/2020,00:20:00,10286.06,G
FlowVolume,03/19/2020,00:20:00,286.06,G
PT Level,03/19/2020,00:21:00,10.02,G
Flow_cfs,03/19/2020,00:21:00,9.95,G
FlowVolume,03/19/2020,00:21:00,883.34,G
PT Level,03/19/2020,00:22:00,10.08,G
Flow_cfs,03/19/2020,00:22:00,10.11,G
FlowVolume,03/19/2020,00:22:00,1490.00,G
PT Level,03/19/2020,00:23:00,10.32,G
Flow_cfs,03/19/2020,00:23:00,10.78,G
FlowVolume,03/19/2020,00:23:00,2136.88,G
PT Level,03/19/2020,00:24:00,9.87,G
Flow_cfs,03/19/2020,00:24:00,9.58,G
FlowVolume,03/19/2020,00:24:00,2711.88,G
PT Level,03/19/2020,00:25:00,10.10,G
Aliquot_Num,03/19/2020,00:25:00,21,G
Flow_cfs,03/19/2020,00:25:00,10.17,G
Curr_pacing,03/19/2020,00:25:00,10000.00,G
FlowVolume,03/19/2020,00:25:00,3321.88,G
PT Level,03/19/2020,00:26:00,10.08,G
Flow_cfs,03/19/2020,00:26:00,10.11,G
FlowVolume,03/19/2020,00:26:00,3928.54,G
PT Level,03/19/2020,00:27:00,10.13,G
Flow_cfs,03/19/2020,00:27:00,10.25,G
FlowVolume,03/19/2020,00:27:00,4543.54,G
PT Level,03/19/2020,00:28:00,9.93,G
Flow_cfs,03/19/2020,00:28:00,9.75,G
FlowVolume,03/19/2020,00:28:00,5128.54,G
PT Level,03/19/2020,00:29:00,10.00,G
Flow_cfs,03/19/2020,00:29:00,9.91,G
FlowVolume,03/19/2020,00:29:00,5723.09,G
PT Level,03/19/2020,00:30:00,10.19,G
Aliquot_Num,03/19/2020,00:30:00,21,G
Flow_cfs,03/19/2020,00:30:00,10.44,G
Curr_pacing,03/19/2020,00:30:00,10000.00,G
FlowVolume,03/19/2020,00:30:00,6349.34,G
PT Level,03/19/2020,00:31:00,10.07,G
Flow_cfs,03/19/2020,00:31:00,10.08,G
FlowVolume,03/19/2020,00:31:00,6954.34,G
PT Level,03/19/2020,00:32:00,9.87,G
Flow_cfs,03/19/2020,00:32:00,9.58,G
FlowVolume,03/19/2020,00:32:00,7529.34,G
PT Level,03/19/2020,00:33:00,9.84,G
Flow_cfs,03/19/2020,00:33:00,9.50,G
FlowVolume,03/19/2020,00:33:00,8099.34,G
PT Level,03/19/2020,00:34:00,9.94,G
Flow_cfs,03/19/2020,00:34:00,9.77,G
FlowVolume,03/19/2020,00:34:00,8685.70,G
PT Level,03/19/2020,00:35:00,10.02,G
Aliquot_Num,03/19/2020,00:35:00,21,G
Flow_cfs,03/19/2020,00:35:00,9.95,G
Curr_pacing,03/19/2020,00:35:00,10000.00,G
FlowVolume,03/19/2020,00:35:00,9282.98,G
PT Level,03/19/2020,00:36:00,10.05,G
Flow_cfs,03/19/2020,00:36:00,10.03,G
FlowVolume,03/19/2020,00:36:00,9884.64,G
PT Level,03/19/2020,00:37:00,9.96,G
Flow_cfs,03/19/2020,00:37:00,9.82,G
Triggered S,03/19/2020,00:37:00,22,G
VolumeTrig,03/19/2020,00:37:00,10473.73,G
FlowVolume,03/19/2020,00:37:00,473.73,G
PT Level,03/19/2020,00:38:00,9.99,G
Flow_cfs,03/19/2020,00:38:00,9.89,G
FlowVolume,03/19/2020,00:38:00,1066.92,G
PT Level,03/19/2020,00:39:00,9.95,G
Flow_cfs,03/19/2020,00:39:00,9.80,G
FlowVolume,03/19/2020,00:39:00,1654.64,G
PT Level,03/19/2020,00:40:00,9.75,G
Aliquot_Num,03/19/2020,00:40:00,22,G
Flow_cfs,03/19/2020,00:40:00,9.28,G
Curr_pacing,03/19/2020,00:40:00,10000.00,G
FlowVolume,03/19/2020,00:40:00,2211.14,G
PT Level,03/19/2020,00:41:00,9.95,G
Flow_cfs,03/19/2020,00:41:00,9.80,G
FlowVolume,03/19/2020,00:41:00,2798.87,G
PT Level,03/19/2020,00:42:00,9.91,G
Flow_cfs,03/19/2020,00:42:00,9.69,G
FlowVolume,03/19/2020,00:42:00,3380.54,G
PT Level,03/19/2020,00:43:00,9.93,G
Flow_cfs,03/19/2020,00:43:00,9.75,G
FlowVolume,03/19/2020,00:43:00,3965.54,G
Log Download,03/19/2020,00:43:14,0,G
PT Level,03/19/2020,00:44:00,9.87,G
Flow_cfs,03/19/2020,00:44:00,9.58,G
FlowVolume,03/19/2020,00:44:00,4540.54,G
Client Conn,03/19/2020,00:44:27,52,G
PT Level,03/19/2020,00:45:00,9.92,G
Aliquot_Num,03/19/2020,00:45:00,22,G
Flow_cfs,03/19/2020,00:45:00,9.72,G
Curr_pacing,03/19/2020,00:45:00,10000.00,G
FlowVolume,03/19/2020,00:45:00,5123.87,G
