Station Name,model and version,XL2 S/N
LakeHodges_GREENVALLEY,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911371
Label,Meas Type,Slope,Offset,Equation
PT Level No,SDI-12,1.000000,0.000000,Off
PT Level So,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
Level_950,02/07/2020,00:00:00,0.00,G
RS232 Connected,02/07/2020,00:00:02,0,G
RS232 Disconnected,02/07/2020,00:00:02,0,G
Flow_cfs,02/07/2020,00:00:00,0.00,G
FlowVolume,02/07/2020,00:00:00,7096.82,G
Level_950,02/07/2020,00:05:00,0.00,G
RS232 Connected,02/07/2020,00:05:02,0,G
RS232 Disconnected,02/07/2020,00:05:02,0,G
Flow_cfs,02/07/2020,00:05:00,0.00,G
FlowVolume,02/07/2020,00:05:00,7096.82,G
Level_950,02/07/2020,00:10:00,0.00,G
RS232 Connected,02/07/2020,00:10:02,0,G
RS232 Disconnected,02/07/2020,00:10:02,0,G
Flow_cfs,02/07/2020,00:10:00,0.00,G
FlowVolume,02/07/2020,00:10:00,7096.82,G
Level_950,02/07/2020,00:15:00,0.00,G
RS232 Connected,02/07/2020,00:15:02,0,G
RS232 Disconnected,02/07/2020,00:15:02,0,G
Flow_cfs,02/07/2020,00:15:00,0.00,G
FlowVolume,02/07/2020,00:15:00,7096.82,G
Level_950,02/07/2020,00:20:00,0.00,G
RS232 Connected,02/07/2020,00:20:02,0,G
RS232 Disconnected,02/07/2020,00:20:02,0,G
Flow_cfs,02/07/2020,00:20:00,0.00,G
FlowVolume,02/07/2020,00:20:00,7096.82,G
Level_950,02/07/2020,00:25:00,0.00,G
RS232 Connected,02/07/2020,00:25:02,0,G
RS232 Disconnected,02/07/2020,00:25:02,0,G
Flow_cfs,02/07/2020,00:25:00,0.00,G
FlowVolume,02/07/2020,00:25:00,7096.82,G
Level_950,02/07/2020,00:30:00,0.00,G
RS232 Connected,02/07/2020,00:30:02,0,G
RS232 Disconnected,02/07/2020,00:30:02,0,G
Flow_cfs,02/07/2020,00:30:00,0.00,G
FlowVolume,02/07/2020,00:30:00,7096.82,G
Level_950,02/07/2020,00:35:00,0.00,G
RS232 Connected,02/07/2020,00:35:02,0,G
RS232 Disconnected,02/07/2020,00:35:02,0,G
Flow_cfs,02/07/2020,00:35:00,0.00,G
FlowVolume,02/07/2020,00:35:00,7096.82,G
Level_950,02/07/2020,00:40:00,0.00,G
RS232 Connected,02/07/2020,00:40:02,0,G
RS232 Disconnected,02/07/2020,00:40:02,0,G
Flow_cfs,02/07/2020,00:40:00,0.00,G
FlowVolume,02/07/2020,00:40:00,7096.82,G
Level_950,02/07/2020,00:45:00,0.00,G
RS232 Connected,02/07/2020,00:45:02,0,G
RS232 Disconnected,02/07/2020,00:45:02,0,G
Flow_cfs,02/07/2020,00:45:00,0.00,G
FlowVolume,02/07/2020,00:45:00,7096.82,G
Level_950,02/07/2020,00:50:00,0.00,G
RS232 Connected,02/07/2020,00:50:02,0,G
RS232 Disconnected,02/07/2020,00:50:02,0,G
Flow_cfs,02/07/2020,00:50:00,0.00,G
FlowVolume,02/07/2020,00:50:00,7096.82,G
Level_950,02/07/2020,00:55:00,0.00,G
RS232 Connected,02/07/2020,00:55:02,0,G
RS232 Disconnected,02/07/2020,00:55:02,0,G
Flow_cfs,02/07/2020,00:55:00,0.00,G
FlowVolume,02/07/2020,00:55:00,7096.82,G
Level_950,02/07/2020,01:00:00,0.00,G
RS232 Connected,02/07/2020,01:00:02,0,G
RS232 Disconnected,02/07/2020,01:00:02,0,G
Flow_cfs,02/07/2020,01:00:00,0.00,G
FlowVolume,02/07/2020,01:00:00,7096.82,G
