Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1,0,Off
Flow_cfs,Meta,1,0,Off
FlowVolume,Meta,1,0,Off
Reset Powerup,2/6/2020,20:39:14,1,G
Battery,2/6/2020,20:39:17,12.63,G
Internal Temp,2/6/2020,20:39:17,27.18,G
System Error: Cell SIM Error,2/6/2020,20:42:05,5582,G
USB Cable,2/6/2020,20:43:41,1,G
Upgrade Start,2/6/2020,20:44:46,8.27,G
Rev Start,2/6/2020,20:44:46,3087,G
Reset Soft,2/6/2020,20:45:02,1,G
Upgrade Complete,2/6/2020,20:45:02,8.28,G
Rev Complet,2/6/2020,20:45:02,3127,G
Battery,2/6/2020,20:45:05,12.58,G
Internal Temp,2/6/2020,20:45:05,29.01,G
USB Cable,2/6/2020,20:45:10,1,G
Setup Change,2/6/2020,20:45:26,0,G
Setup Change,2/6/2020,20:46:53,0,G
Recording,2/6/2020,20:47:02,1,G
SDI XDT,2/6/2020,20:47:03,0,G
Setup Change,2/6/2020,20:48:12,0,G
,,,,
Log Download,2/6/2020,20:49:23,0,G
PT Level,2/6/2020,20:50:00,-0.14,G
Flow_cfs,2/6/2020,20:48:00,0,G
Flow_cfs,2/6/2020,20:50:00,0,G
FlowVolume,2/6/2020,20:49:00,0,G
FlowVolume,2/6/2020,20:50:00,0,G
Setup Change,2/6/2020,20:50:25,0,G
Flow_cfs,2/6/2020,20:51:00,0,G
FlowVolume,2/6/2020,20:51:00,0,G
Flow_cfs,2/6/2020,20:52:00,0,G
FlowVolume,2/6/2020,20:52:00,0,G
Flow_cfs,2/6/2020,20:53:00,0,G
FlowVolume,2/6/2020,20:53:00,0,G
Setup Change,2/6/2020,20:53:17,0,G
USB Cable,2/6/2020,20:53:54,0,G
Flow_cfs,2/6/2020,20:54:00,0,G
FlowVolume,2/6/2020,20:54:00,0,G
Wi-Fi Connected,2/6/2020,20:54:49,0,G
PT Level,2/6/2020,20:55:00,-0.18,G
Flow_cfs,2/6/2020,20:55:00,0,G
FlowVolume,2/6/2020,20:55:00,0,G
Flow_cfs,2/6/2020,20:56:00,0,G
FlowVolume,2/6/2020,20:56:00,0,G
Setup Change,2/6/2020,20:56:27,0,G
PT Level,2/6/2020,20:56:00,-0.14,G
PT Level,2/6/2020,20:57:00,-0.13,G
Flow_cfs,2/6/2020,20:57:00,0,G
FlowVolume,2/6/2020,20:57:00,0,G
PT Level,2/6/2020,20:58:00,-0.11,G
Flow_cfs,2/6/2020,20:58:00,0,G
FlowVolume,2/6/2020,20:58:00,0,G
PT Level,2/6/2020,20:59:00,-0.09,G
Flow_cfs,2/6/2020,20:59:00,0,G
FlowVolume,2/6/2020,20:59:00,0,G
PT Level,2/6/2020,21:00:00,-0.07,G
Flow_cfs,2/6/2020,21:00:00,0,G
FlowVolume,2/6/2020,21:00:00,0,G
USB Cable,2/6/2020,21:00:32,1,G
PT Level,2/6/2020,21:01:00,-0.09,G
Flow_cfs,2/6/2020,21:01:00,0,G
,,,,
System Error: Script Exception,2/6/2020,21:01:02,5595,G
Setup Change,2/6/2020,21:01:06,0,G
USB Cable,2/6/2020,21:01:54,0,G
PT Level,2/6/2020,21:02:00,-0.11,G
Flow_cfs,2/6/2020,21:02:00,0,G
FlowVolume,2/6/2020,21:02:00,0,G
Wi-Fi Disconnected,2/6/2020,21:02:39,0,G
Wi-Fi Connected,2/6/2020,21:03:00,0,G
PT Level,2/6/2020,21:03:00,-0.13,G
Flow_cfs,2/6/2020,21:03:00,0,G
FlowVolume,2/6/2020,21:03:00,0,G
