Station Name,model and version,XL2 S/N
LakeHodges_MOONSONG,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911376
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Reset Powerup,02/08/2020,00:59:00,1,G
Battery,02/08/2020,00:59:03,12.60,G
Internal Temp,02/08/2020,00:59:03,18.79,G
USB Cable,02/08/2020,01:01:00,1,G
Upgrade Start,02/08/2020,01:01:20,8.27,G
Rev Start,02/08/2020,01:01:20,3087,G
Reset Soft,02/08/2020,01:01:36,1,G
Upgrade Complete,02/08/2020,01:01:36,8.28,G
Rev Complet,02/08/2020,01:01:36,3127,G
Battery,02/08/2020,01:01:39,12.57,G
Internal Temp,02/08/2020,01:01:39,18.79,G
USB Cable,02/08/2020,01:01:45,1,G
Setup Change,02/08/2020,01:01:50,0,G
Time Before Change,02/08/2020,01:02:04,-28783515,G
Time After Change,02/07/2020,17:02:21,-28783515,G
User Set Time,02/07/2020,17:02:21,0,G
USB Cable,02/07/2020,17:02:21,0,G
USB Cable,02/07/2020,17:02:32,1,G
Setup Change,02/07/2020,17:04:37,0,G
Recording,02/07/2020,17:04:45,1,G
SDI XDT,02/07/2020,17:04:47,0,G
System Error: Cell SIM Error,02/07/2020,17:04:53,5582,G
Log Download,02/07/2020,17:04:59,0,G
PT Level,02/07/2020,17:05:00,1.38,G
Flow_cfs,02/07/2020,17:05:00,8.23,G
FlowVolume,02/07/2020,17:05:00,0.00,G
Setup Change,02/07/2020,17:05:35,0,G
PT Level,02/07/2020,17:06:00,1.41,G
Setup Change,02/07/2020,17:06:18,0,G
Recording,02/07/2020,17:06:18,0,G
Recording,02/07/2020,17:06:27,1,G
SDI XDT,02/07/2020,17:06:29,0,G
PT Level,02/07/2020,17:07:00,1.39,G
Flow_cfs,02/07/2020,17:07:00,8.31,G
Setup Change,02/07/2020,17:07:02,0,G
FlowVolume,02/07/2020,17:07:00,0.00,G
Setup Change,02/07/2020,17:07:54,0,G
Log Download,02/07/2020,17:08:34,0,G
Setup Change,02/07/2020,17:09:55,0,G
PT Level,02/07/2020,17:10:00,1.39,G
Flow_cfs,02/07/2020,17:10:00,8.31,G
FlowVolume,02/07/2020,17:10:00,498.90,G
PT Level,02/07/2020,17:11:00,1.38,G
Flow_cfs,02/07/2020,17:11:00,8.23,G
Setup Change,02/07/2020,17:11:03,0,G
FlowVolume,02/07/2020,17:11:00,992.70,G
USB Cable,02/07/2020,17:11:19,0,G
USB Cable,02/07/2020,17:11:46,1,G
USB Cable,02/07/2020,17:12:39,0,G
PT Level,02/07/2020,17:15:00,1.39,G
Flow_cfs,02/07/2020,17:15:00,8.31,G
Setup Change,02/07/2020,17:15:02,0,G
FlowVolume,02/07/2020,17:15:00,992.70,G
PT Level,02/07/2020,17:20:00,1.41,G
Flow_cfs,02/07/2020,17:20:00,8.48,G
FlowVolume,02/07/2020,17:20:00,992.70,G
PT Level,02/07/2020,17:25:00,1.39,G
Flow_cfs,02/07/2020,17:25:00,8.31,G
FlowVolume,02/07/2020,17:25:00,992.70,G
PT Level,02/07/2020,17:30:00,1.41,G
Flow_cfs,02/07/2020,17:30:00,8.48,G
FlowVolume,02/07/2020,17:30:00,992.70,G
PT Level,02/07/2020,17:35:00,1.41,G
Flow_cfs,02/07/2020,17:35:00,8.48,G
FlowVolume,02/07/2020,17:35:00,992.70,G
PT Level,02/07/2020,17:40:00,1.38,G
Flow_cfs,02/07/2020,17:40:00,8.23,G
FlowVolume,02/07/2020,17:40:00,992.70,G
PT Level,02/07/2020,17:45:00,1.40,G
Flow_cfs,02/07/2020,17:45:00,8.40,G
FlowVolume,02/07/2020,17:45:00,992.70,G
PT Level,02/07/2020,17:50:00,1.40,G
Flow_cfs,02/07/2020,17:50:00,8.40,G
FlowVolume,02/07/2020,17:50:00,992.70,G
PT Level,02/07/2020,17:55:00,1.40,G
Flow_cfs,02/07/2020,17:55:00,8.40,G
FlowVolume,02/07/2020,17:55:00,992.70,G
PT Level,02/07/2020,18:00:00,1.41,G
Flow_cfs,02/07/2020,18:00:00,8.48,G
FlowVolume,02/07/2020,18:00:00,992.70,G
PT Level,02/07/2020,18:05:00,1.39,G
Flow_cfs,02/07/2020,18:05:00,8.31,G
FlowVolume,02/07/2020,18:05:00,992.70,G
PT Level,02/07/2020,18:10:00,1.39,G
Flow_cfs,02/07/2020,18:10:00,8.31,G
FlowVolume,02/07/2020,18:10:00,992.70,G
PT Level,02/07/2020,18:15:00,1.39,G
Flow_cfs,02/07/2020,18:15:00,8.31,G
FlowVolume,02/07/2020,18:15:00,992.70,G
PT Level,02/07/2020,18:20:00,1.39,G
Flow_cfs,02/07/2020,18:20:00,8.31,G
FlowVolume,02/07/2020,18:20:00,992.70,G
PT Level,02/07/2020,18:25:00,1.39,G
Flow_cfs,02/07/2020,18:25:00,8.31,G
FlowVolume,02/07/2020,18:25:00,992.70,G
PT Level,02/07/2020,18:30:00,1.39,G
Flow_cfs,02/07/2020,18:30:00,8.31,G
FlowVolume,02/07/2020,18:30:00,992.70,G
PT Level,02/07/2020,18:35:00,1.40,G
Flow_cfs,02/07/2020,18:35:00,8.40,G
FlowVolume,02/07/2020,18:35:00,992.70,G
PT Level,02/07/2020,18:40:00,1.38,G
Flow_cfs,02/07/2020,18:40:00,8.23,G
FlowVolume,02/07/2020,18:40:00,992.70,G
PT Level,02/07/2020,18:45:00,1.42,G
Flow_cfs,02/07/2020,18:45:00,8.57,G
FlowVolume,02/07/2020,18:45:00,992.70,G
PT Level,02/07/2020,18:50:00,1.38,G
Flow_cfs,02/07/2020,18:50:00,8.23,G
FlowVolume,02/07/2020,18:50:00,992.70,G
PT Level,02/07/2020,18:55:00,1.38,G
Flow_cfs,02/07/2020,18:55:00,8.23,G
FlowVolume,02/07/2020,18:55:00,992.70,G
PT Level,02/07/2020,19:00:00,1.39,G
Flow_cfs,02/07/2020,19:00:00,8.31,G
FlowVolume,02/07/2020,19:00:00,992.70,G
PT Level,02/07/2020,19:05:00,1.38,G
Flow_cfs,02/07/2020,19:05:00,8.23,G
FlowVolume,02/07/2020,19:05:00,992.70,G
PT Level,02/07/2020,19:10:00,1.37,G
Flow_cfs,02/07/2020,19:10:00,8.15,G
FlowVolume,02/07/2020,19:10:00,992.70,G
PT Level,02/07/2020,19:15:00,1.36,G
Flow_cfs,02/07/2020,19:15:00,8.06,G
FlowVolume,02/07/2020,19:15:00,992.70,G
PT Level,02/07/2020,19:20:00,1.38,G
Flow_cfs,02/07/2020,19:20:00,8.23,G
FlowVolume,02/07/2020,19:20:00,992.70,G
PT Level,02/07/2020,19:25:00,1.35,G
Flow_cfs,02/07/2020,19:25:00,7.98,G
FlowVolume,02/07/2020,19:25:00,992.70,G
PT Level,02/07/2020,19:30:00,1.38,G
Flow_cfs,02/07/2020,19:30:00,8.23,G
FlowVolume,02/07/2020,19:30:00,992.70,G
PT Level,02/07/2020,19:35:00,1.37,G
Flow_cfs,02/07/2020,19:35:00,8.15,G
FlowVolume,02/07/2020,19:35:00,992.70,G
PT Level,02/07/2020,19:40:00,1.38,G
Flow_cfs,02/07/2020,19:40:00,8.23,G
FlowVolume,02/07/2020,19:40:00,992.70,G
PT Level,02/07/2020,19:45:00,1.37,G
Flow_cfs,02/07/2020,19:45:00,8.15,G
FlowVolume,02/07/2020,19:45:00,992.70,G
PT Level,02/07/2020,19:50:00,1.38,G
Flow_cfs,02/07/2020,19:50:00,8.23,G
FlowVolume,02/07/2020,19:50:00,992.70,G
PT Level,02/07/2020,19:55:00,1.39,G
Flow_cfs,02/07/2020,19:55:00,8.31,G
FlowVolume,02/07/2020,19:55:00,992.70,G
PT Level,02/07/2020,20:00:00,1.36,G
Flow_cfs,02/07/2020,20:00:00,8.06,G
FlowVolume,02/07/2020,20:00:00,992.70,G
PT Level,02/07/2020,20:05:00,1.36,G
Flow_cfs,02/07/2020,20:05:00,8.06,G
FlowVolume,02/07/2020,20:05:00,992.70,G
PT Level,02/07/2020,20:10:00,1.38,G
Flow_cfs,02/07/2020,20:10:00,8.23,G
FlowVolume,02/07/2020,20:10:00,992.70,G
PT Level,02/07/2020,20:15:00,1.38,G
Flow_cfs,02/07/2020,20:15:00,8.23,G
FlowVolume,02/07/2020,20:15:00,992.70,G
PT Level,02/07/2020,20:20:00,1.38,G
Flow_cfs,02/07/2020,20:20:00,8.23,G
FlowVolume,02/07/2020,20:20:00,992.70,G
PT Level,02/07/2020,20:25:00,1.36,G
Flow_cfs,02/07/2020,20:25:00,8.06,G
FlowVolume,02/07/2020,20:25:00,992.70,G
PT Level,02/07/2020,20:30:00,1.38,G
Flow_cfs,02/07/2020,20:30:00,8.23,G
FlowVolume,02/07/2020,20:30:00,992.70,G
PT Level,02/07/2020,20:35:00,1.38,G
Flow_cfs,02/07/2020,20:35:00,8.23,G
FlowVolume,02/07/2020,20:35:00,992.70,G
PT Level,02/07/2020,20:40:00,1.37,G
