Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911368
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
03/27/2020,09:00:00,PT Level,5.02,in,G
03/27/2020,09:00:00,Aliquot_Num,0,ali,G
03/27/2020,09:00:00,Flow_cfs,1.40,,G
03/27/2020,09:00:00,Curr_pacing,30000.00,,G
03/27/2020,09:00:00,FlowVolume,0.00,,G
03/27/2020,09:05:00,PT Level,5.00,in,G
03/27/2020,09:05:00,Flow_cfs,1.38,,G
03/27/2020,09:05:00,Aliquot_Num,0,ali,G
03/27/2020,09:05:00,Curr_pacing,30000.00,,G
03/27/2020,09:05:00,FlowVolume,0.00,,G
03/27/2020,09:10:00,PT Level,5.01,in,G
03/27/2020,09:10:00,Aliquot_Num,0,ali,G
03/27/2020,09:10:00,Flow_cfs,1.39,,G
03/27/2020,09:10:00,Curr_pacing,30000.00,,G
03/27/2020,09:10:00,FlowVolume,0.00,,G
03/27/2020,09:15:00,PT Level,4.97,in,G
03/27/2020,09:15:00,Flow_cfs,1.36,,G
03/27/2020,09:15:00,Aliquot_Num,0,ali,G
03/27/2020,09:15:00,Curr_pacing,30000.00,,G
03/27/2020,09:15:00,FlowVolume,0.00,,G
03/27/2020,09:20:00,PT Level,4.98,in,G
03/27/2020,09:20:00,Aliquot_Num,0,ali,G
03/27/2020,09:20:00,Flow_cfs,1.37,,G
03/27/2020,09:20:00,Curr_pacing,30000.00,,G
03/27/2020,09:20:00,FlowVolume,0.00,,G
03/27/2020,09:25:00,PT Level,4.99,in,G
03/27/2020,09:25:00,Flow_cfs,1.37,,G
03/27/2020,09:25:00,Aliquot_Num,0,ali,G
03/27/2020,09:25:00,Curr_pacing,30000.00,,G
03/27/2020,09:25:00,FlowVolume,0.00,,G
03/27/2020,09:30:00,PT Level,4.95,in,G
03/27/2020,09:30:00,Aliquot_Num,0,ali,G
03/27/2020,09:30:00,Flow_cfs,1.34,,G
03/27/2020,09:30:00,Curr_pacing,30000.00,,G
03/27/2020,09:30:00,FlowVolume,0.00,,G
03/27/2020,09:35:00,PT Level,4.95,in,G
03/27/2020,09:35:00,Aliquot_Num,0,ali,G
03/27/2020,09:35:00,Flow_cfs,1.34,,G
03/27/2020,09:35:00,Curr_pacing,30000.00,,G
03/27/2020,09:35:00,FlowVolume,0.00,,G
03/27/2020,09:40:00,PT Level,4.93,in,G
03/27/2020,09:40:00,Aliquot_Num,0,ali,G
03/27/2020,09:40:00,Flow_cfs,1.33,,G
03/27/2020,09:40:00,Curr_pacing,30000.00,,G
03/27/2020,09:40:00,FlowVolume,0.00,,G
03/27/2020,09:45:00,PT Level,4.92,in,G
03/27/2020,09:45:00,Aliquot_Num,0,ali,G
03/27/2020,09:45:00,Flow_cfs,1.32,,G
03/27/2020,09:45:00,Curr_pacing,30000.00,,G
03/27/2020,09:45:00,FlowVolume,0.00,,G
03/27/2020,09:50:00,PT Level,4.93,in,G
03/27/2020,09:50:00,Aliquot_Num,0,ali,G
03/27/2020,09:50:00,Flow_cfs,1.33,,G
03/27/2020,09:50:00,Curr_pacing,30000.00,,G
03/27/2020,09:50:00,FlowVolume,0.00,,G
03/27/2020,09:55:00,PT Level,4.92,in,G
03/27/2020,09:55:00,Aliquot_Num,0,ali,G
03/27/2020,09:55:00,Flow_cfs,1.32,,G
03/27/2020,09:55:00,Curr_pacing,30000.00,,G
03/27/2020,09:55:00,FlowVolume,0.00,,G
03/27/2020,10:00:00,PT Level,4.93,in,G
03/27/2020,10:00:00,Aliquot_Num,0,ali,G
03/27/2020,10:00:00,Flow_cfs,1.33,,G
03/27/2020,10:00:00,Curr_pacing,30000.00,,G
03/27/2020,10:00:00,FlowVolume,0.00,,G
03/27/2020,10:05:00,PT Level,4.93,in,G
03/27/2020,10:05:00,Aliquot_Num,0,ali,G
03/27/2020,10:05:00,Flow_cfs,1.33,,G
03/27/2020,10:05:00,Curr_pacing,30000.00,,G
03/27/2020,10:05:00,FlowVolume,0.00,,G
03/27/2020,10:10:00,PT Level,4.95,in,G
03/27/2020,10:10:00,Flow_cfs,1.34,,G
03/27/2020,10:10:00,Aliquot_Num,0,ali,G
03/27/2020,10:10:00,Curr_pacing,30000.00,,G
03/27/2020,10:10:00,FlowVolume,0.00,,G
03/27/2020,10:15:00,PT Level,4.96,in,G
03/27/2020,10:15:00,Aliquot_Num,0,ali,G
03/27/2020,10:15:00,Flow_cfs,1.35,,G
03/27/2020,10:15:00,Curr_pacing,30000.00,,G
03/27/2020,10:15:00,FlowVolume,0.00,,G
03/27/2020,10:20:00,PT Level,4.92,in,G
03/27/2020,10:20:00,Flow_cfs,1.32,,G
03/27/2020,10:20:00,Aliquot_Num,0,ali,G
03/27/2020,10:20:00,Curr_pacing,30000.00,,G
03/27/2020,10:20:00,FlowVolume,0.00,,G
03/27/2020,10:25:00,PT Level,4.97,in,G
03/27/2020,10:25:00,Aliquot_Num,0,ali,G
03/27/2020,10:25:00,Flow_cfs,1.36,,G
03/27/2020,10:25:00,Curr_pacing,30000.00,,G
03/27/2020,10:25:00,FlowVolume,0.00,,G
03/27/2020,10:29:19,Log Download,0,,G
03/27/2020,10:30:00,PT Level,4.94,in,G
03/27/2020,10:30:00,Flow_cfs,1.34,,G
03/27/2020,10:30:00,Aliquot_Num,0,ali,G
03/27/2020,10:30:00,Curr_pacing,30000.00,,G
03/27/2020,10:30:00,FlowVolume,0.00,,G
03/27/2020,10:32:21,Log Download,0,,G
03/27/2020,10:35:00,PT Level,4.96,in,G
03/27/2020,10:35:00,Aliquot_Num,0,ali,G
03/27/2020,10:35:00,Flow_cfs,1.35,,G
03/27/2020,10:35:00,Curr_pacing,30000.00,,G
03/27/2020,10:35:00,FlowVolume,0.00,,G
03/27/2020,10:40:00,PT Level,4.95,in,G
03/27/2020,10:40:00,Flow_cfs,1.34,,G
03/27/2020,10:40:00,Aliquot_Num,0,ali,G
03/27/2020,10:40:00,Curr_pacing,30000.00,,G
03/27/2020,10:40:00,FlowVolume,0.00,,G
03/27/2020,10:40:35,Client Conn,67,,G
03/27/2020,10:45:00,PT Level,4.98,in,G
03/27/2020,10:45:00,Aliquot_Num,0,ali,G
03/27/2020,10:45:00,Flow_cfs,1.37,,G
03/27/2020,10:45:00,Curr_pacing,30000.00,,G
03/27/2020,10:45:00,FlowVolume,0.00,,G
03/27/2020,10:50:00,PT Level,4.92,in,G
03/27/2020,10:50:00,Flow_cfs,1.32,,G
03/27/2020,10:50:00,Aliquot_Num,0,ali,G
03/27/2020,10:50:00,Curr_pacing,30000.00,,G
03/27/2020,10:50:00,FlowVolume,0.00,,G
03/27/2020,10:55:00,PT Level,4.95,in,G
03/27/2020,10:55:00,Aliquot_Num,0,ali,G
03/27/2020,10:55:00,Flow_cfs,1.34,,G
03/27/2020,10:55:00,Curr_pacing,30000.00,,G
03/27/2020,10:55:00,FlowVolume,0.00,,G
03/27/2020,11:00:00,PT Level,4.91,in,G
03/27/2020,11:00:00,Flow_cfs,1.31,,G
03/27/2020,11:00:00,Aliquot_Num,0,ali,G
03/27/2020,11:00:00,Curr_pacing,30000.00,,G
03/27/2020,11:00:00,FlowVolume,0.00,,G
03/27/2020,11:05:00,PT Level,4.92,in,G
03/27/2020,11:05:00,Aliquot_Num,0,ali,G
03/27/2020,11:05:00,Flow_cfs,1.32,,G
03/27/2020,11:05:00,Curr_pacing,30000.00,,G
03/27/2020,11:05:00,FlowVolume,0.00,,G
03/27/2020,11:10:00,PT Level,4.93,in,G
03/27/2020,11:10:00,Aliquot_Num,0,ali,G
03/27/2020,11:10:00,Flow_cfs,1.33,,G
03/27/2020,11:10:00,Curr_pacing,30000.00,,G
03/27/2020,11:10:00,FlowVolume,0.00,,G
03/27/2020,11:15:00,PT Level,4.89,in,G
03/27/2020,11:15:00,Aliquot_Num,0,ali,G
03/27/2020,11:15:00,Flow_cfs,1.30,,G
03/27/2020,11:15:00,Curr_pacing,30000.00,,G
03/27/2020,11:15:00,FlowVolume,0.00,,G
03/27/2020,11:20:00,PT Level,4.90,in,G
03/27/2020,11:20:00,Aliquot_Num,0,ali,G
03/27/2020,11:20:00,Flow_cfs,1.30,,G
03/27/2020,11:20:00,Curr_pacing,30000.00,,G
03/27/2020,11:20:00,FlowVolume,0.00,,G
03/27/2020,11:25:00,PT Level,4.90,in,G
03/27/2020,11:25:00,Aliquot_Num,0,ali,G
03/27/2020,11:25:00,Flow_cfs,1.30,,G
03/27/2020,11:25:00,Curr_pacing,30000.00,,G
03/27/2020,11:25:00,FlowVolume,0.00,,G
03/27/2020,11:30:00,PT Level,4.89,in,G
03/27/2020,11:30:00,Aliquot_Num,0,ali,G
03/27/2020,11:30:00,Flow_cfs,1.30,,G
03/27/2020,11:30:00,Curr_pacing,30000.00,,G
03/27/2020,11:30:00,FlowVolume,0.00,,G
03/27/2020,11:35:00,PT Level,4.86,in,G
03/27/2020,11:35:00,Aliquot_Num,0,ali,G
03/27/2020,11:35:00,Flow_cfs,1.27,,G
03/27/2020,11:35:00,Curr_pacing,30000.00,,G
03/27/2020,11:35:00,FlowVolume,0.00,,G
03/27/2020,11:40:00,PT Level,4.86,in,G
03/27/2020,11:40:00,Aliquot_Num,0,ali,G
03/27/2020,11:40:00,Flow_cfs,1.27,,G
03/27/2020,11:40:00,Curr_pacing,30000.00,,G
03/27/2020,11:40:00,FlowVolume,0.00,,G
03/27/2020,11:45:00,PT Level,4.87,in,G
03/27/2020,11:45:00,Flow_cfs,1.28,,G
03/27/2020,11:45:00,Aliquot_Num,0,ali,G
03/27/2020,11:45:00,Curr_pacing,30000.00,,G
03/27/2020,11:45:00,FlowVolume,0.00,,G
03/27/2020,11:50:00,PT Level,4.86,in,G
03/27/2020,11:50:00,Aliquot_Num,0,ali,G
03/27/2020,11:50:00,Flow_cfs,1.27,,G
03/27/2020,11:50:00,Curr_pacing,30000.00,,G
03/27/2020,11:50:00,FlowVolume,0.00,,G
03/27/2020,11:55:00,PT Level,4.86,in,G
03/27/2020,11:55:00,Flow_cfs,1.27,,G
03/27/2020,11:55:00,Aliquot_Num,0,ali,G
03/27/2020,11:55:00,Curr_pacing,30000.00,,G
03/27/2020,11:55:00,FlowVolume,0.00,,G
03/27/2020,12:00:00,PT Level,4.84,in,G
03/27/2020,12:00:00,Aliquot_Num,0,ali,G
03/27/2020,12:00:00,Flow_cfs,1.26,,G
03/27/2020,12:00:00,Curr_pacing,30000.00,,G
03/27/2020,12:00:00,FlowVolume,0.00,,G
03/27/2020,12:05:00,PT Level,4.83,in,G
03/27/2020,12:05:00,Flow_cfs,1.25,,G
03/27/2020,12:05:00,Aliquot_Num,0,ali,G
03/27/2020,12:05:00,Curr_pacing,30000.00,,G
03/27/2020,12:05:00,FlowVolume,0.00,,G
03/27/2020,12:10:00,PT Level,4.83,in,G
03/27/2020,12:10:00,Aliquot_Num,0,ali,G
03/27/2020,12:10:00,Flow_cfs,1.25,,G
03/27/2020,12:10:00,Curr_pacing,30000.00,,G
03/27/2020,12:10:00,FlowVolume,0.00,,G
03/27/2020,12:15:00,PT Level,4.80,in,G
03/27/2020,12:15:00,Flow_cfs,1.23,,G
03/27/2020,12:15:00,Aliquot_Num,0,ali,G
03/27/2020,12:15:00,Curr_pacing,30000.00,,G
03/27/2020,12:15:00,FlowVolume,0.00,,G
03/27/2020,12:20:00,PT Level,4.80,in,G
03/27/2020,12:20:00,Aliquot_Num,0,ali,G
03/27/2020,12:20:00,Flow_cfs,1.23,,G
03/27/2020,12:20:00,Curr_pacing,30000.00,,G
03/27/2020,12:20:00,FlowVolume,0.00,,G
03/27/2020,12:25:00,PT Level,4.81,in,G
03/27/2020,12:25:00,Flow_cfs,1.24,,G
03/27/2020,12:25:00,Aliquot_Num,0,ali,G
03/27/2020,12:25:00,Curr_pacing,30000.00,,G
03/27/2020,12:25:00,FlowVolume,0.00,,G
03/27/2020,12:30:00,PT Level,4.78,in,G
03/27/2020,12:30:00,Aliquot_Num,0,ali,G
03/27/2020,12:30:00,Flow_cfs,1.22,,G
03/27/2020,12:30:00,Curr_pacing,30000.00,,G
03/27/2020,12:30:00,FlowVolume,0.00,,G
03/27/2020,12:35:00,PT Level,4.77,in,G
03/27/2020,12:35:00,Flow_cfs,1.21,,G
03/27/2020,12:35:00,Aliquot_Num,0,ali,G
03/27/2020,12:35:00,Curr_pacing,30000.00,,G
03/27/2020,12:35:00,FlowVolume,0.00,,G
03/27/2020,12:40:00,PT Level,4.74,in,G
03/27/2020,12:40:00,Aliquot_Num,0,ali,G
03/27/2020,12:40:00,Flow_cfs,1.19,,G
03/27/2020,12:40:00,Curr_pacing,30000.00,,G
03/27/2020,12:40:00,FlowVolume,0.00,,G
03/27/2020,12:45:00,PT Level,4.79,in,G
03/27/2020,12:45:00,Flow_cfs,1.22,,G
03/27/2020,12:45:00,Aliquot_Num,0,ali,G
03/27/2020,12:45:00,Curr_pacing,30000.00,,G
03/27/2020,12:45:00,FlowVolume,0.00,,G
03/27/2020,12:50:00,PT Level,4.75,in,G
