Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911374
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/14/2020,00:00:00,PT Level,36.74,in,G
04/14/2020,00:00:00,Aliquot_Num,103,ali,G
04/14/2020,00:00:00,Flow_cfs,168.62,,G
04/14/2020,00:00:00,Curr_pacing,1000000.00,,G
04/14/2020,00:00:00,FlowVolume,13557.93,,G
04/14/2020,00:01:00,PT Level,36.73,in,G
04/14/2020,00:01:00,Flow_cfs,168.60,,G
04/14/2020,00:01:00,FlowVolume,23674.01,,G
04/14/2020,00:02:00,PT Level,36.72,in,G
04/14/2020,00:02:00,Flow_cfs,168.59,,G
04/14/2020,00:02:00,FlowVolume,33789.12,,G
04/14/2020,00:03:00,PT Level,36.75,in,G
04/14/2020,00:03:00,Flow_cfs,168.63,,G
04/14/2020,00:03:00,FlowVolume,43907.12,,G
04/14/2020,00:04:00,PT Level,36.74,in,G
04/14/2020,00:04:00,Flow_cfs,168.62,,G
04/14/2020,00:04:00,FlowVolume,54024.17,,G
04/14/2020,00:05:00,PT Level,36.72,in,G
04/14/2020,00:05:00,Aliquot_Num,103,ali,G
04/14/2020,00:05:00,Flow_cfs,168.59,,G
04/14/2020,00:05:00,Curr_pacing,1000000.00,,G
04/14/2020,00:05:00,FlowVolume,64139.28,,G
04/14/2020,00:06:00,PT Level,36.71,in,G
04/14/2020,00:06:00,Flow_cfs,168.57,,G
04/14/2020,00:06:00,FlowVolume,74253.43,,G
04/14/2020,00:07:00,PT Level,36.71,in,G
04/14/2020,00:07:00,Flow_cfs,168.57,,G
04/14/2020,00:07:00,FlowVolume,84367.57,,G
04/14/2020,00:08:00,PT Level,36.69,in,G
04/14/2020,00:08:00,Flow_cfs,168.54,,G
04/14/2020,00:08:00,FlowVolume,94479.79,,G
04/14/2020,00:09:00,PT Level,36.69,in,G
04/14/2020,00:09:00,Flow_cfs,168.54,,G
04/14/2020,00:09:00,FlowVolume,104592.01,,G
04/14/2020,00:10:00,PT Level,36.69,in,G
04/14/2020,00:10:00,Aliquot_Num,103,ali,G
04/14/2020,00:10:00,Flow_cfs,168.54,,G
04/14/2020,00:10:00,Curr_pacing,1000000.00,,G
04/14/2020,00:10:00,FlowVolume,114704.23,,G
04/14/2020,00:11:00,PT Level,36.68,in,G
04/14/2020,00:11:00,Flow_cfs,168.52,,G
04/14/2020,00:11:00,FlowVolume,124815.48,,G
04/14/2020,00:12:00,PT Level,36.69,in,G
04/14/2020,00:12:00,Flow_cfs,168.54,,G
04/14/2020,00:12:00,FlowVolume,134927.70,,G
04/14/2020,00:13:00,PT Level,36.67,in,G
04/14/2020,00:13:00,Flow_cfs,168.50,,G
04/14/2020,00:13:00,FlowVolume,145037.99,,G
04/14/2020,00:14:00,PT Level,36.69,in,G
04/14/2020,00:14:00,Flow_cfs,168.54,,G
04/14/2020,00:14:00,FlowVolume,155150.21,,G
04/14/2020,00:15:00,PT Level,36.69,in,G
04/14/2020,00:15:00,Aliquot_Num,103,ali,G
04/14/2020,00:15:00,Flow_cfs,168.54,,G
04/14/2020,00:15:00,Curr_pacing,1000000.00,,G
04/14/2020,00:15:00,FlowVolume,165262.43,,G
04/14/2020,00:16:00,PT Level,36.66,in,G
04/14/2020,00:16:00,Flow_cfs,168.49,,G
04/14/2020,00:16:00,FlowVolume,175371.75,,G
04/14/2020,00:17:00,PT Level,36.67,in,G
04/14/2020,00:17:00,Flow_cfs,168.50,,G
04/14/2020,00:17:00,FlowVolume,185482.04,,G
04/14/2020,00:18:00,PT Level,36.61,in,G
04/14/2020,00:18:00,Flow_cfs,168.41,,G
04/14/2020,00:18:00,FlowVolume,195586.54,,G
04/14/2020,00:19:00,PT Level,36.67,in,G
04/14/2020,00:19:00,Flow_cfs,168.50,,G
04/14/2020,00:19:00,FlowVolume,205696.83,,G
04/14/2020,00:20:00,PT Level,36.66,in,G
04/14/2020,00:20:00,Aliquot_Num,103,ali,G
04/14/2020,00:20:00,Flow_cfs,168.49,,G
04/14/2020,00:20:00,Curr_pacing,1000000.00,,G
04/14/2020,00:20:00,FlowVolume,215806.16,,G
04/14/2020,00:21:00,PT Level,36.65,in,G
04/14/2020,00:21:00,Flow_cfs,168.47,,G
04/14/2020,00:21:00,FlowVolume,225914.52,,G
04/14/2020,00:22:00,PT Level,36.66,in,G
04/14/2020,00:22:00,Flow_cfs,168.49,,G
04/14/2020,00:22:00,FlowVolume,236023.84,,G
04/14/2020,00:23:00,PT Level,36.65,in,G
04/14/2020,00:23:00,Flow_cfs,168.47,,G
04/14/2020,00:23:00,FlowVolume,246132.20,,G
04/14/2020,00:24:00,PT Level,36.63,in,G
04/14/2020,00:24:00,Flow_cfs,168.44,,G
04/14/2020,00:24:00,FlowVolume,256238.63,,G
04/14/2020,00:25:00,PT Level,36.65,in,G
04/14/2020,00:25:00,Aliquot_Num,103,ali,G
04/14/2020,00:25:00,Flow_cfs,168.47,,G
04/14/2020,00:25:00,Curr_pacing,1000000.00,,G
04/14/2020,00:25:00,FlowVolume,266347.00,,G
04/14/2020,00:26:00,PT Level,36.63,in,G
04/14/2020,00:26:00,Flow_cfs,168.44,,G
04/14/2020,00:26:00,FlowVolume,276453.43,,G
04/14/2020,00:27:00,PT Level,36.63,in,G
04/14/2020,00:27:00,Flow_cfs,168.44,,G
04/14/2020,00:27:00,FlowVolume,286559.86,,G
04/14/2020,00:28:00,PT Level,36.62,in,G
04/14/2020,00:28:00,Flow_cfs,168.42,,G
04/14/2020,00:28:00,FlowVolume,296665.32,,G
04/14/2020,00:29:00,PT Level,36.64,in,G
04/14/2020,00:29:00,Flow_cfs,168.46,,G
04/14/2020,00:29:00,FlowVolume,306772.72,,G
04/14/2020,00:30:00,PT Level,36.61,in,G
04/14/2020,00:30:00,Aliquot_Num,103,ali,G
04/14/2020,00:30:00,Flow_cfs,168.41,,G
04/14/2020,00:30:00,Curr_pacing,1000000.00,,G
04/14/2020,00:30:00,FlowVolume,316877.22,,G
04/14/2020,00:31:00,PT Level,36.60,in,G
04/14/2020,00:31:00,Flow_cfs,159.98,,G
04/14/2020,00:31:00,FlowVolume,326476.26,,G
04/14/2020,00:32:00,PT Level,36.61,in,G
04/14/2020,00:32:00,Flow_cfs,168.41,,G
04/14/2020,00:32:00,FlowVolume,336580.77,,G
04/14/2020,00:33:00,PT Level,36.61,in,G
04/14/2020,00:33:00,Flow_cfs,168.41,,G
04/14/2020,00:33:00,FlowVolume,346685.27,,G
04/14/2020,00:34:00,PT Level,36.64,in,G
04/14/2020,00:34:00,Flow_cfs,168.46,,G
04/14/2020,00:34:00,FlowVolume,356792.66,,G
04/14/2020,00:35:00,PT Level,36.63,in,G
04/14/2020,00:35:00,Aliquot_Num,103,ali,G
04/14/2020,00:35:00,Flow_cfs,168.44,,G
04/14/2020,00:35:00,Curr_pacing,1000000.00,,G
04/14/2020,00:35:00,FlowVolume,366899.09,,G
04/14/2020,00:36:00,PT Level,36.60,in,G
04/14/2020,00:36:00,Flow_cfs,159.98,,G
04/14/2020,00:36:00,FlowVolume,376498.14,,G
04/14/2020,00:37:00,PT Level,36.62,in,G
04/14/2020,00:37:00,Flow_cfs,168.42,,G
04/14/2020,00:37:00,FlowVolume,386603.61,,G
04/14/2020,00:38:00,PT Level,36.62,in,G
04/14/2020,00:38:00,Flow_cfs,168.42,,G
04/14/2020,00:38:00,FlowVolume,396709.07,,G
04/14/2020,00:39:00,PT Level,36.61,in,G
04/14/2020,00:39:00,Flow_cfs,168.41,,G
04/14/2020,00:39:00,FlowVolume,406813.57,,G
04/14/2020,00:40:00,PT Level,36.61,in,G
04/14/2020,00:40:00,Aliquot_Num,103,ali,G
04/14/2020,00:40:00,Flow_cfs,168.41,,G
04/14/2020,00:40:00,Curr_pacing,1000000.00,,G
04/14/2020,00:40:00,FlowVolume,416918.07,,G
04/14/2020,00:41:00,PT Level,36.60,in,G
04/14/2020,00:41:00,Flow_cfs,159.98,,G
04/14/2020,00:41:00,FlowVolume,426517.12,,G
04/14/2020,00:42:00,PT Level,36.59,in,G
04/14/2020,00:42:00,Flow_cfs,159.97,,G
04/14/2020,00:42:00,FlowVolume,436115.21,,G
04/14/2020,00:43:00,PT Level,36.60,in,G
04/14/2020,00:43:00,Flow_cfs,159.98,,G
04/14/2020,00:43:00,FlowVolume,445714.25,,G
04/14/2020,00:44:00,PT Level,36.59,in,G
04/14/2020,00:44:00,Flow_cfs,159.97,,G
04/14/2020,00:44:00,FlowVolume,455312.34,,G
04/14/2020,00:45:00,PT Level,36.60,in,G
04/14/2020,00:45:00,Aliquot_Num,103,ali,G
04/14/2020,00:45:00,Flow_cfs,159.98,,G
04/14/2020,00:45:00,Curr_pacing,1000000.00,,G
04/14/2020,00:45:00,FlowVolume,464911.39,,G
04/14/2020,00:46:00,PT Level,36.58,in,G
04/14/2020,00:46:00,Flow_cfs,159.95,,G
04/14/2020,00:46:00,FlowVolume,474508.52,,G
04/14/2020,00:47:00,PT Level,36.58,in,G
04/14/2020,00:47:00,Flow_cfs,159.95,,G
04/14/2020,00:47:00,FlowVolume,484105.65,,G
04/14/2020,00:48:00,PT Level,36.57,in,G
04/14/2020,00:48:00,Flow_cfs,159.94,,G
04/14/2020,00:48:00,FlowVolume,493701.83,,G
04/14/2020,00:49:00,PT Level,36.60,in,G
04/14/2020,00:49:00,Flow_cfs,159.98,,G
04/14/2020,00:49:00,FlowVolume,503300.88,,G
04/14/2020,00:50:00,PT Level,36.57,in,G
04/14/2020,00:50:00,Aliquot_Num,103,ali,G
04/14/2020,00:50:00,Flow_cfs,159.94,,G
04/14/2020,00:50:00,Curr_pacing,1000000.00,,G
04/14/2020,00:50:00,FlowVolume,512897.06,,G
04/14/2020,00:51:00,PT Level,36.59,in,G
04/14/2020,00:51:00,Flow_cfs,159.97,,G
04/14/2020,00:51:00,FlowVolume,522495.14,,G
04/14/2020,00:52:00,PT Level,36.58,in,G
04/14/2020,00:52:00,Flow_cfs,159.95,,G
04/14/2020,00:52:00,FlowVolume,532092.28,,G
04/14/2020,00:53:00,PT Level,36.56,in,G
04/14/2020,00:53:00,Flow_cfs,159.92,,G
04/14/2020,00:53:00,FlowVolume,541687.50,,G
04/14/2020,00:54:00,PT Level,36.56,in,G
04/14/2020,00:54:00,Flow_cfs,159.92,,G
04/14/2020,00:54:00,FlowVolume,551282.72,,G
04/14/2020,00:55:00,PT Level,36.56,in,G
04/14/2020,00:55:00,Aliquot_Num,103,ali,G
04/14/2020,00:55:00,Flow_cfs,159.92,,G
04/14/2020,00:55:00,Curr_pacing,1000000.00,,G
04/14/2020,00:55:00,FlowVolume,560877.95,,G
04/14/2020,00:56:00,PT Level,36.56,in,G
04/14/2020,00:56:00,Flow_cfs,159.92,,G
04/14/2020,00:56:00,FlowVolume,570473.17,,G
04/14/2020,00:57:00,PT Level,36.57,in,G
04/14/2020,00:57:00,Flow_cfs,159.94,,G
04/14/2020,00:57:00,FlowVolume,580069.35,,G
04/14/2020,00:58:00,PT Level,36.57,in,G
04/14/2020,00:58:00,Flow_cfs,159.94,,G
04/14/2020,00:58:00,FlowVolume,589665.53,,G
04/14/2020,00:59:00,PT Level,36.56,in,G
04/14/2020,00:59:00,Flow_cfs,159.92,,G
04/14/2020,00:59:00,FlowVolume,599260.75,,G
04/14/2020,01:00:00,PT Level,36.56,in,G
04/14/2020,01:00:00,Aliquot_Num,103,ali,G
04/14/2020,01:00:00,Flow_cfs,159.92,,G
04/14/2020,01:00:00,Curr_pacing,1000000.00,,G
04/14/2020,01:00:00,FlowVolume,608855.97,,G
04/14/2020,01:01:00,PT Level,36.55,in,G
04/14/2020,01:01:00,Flow_cfs,159.90,,G
04/14/2020,01:01:00,FlowVolume,618450.24,,G
04/14/2020,01:02:00,PT Level,36.54,in,G
04/14/2020,01:02:00,Flow_cfs,159.89,,G
04/14/2020,01:02:00,FlowVolume,628043.55,,G
04/14/2020,01:03:00,PT Level,36.52,in,G
04/14/2020,01:03:00,Flow_cfs,159.86,,G
04/14/2020,01:03:00,FlowVolume,637634.95,,G
04/14/2020,01:04:00,PT Level,36.54,in,G
04/14/2020,01:04:00,Flow_cfs,159.89,,G
04/14/2020,01:04:00,FlowVolume,647228.27,,G
04/14/2020,01:05:00,PT Level,36.52,in,G
04/14/2020,01:05:00,Aliquot_Num,103,ali,G
04/14/2020,01:05:00,Flow_cfs,159.86,,G
04/14/2020,01:05:00,Curr_pacing,1000000.00,,G
04/14/2020,01:05:00,FlowVolume,656819.67,,G
04/14/2020,01:06:00,PT Level,36.54,in,G
04/14/2020,01:06:00,Flow_cfs,159.89,,G
04/14/2020,01:06:00,FlowVolume,666412.98,,G
