Station Name,model and version,XL2 S/N
LakeHodges_GUEJITO,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911370
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/14/2020,00:00:00,PT Level,9.63,in,G
04/14/2020,00:00:00,Aliquot_Num,158,ali,G
04/14/2020,00:00:00,Flow_cfs,24.50,,G
04/14/2020,00:00:00,Curr_pacing,300000.00,,G
04/14/2020,00:00:00,FlowVolume,61855.33,,G
04/14/2020,00:01:00,PT Level,9.64,in,G
04/14/2020,00:01:00,Flow_cfs,24.56,,G
04/14/2020,00:01:00,FlowVolume,63329.08,,G
04/14/2020,00:02:00,PT Level,9.63,in,G
04/14/2020,00:02:00,Flow_cfs,24.50,,G
04/14/2020,00:02:00,FlowVolume,64799.08,,G
04/14/2020,00:03:00,PT Level,9.62,in,G
04/14/2020,00:03:00,Flow_cfs,24.43,,G
04/14/2020,00:03:00,FlowVolume,66264.79,,G
04/14/2020,00:04:00,PT Level,9.64,in,G
04/14/2020,00:04:00,Flow_cfs,24.56,,G
04/14/2020,00:04:00,FlowVolume,67738.54,,G
04/14/2020,00:05:00,PT Level,9.58,in,G
04/14/2020,00:05:00,Aliquot_Num,158,ali,G
04/14/2020,00:05:00,Flow_cfs,24.14,,G
04/14/2020,00:05:00,Curr_pacing,300000.00,,G
04/14/2020,00:05:00,FlowVolume,69187.11,,G
04/14/2020,00:06:00,PT Level,9.61,in,G
04/14/2020,00:06:00,Flow_cfs,24.36,,G
04/14/2020,00:06:00,FlowVolume,70648.54,,G
04/14/2020,00:07:00,PT Level,9.61,in,G
04/14/2020,00:07:00,Flow_cfs,24.36,,G
04/14/2020,00:07:00,FlowVolume,72109.97,,G
04/14/2020,00:08:00,PT Level,9.59,in,G
04/14/2020,00:08:00,Flow_cfs,24.21,,G
04/14/2020,00:08:00,FlowVolume,73562.83,,G
04/14/2020,00:09:00,PT Level,9.58,in,G
04/14/2020,00:09:00,Flow_cfs,24.14,,G
04/14/2020,00:09:00,FlowVolume,75011.40,,G
04/14/2020,00:10:00,PT Level,9.60,in,G
04/14/2020,00:10:00,Aliquot_Num,158,ali,G
04/14/2020,00:10:00,Flow_cfs,24.29,,G
04/14/2020,00:10:00,Curr_pacing,300000.00,,G
04/14/2020,00:10:00,FlowVolume,76468.54,,G
04/14/2020,00:11:00,PT Level,9.57,in,G
04/14/2020,00:11:00,Flow_cfs,24.07,,G
04/14/2020,00:11:00,FlowVolume,77912.83,,G
04/14/2020,00:12:00,PT Level,9.59,in,G
04/14/2020,00:12:00,Flow_cfs,24.21,,G
04/14/2020,00:12:00,FlowVolume,79365.68,,G
04/14/2020,00:13:00,PT Level,9.60,in,G
04/14/2020,00:13:00,Flow_cfs,24.29,,G
04/14/2020,00:13:00,FlowVolume,80822.83,,G
04/14/2020,00:14:00,PT Level,9.54,in,G
04/14/2020,00:14:00,Flow_cfs,23.90,,G
04/14/2020,00:14:00,FlowVolume,82256.83,,G
04/14/2020,00:15:00,PT Level,9.56,in,G
04/14/2020,00:15:00,Aliquot_Num,158,ali,G
04/14/2020,00:15:00,Flow_cfs,24.00,,G
04/14/2020,00:15:00,Curr_pacing,300000.00,,G
04/14/2020,00:15:00,FlowVolume,83696.83,,G
04/14/2020,00:16:00,PT Level,9.57,in,G
04/14/2020,00:16:00,Flow_cfs,24.07,,G
04/14/2020,00:16:00,FlowVolume,85141.11,,G
04/14/2020,00:17:00,PT Level,9.51,in,G
04/14/2020,00:17:00,Flow_cfs,23.75,,G
04/14/2020,00:17:00,FlowVolume,86566.11,,G
04/14/2020,00:18:00,PT Level,9.60,in,G
04/14/2020,00:18:00,Flow_cfs,24.29,,G
04/14/2020,00:18:00,FlowVolume,88023.26,,G
04/14/2020,00:19:00,PT Level,9.56,in,G
04/14/2020,00:19:00,Flow_cfs,24.00,,G
04/14/2020,00:19:00,FlowVolume,89463.26,,G
04/14/2020,00:20:00,PT Level,9.54,in,G
04/14/2020,00:20:00,Aliquot_Num,158,ali,G
04/14/2020,00:20:00,Flow_cfs,23.90,,G
04/14/2020,00:20:00,Curr_pacing,300000.00,,G
04/14/2020,00:20:00,FlowVolume,90897.26,,G
04/14/2020,00:21:00,PT Level,9.55,in,G
04/14/2020,00:21:00,Flow_cfs,23.95,,G
04/14/2020,00:21:00,FlowVolume,92334.26,,G
04/14/2020,00:22:00,PT Level,9.53,in,G
04/14/2020,00:22:00,Flow_cfs,23.85,,G
04/14/2020,00:22:00,FlowVolume,93765.26,,G
04/14/2020,00:23:00,PT Level,9.55,in,G
04/14/2020,00:23:00,Flow_cfs,23.95,,G
04/14/2020,00:23:00,FlowVolume,95202.26,,G
04/14/2020,00:24:00,PT Level,9.54,in,G
04/14/2020,00:24:00,Flow_cfs,23.90,,G
04/14/2020,00:24:00,FlowVolume,96636.26,,G
04/14/2020,00:25:00,PT Level,9.57,in,G
04/14/2020,00:25:00,Aliquot_Num,158,ali,G
04/14/2020,00:25:00,Flow_cfs,24.07,,G
04/14/2020,00:25:00,Curr_pacing,300000.00,,G
04/14/2020,00:25:00,FlowVolume,98080.54,,G
04/14/2020,00:26:00,PT Level,9.58,in,G
04/14/2020,00:26:00,Flow_cfs,24.14,,G
04/14/2020,00:26:00,FlowVolume,99529.11,,G
04/14/2020,00:27:00,PT Level,9.58,in,G
04/14/2020,00:27:00,Flow_cfs,24.14,,G
04/14/2020,00:27:00,FlowVolume,100977.69,,G
04/14/2020,00:28:00,PT Level,9.51,in,G
04/14/2020,00:28:00,Flow_cfs,23.75,,G
04/14/2020,00:28:00,FlowVolume,102402.69,,G
04/14/2020,00:29:00,PT Level,9.56,in,G
04/14/2020,00:29:00,Flow_cfs,24.00,,G
04/14/2020,00:29:00,FlowVolume,103842.69,,G
04/14/2020,00:30:00,PT Level,9.57,in,G
04/14/2020,00:30:00,Aliquot_Num,158,ali,G
04/14/2020,00:30:00,Flow_cfs,24.07,,G
04/14/2020,00:30:00,Curr_pacing,300000.00,,G
04/14/2020,00:30:00,FlowVolume,105286.97,,G
04/14/2020,00:31:00,PT Level,9.58,in,G
04/14/2020,00:31:00,Flow_cfs,24.14,,G
04/14/2020,00:31:00,FlowVolume,106735.54,,G
04/14/2020,00:32:00,PT Level,9.59,in,G
04/14/2020,00:32:00,Flow_cfs,24.21,,G
04/14/2020,00:32:00,FlowVolume,108188.40,,G
04/14/2020,00:33:00,PT Level,9.57,in,G
04/14/2020,00:33:00,Flow_cfs,24.07,,G
04/14/2020,00:33:00,FlowVolume,109632.69,,G
04/14/2020,00:34:00,PT Level,9.60,in,G
04/14/2020,00:34:00,Flow_cfs,24.29,,G
04/14/2020,00:34:00,FlowVolume,111089.83,,G
04/14/2020,00:35:00,PT Level,9.54,in,G
04/14/2020,00:35:00,Aliquot_Num,158,ali,G
04/14/2020,00:35:00,Flow_cfs,23.90,,G
04/14/2020,00:35:00,Curr_pacing,300000.00,,G
04/14/2020,00:35:00,FlowVolume,112523.83,,G
04/14/2020,00:36:00,PT Level,9.57,in,G
04/14/2020,00:36:00,Flow_cfs,24.07,,G
04/14/2020,00:36:00,FlowVolume,113968.11,,G
04/14/2020,00:37:00,PT Level,9.55,in,G
04/14/2020,00:37:00,Flow_cfs,23.95,,G
04/14/2020,00:37:00,FlowVolume,115405.11,,G
04/14/2020,00:38:00,PT Level,9.56,in,G
04/14/2020,00:38:00,Flow_cfs,24.00,,G
04/14/2020,00:38:00,FlowVolume,116845.11,,G
04/14/2020,00:39:00,PT Level,9.52,in,G
04/14/2020,00:39:00,Flow_cfs,23.80,,G
04/14/2020,00:39:00,FlowVolume,118273.11,,G
04/14/2020,00:40:00,PT Level,9.53,in,G
04/14/2020,00:40:00,Aliquot_Num,158,ali,G
04/14/2020,00:40:00,Flow_cfs,23.85,,G
04/14/2020,00:40:00,Curr_pacing,300000.00,,G
04/14/2020,00:40:00,FlowVolume,119704.11,,G
04/14/2020,00:41:00,PT Level,9.54,in,G
04/14/2020,00:41:00,Flow_cfs,23.90,,G
04/14/2020,00:41:00,FlowVolume,121138.11,,G
04/14/2020,00:42:00,PT Level,9.56,in,G
04/14/2020,00:42:00,Flow_cfs,24.00,,G
04/14/2020,00:42:00,FlowVolume,122578.11,,G
04/14/2020,00:43:00,PT Level,9.51,in,G
04/14/2020,00:43:00,Flow_cfs,23.75,,G
04/14/2020,00:43:00,FlowVolume,124003.11,,G
04/14/2020,00:44:00,PT Level,9.45,in,G
04/14/2020,00:44:00,Flow_cfs,23.44,,G
04/14/2020,00:44:00,FlowVolume,125409.78,,G
04/14/2020,00:45:00,PT Level,9.57,in,G
04/14/2020,00:45:00,Aliquot_Num,158,ali,G
04/14/2020,00:45:00,Flow_cfs,24.07,,G
04/14/2020,00:45:00,Curr_pacing,300000.00,,G
04/14/2020,00:45:00,FlowVolume,126854.07,,G
04/14/2020,00:46:00,PT Level,9.51,in,G
04/14/2020,00:46:00,Flow_cfs,23.75,,G
04/14/2020,00:46:00,FlowVolume,128279.07,,G
04/14/2020,00:47:00,PT Level,9.53,in,G
04/14/2020,00:47:00,Flow_cfs,23.85,,G
04/14/2020,00:47:00,FlowVolume,129710.07,,G
04/14/2020,00:48:00,PT Level,9.56,in,G
04/14/2020,00:48:00,Flow_cfs,24.00,,G
04/14/2020,00:48:00,FlowVolume,131150.07,,G
