Station Name,model and version,XL2 S/N
LakeHodges_SDGCRK,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911367
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,-7.750000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/14/2020,00:00:00,PT Level,44.21,in,G
04/14/2020,00:00:00,Aliquot_Num,1331,ali,G
04/14/2020,00:00:00,Flow_cfs,1096.74,,G
04/14/2020,00:00:00,Curr_pacing,600000.00,,G
04/14/2020,00:00:00,FlowVolume,433823.23,,G
04/14/2020,00:01:00,PT Level,44.18,in,G
04/14/2020,00:01:00,Flow_cfs,1093.48,,G
04/14/2020,00:01:00,FlowVolume,499431.93,,G
04/14/2020,00:02:00,PT Level,44.17,in,G
04/14/2020,00:02:00,Flow_cfs,1092.39,,G
04/14/2020,00:02:00,FlowVolume,564975.40,,G
04/14/2020,00:03:00,PT Level,44.18,in,G
04/14/2020,00:03:00,Flow_cfs,1093.48,,G
04/14/2020,00:03:00,Triggered S,1332,,G
04/14/2020,00:03:00,VolumeTrig,630584.09,,G
04/14/2020,00:03:00,FlowVolume,30584.09,,G
04/14/2020,00:04:00,PT Level,44.26,in,G
04/14/2020,00:04:00,Flow_cfs,1100.86,,G
04/14/2020,00:04:00,FlowVolume,96635.81,,G
04/14/2020,00:05:00,PT Level,44.11,in,G
04/14/2020,00:05:00,Aliquot_Num,1332,ali,G
04/14/2020,00:05:00,Flow_cfs,1085.87,,G
04/14/2020,00:05:00,Curr_pacing,600000.00,,G
04/14/2020,00:05:00,FlowVolume,161787.99,,G
04/14/2020,00:06:00,PT Level,44.28,in,G
04/14/2020,00:06:00,Flow_cfs,1101.72,,G
04/14/2020,00:06:00,FlowVolume,227891.44,,G
04/14/2020,00:07:00,PT Level,44.12,in,G
04/14/2020,00:07:00,Flow_cfs,1086.96,,G
04/14/2020,00:07:00,FlowVolume,293108.82,,G
04/14/2020,00:08:00,PT Level,44.14,in,G
04/14/2020,00:08:00,Flow_cfs,1089.13,,G
04/14/2020,00:08:00,FlowVolume,358456.64,,G
04/14/2020,00:09:00,PT Level,44.15,in,G
04/14/2020,00:09:00,Flow_cfs,1090.22,,G
04/14/2020,00:09:00,FlowVolume,423869.70,,G
04/14/2020,00:10:00,PT Level,44.23,in,G
04/14/2020,00:10:00,Aliquot_Num,1332,ali,G
04/14/2020,00:10:00,Flow_cfs,1098.91,,G
04/14/2020,00:10:00,Curr_pacing,600000.00,,G
04/14/2020,00:10:00,FlowVolume,489804.48,,G
