Station Name,model and version,XL2 S/N
LakeHodges_GREENVALLEY,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911371
Label,Meas Type,Slope,Offset,Equation
PT North,SDI-12,1.000000,0.000000,Off
PT South,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT North,03/09/2020,21:00:00,2.22,G
Flow_cfs,03/09/2020,21:00:00,1.36,G
Aliquot_Num,03/09/2020,21:00:00,0,G
PT South,03/09/2020,21:00:00,0.44,G
FlowVolume,03/09/2020,21:00:00,0.00,G
PT South,03/09/2020,21:01:00,0.43,G
PT South,03/09/2020,21:02:00,0.44,G
PT South,03/09/2020,21:03:00,0.44,G
PT South,03/09/2020,21:04:00,0.44,G
PT North,03/09/2020,21:05:00,2.10,G
Flow_cfs,03/09/2020,21:05:00,1.14,G
Aliquot_Num,03/09/2020,21:05:00,0,G
PT South,03/09/2020,21:05:00,0.45,G
FlowVolume,03/09/2020,21:05:00,0.00,G
PT South,03/09/2020,21:06:00,0.44,G
PT South,03/09/2020,21:07:00,0.44,G
PT South,03/09/2020,21:08:00,0.44,G
PT South,03/09/2020,21:09:00,0.44,G
PT North,03/09/2020,21:10:00,2.14,G
Flow_cfs,03/09/2020,21:10:00,1.22,G
Aliquot_Num,03/09/2020,21:10:00,0,G
PT South,03/09/2020,21:10:00,0.43,G
FlowVolume,03/09/2020,21:10:00,0.00,G
PT South,03/09/2020,21:11:00,0.44,G
PT South,03/09/2020,21:12:00,0.44,G
PT South,03/09/2020,21:13:00,0.45,G
PT South,03/09/2020,21:14:00,0.44,G
PT North,03/09/2020,21:15:00,2.21,G
Aliquot_Num,03/09/2020,21:15:00,0,G
Flow_cfs,03/09/2020,21:15:00,1.34,G
PT South,03/09/2020,21:15:00,0.44,G
FlowVolume,03/09/2020,21:15:00,0.00,G
PT South,03/09/2020,21:16:00,0.44,G
PT South,03/09/2020,21:17:00,0.44,G
PT South,03/09/2020,21:18:00,0.45,G
PT South,03/09/2020,21:19:00,0.43,G
PT North,03/09/2020,21:20:00,2.15,G
Aliquot_Num,03/09/2020,21:20:00,0,G
Flow_cfs,03/09/2020,21:20:00,1.23,G
PT South,03/09/2020,21:20:00,0.44,G
FlowVolume,03/09/2020,21:20:00,0.00,G
PT South,03/09/2020,21:21:00,0.44,G
PT South,03/09/2020,21:22:00,0.42,G
PT South,03/09/2020,21:23:00,0.43,G
PT South,03/09/2020,21:24:00,0.44,G
PT North,03/09/2020,21:25:00,2.11,G
Aliquot_Num,03/09/2020,21:25:00,0,G
Flow_cfs,03/09/2020,21:25:00,1.16,G
PT South,03/09/2020,21:25:00,0.44,G
FlowVolume,03/09/2020,21:25:00,0.00,G
PT South,03/09/2020,21:26:00,0.44,G
PT South,03/09/2020,21:27:00,0.44,G
PT South,03/09/2020,21:28:00,0.43,G
PT South,03/09/2020,21:29:00,0.44,G
PT North,03/09/2020,21:30:00,2.12,G
Aliquot_Num,03/09/2020,21:30:00,0,G
Flow_cfs,03/09/2020,21:30:00,1.18,G
PT South,03/09/2020,21:30:00,0.44,G
