Station Name,model and version,XL2 S/N
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911381
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/14/2020,00:00:00,3.54,G
Flow_cfs,03/14/2020,00:00:00,0.16,G
Aliquot_Num,03/14/2020,00:00:00,20,G
FlowVolume,03/14/2020,00:00:00,787.97,G
PT Level,03/14/2020,00:05:00,3.51,G
Flow_cfs,03/14/2020,00:05:00,0.16,G
Aliquot_Num,03/14/2020,00:05:00,20,G
FlowVolume,03/14/2020,00:05:00,787.97,G
PT Level,03/14/2020,00:10:00,3.40,G
Flow_cfs,03/14/2020,00:10:00,0.15,G
Aliquot_Num,03/14/2020,00:10:00,20,G
FlowVolume,03/14/2020,00:10:00,787.97,G
PT Level,03/14/2020,00:15:00,3.47,G
Aliquot_Num,03/14/2020,00:15:00,20,G
Flow_cfs,03/14/2020,00:15:00,0.15,G
FlowVolume,03/14/2020,00:15:00,787.97,G
PT Level,03/14/2020,00:20:00,3.63,G
Aliquot_Num,03/14/2020,00:20:00,20,G
Flow_cfs,03/14/2020,00:20:00,0.16,G
FlowVolume,03/14/2020,00:20:00,787.97,G
PT Level,03/14/2020,00:25:00,3.24,G
Flow_cfs,03/14/2020,00:25:00,0.14,G
Aliquot_Num,03/14/2020,00:25:00,20,G
FlowVolume,03/14/2020,00:25:00,787.97,G
PT Level,03/14/2020,00:30:00,3.51,G
Aliquot_Num,03/14/2020,00:30:00,20,G
Flow_cfs,03/14/2020,00:30:00,0.16,G
FlowVolume,03/14/2020,00:30:00,787.97,G
PT Level,03/14/2020,00:35:00,3.52,G
Aliquot_Num,03/14/2020,00:35:00,20,G
Flow_cfs,03/14/2020,00:35:00,0.16,G
FlowVolume,03/14/2020,00:35:00,787.97,G
PT Level,03/14/2020,00:40:00,3.62,G
Aliquot_Num,03/14/2020,00:40:00,20,G
Flow_cfs,03/14/2020,00:40:00,0.16,G
FlowVolume,03/14/2020,00:40:00,787.97,G
PT Level,03/14/2020,00:45:00,3.41,G
Flow_cfs,03/14/2020,00:45:00,0.15,G
Aliquot_Num,03/14/2020,00:45:00,20,G
FlowVolume,03/14/2020,00:45:00,787.97,G
PT Level,03/14/2020,00:50:00,3.47,G
Flow_cfs,03/14/2020,00:50:00,0.15,G
Aliquot_Num,03/14/2020,00:50:00,20,G
FlowVolume,03/14/2020,00:50:00,787.97,G
PT Level,03/14/2020,00:55:00,3.39,G
Aliquot_Num,03/14/2020,00:55:00,20,G
Flow_cfs,03/14/2020,00:55:00,0.15,G
FlowVolume,03/14/2020,00:55:00,787.97,G
PT Level,03/14/2020,01:00:00,3.58,G
Aliquot_Num,03/14/2020,01:00:00,20,G
Flow_cfs,03/14/2020,01:00:00,0.16,G
FlowVolume,03/14/2020,01:00:00,787.97,G
PT Level,03/14/2020,01:05:00,3.61,G
Flow_cfs,03/14/2020,01:05:00,0.16,G
Aliquot_Num,03/14/2020,01:05:00,20,G
FlowVolume,03/14/2020,01:05:00,787.97,G
PT Level,03/14/2020,01:10:00,3.40,G
Flow_cfs,03/14/2020,01:10:00,0.15,G
Aliquot_Num,03/14/2020,01:10:00,20,G
FlowVolume,03/14/2020,01:10:00,787.97,G
PT Level,03/14/2020,01:15:00,3.41,G
Aliquot_Num,03/14/2020,01:15:00,20,G
Flow_cfs,03/14/2020,01:15:00,0.15,G
FlowVolume,03/14/2020,01:15:00,787.97,G
PT Level,03/14/2020,01:20:00,3.36,G
Aliquot_Num,03/14/2020,01:20:00,20,G
Flow_cfs,03/14/2020,01:20:00,0.15,G
FlowVolume,03/14/2020,01:20:00,787.97,G
PT Level,03/14/2020,01:25:00,3.32,G
Flow_cfs,03/14/2020,01:25:00,0.15,G
Aliquot_Num,03/14/2020,01:25:00,20,G
FlowVolume,03/14/2020,01:25:00,787.97,G
PT Level,03/14/2020,01:30:00,3.38,G
Flow_cfs,03/14/2020,01:30:00,0.15,G
Aliquot_Num,03/14/2020,01:30:00,20,G
FlowVolume,03/14/2020,01:30:00,787.97,G
PT Level,03/14/2020,01:35:00,3.34,G
Flow_cfs,03/14/2020,01:35:00,0.15,G
Aliquot_Num,03/14/2020,01:35:00,20,G
FlowVolume,03/14/2020,01:35:00,787.97,G
PT Level,03/14/2020,01:40:00,3.41,G
Aliquot_Num,03/14/2020,01:40:00,20,G
Flow_cfs,03/14/2020,01:40:00,0.15,G
FlowVolume,03/14/2020,01:40:00,787.97,G
PT Level,03/14/2020,01:45:00,3.55,G
Aliquot_Num,03/14/2020,01:45:00,20,G
Flow_cfs,03/14/2020,01:45:00,0.16,G
FlowVolume,03/14/2020,01:45:00,787.97,G
PT Level,03/14/2020,01:50:00,3.46,G
Flow_cfs,03/14/2020,01:50:00,0.15,G
Aliquot_Num,03/14/2020,01:50:00,20,G
FlowVolume,03/14/2020,01:50:00,787.97,G
PT Level,03/14/2020,01:55:00,3.54,G
Aliquot_Num,03/14/2020,01:55:00,20,G
Flow_cfs,03/14/2020,01:55:00,0.16,G
FlowVolume,03/14/2020,01:55:00,787.97,G
PT Level,03/14/2020,02:00:00,3.39,G
Aliquot_Num,03/14/2020,02:00:00,20,G
Flow_cfs,03/14/2020,02:00:00,0.15,G
FlowVolume,03/14/2020,02:00:00,787.97,G
PT Level,03/14/2020,02:05:00,3.53,G
Flow_cfs,03/14/2020,02:05:00,0.16,G
Aliquot_Num,03/14/2020,02:05:00,20,G
FlowVolume,03/14/2020,02:05:00,787.97,G
PT Level,03/14/2020,02:10:00,3.59,G
Flow_cfs,03/14/2020,02:10:00,0.16,G
Aliquot_Num,03/14/2020,02:10:00,20,G
FlowVolume,03/14/2020,02:10:00,787.97,G
PT Level,03/14/2020,02:15:00,3.50,G
Flow_cfs,03/14/2020,02:15:00,0.16,G
Aliquot_Num,03/14/2020,02:15:00,20,G
FlowVolume,03/14/2020,02:15:00,787.97,G
PT Level,03/14/2020,02:20:00,3.50,G
Flow_cfs,03/14/2020,02:20:00,0.16,G
Aliquot_Num,03/14/2020,02:20:00,20,G
FlowVolume,03/14/2020,02:20:00,787.97,G
PT Level,03/14/2020,02:25:00,3.34,G
Aliquot_Num,03/14/2020,02:25:00,20,G
Flow_cfs,03/14/2020,02:25:00,0.15,G
FlowVolume,03/14/2020,02:25:00,787.97,G
PT Level,03/14/2020,02:30:00,3.34,G
Flow_cfs,03/14/2020,02:30:00,0.15,G
Aliquot_Num,03/14/2020,02:30:00,20,G
FlowVolume,03/14/2020,02:30:00,787.97,G
PT Level,03/14/2020,02:35:00,3.34,G
Flow_cfs,03/14/2020,02:35:00,0.15,G
Aliquot_Num,03/14/2020,02:35:00,20,G
FlowVolume,03/14/2020,02:35:00,787.97,G
PT Level,03/14/2020,02:40:00,3.24,G
Aliquot_Num,03/14/2020,02:40:00,20,G
Flow_cfs,03/14/2020,02:40:00,0.14,G
FlowVolume,03/14/2020,02:40:00,787.97,G
PT Level,03/14/2020,02:45:00,3.45,G
Aliquot_Num,03/14/2020,02:45:00,20,G
Flow_cfs,03/14/2020,02:45:00,0.15,G
FlowVolume,03/14/2020,02:45:00,787.97,G
PT Level,03/14/2020,02:50:00,3.41,G
Flow_cfs,03/14/2020,02:50:00,0.15,G
Aliquot_Num,03/14/2020,02:50:00,20,G
FlowVolume,03/14/2020,02:50:00,787.97,G
PT Level,03/14/2020,02:55:00,3.40,G
Flow_cfs,03/14/2020,02:55:00,0.15,G
Aliquot_Num,03/14/2020,02:55:00,20,G
FlowVolume,03/14/2020,02:55:00,787.97,G
PT Level,03/14/2020,03:00:00,3.35,G
Aliquot_Num,03/14/2020,03:00:00,20,G
Flow_cfs,03/14/2020,03:00:00,0.15,G
FlowVolume,03/14/2020,03:00:00,787.97,G
PT Level,03/14/2020,03:05:00,3.43,G
Aliquot_Num,03/14/2020,03:05:00,20,G
Flow_cfs,03/14/2020,03:05:00,0.15,G
FlowVolume,03/14/2020,03:05:00,787.97,G
PT Level,03/14/2020,03:10:00,3.31,G
Flow_cfs,03/14/2020,03:10:00,0.15,G
Aliquot_Num,03/14/2020,03:10:00,20,G
FlowVolume,03/14/2020,03:10:00,787.97,G
PT Level,03/14/2020,03:15:00,3.38,G
Flow_cfs,03/14/2020,03:15:00,0.15,G
Aliquot_Num,03/14/2020,03:15:00,20,G
FlowVolume,03/14/2020,03:15:00,787.97,G
PT Level,03/14/2020,03:20:00,3.34,G
Flow_cfs,03/14/2020,03:20:00,0.15,G
Aliquot_Num,03/14/2020,03:20:00,20,G
FlowVolume,03/14/2020,03:20:00,787.97,G
PT Level,03/14/2020,03:25:00,3.27,G
Aliquot_Num,03/14/2020,03:25:00,20,G
Flow_cfs,03/14/2020,03:25:00,0.15,G
FlowVolume,03/14/2020,03:25:00,787.97,G
PT Level,03/14/2020,03:30:00,3.41,G
