Station Name,model and version,XL2 S/N
LakeHodges_SDGCRK,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911367
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,-7.750000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/10/2020,00:00:00,PT Level,28.76,in,G
04/10/2020,00:00:00,Aliquot_Num,25,ali,G
04/10/2020,00:00:00,Flow_cfs,193.97,,G
04/10/2020,00:00:00,Curr_pacing,600000.00,,G
04/10/2020,00:00:00,FlowVolume,597167.02,,G
04/10/2020,00:01:00,PT Level,28.87,in,G
04/10/2020,00:01:00,Flow_cfs,202.98,,G
04/10/2020,00:01:00,Triggered S,26,,G
04/10/2020,00:01:00,VolumeTrig,609345.86,,G
04/10/2020,00:01:00,FlowVolume,9345.86,,G
04/10/2020,00:02:00,PT Level,28.76,in,G
04/10/2020,00:02:00,Flow_cfs,193.97,,G
04/10/2020,00:02:00,FlowVolume,20984.10,,G
04/10/2020,00:03:00,PT Level,28.82,in,G
04/10/2020,00:03:00,Flow_cfs,194.85,,G
04/10/2020,00:03:00,FlowVolume,32675.27,,G
04/10/2020,00:04:00,PT Level,28.59,in,G
04/10/2020,00:04:00,Flow_cfs,191.47,,G
04/10/2020,00:04:00,FlowVolume,44163.51,,G
04/10/2020,00:05:00,PT Level,28.82,in,G
04/10/2020,00:05:00,Aliquot_Num,26,ali,G
04/10/2020,00:05:00,Flow_cfs,194.85,,G
04/10/2020,00:05:00,Curr_pacing,600000.00,,G
04/10/2020,00:05:00,FlowVolume,55854.69,,G
04/10/2020,00:06:00,PT Level,28.62,in,G
04/10/2020,00:06:00,Flow_cfs,191.91,,G
04/10/2020,00:06:00,FlowVolume,67369.39,,G
04/10/2020,00:07:00,PT Level,28.64,in,G
04/10/2020,00:07:00,Flow_cfs,192.21,,G
04/10/2020,00:07:00,FlowVolume,78901.74,,G
04/10/2020,00:08:00,PT Level,28.55,in,G
04/10/2020,00:08:00,Flow_cfs,190.88,,G
04/10/2020,00:08:00,FlowVolume,90354.68,,G
04/10/2020,00:09:00,PT Level,28.61,in,G
04/10/2020,00:09:00,Flow_cfs,191.76,,G
04/10/2020,00:09:00,FlowVolume,101860.57,,G
04/10/2020,00:10:00,PT Level,28.62,in,G
04/10/2020,00:10:00,Aliquot_Num,26,ali,G
04/10/2020,00:10:00,Flow_cfs,191.91,,G
04/10/2020,00:10:00,Curr_pacing,600000.00,,G
04/10/2020,00:10:00,FlowVolume,113375.27,,G
04/10/2020,00:11:00,PT Level,28.81,in,G
04/10/2020,00:11:00,Flow_cfs,194.71,,G
04/10/2020,00:11:00,FlowVolume,125057.63,,G
04/10/2020,00:12:00,PT Level,28.60,in,G
04/10/2020,00:12:00,Flow_cfs,191.62,,G
04/10/2020,00:12:00,FlowVolume,136554.68,,G
04/10/2020,00:13:00,PT Level,28.75,in,G
04/10/2020,00:13:00,Flow_cfs,193.82,,G
04/10/2020,00:13:00,FlowVolume,148184.09,,G
04/10/2020,00:14:00,PT Level,28.70,in,G
04/10/2020,00:14:00,Flow_cfs,193.09,,G
04/10/2020,00:14:00,FlowVolume,159769.39,,G
04/10/2020,00:15:00,PT Level,28.58,in,G
04/10/2020,00:15:00,Aliquot_Num,26,ali,G
04/10/2020,00:15:00,Flow_cfs,191.32,,G
04/10/2020,00:15:00,Curr_pacing,600000.00,,G
04/10/2020,00:15:00,FlowVolume,171248.80,,G
04/10/2020,00:16:00,PT Level,28.71,in,G
04/10/2020,00:16:00,Flow_cfs,193.24,,G
04/10/2020,00:16:00,FlowVolume,182842.92,,G
04/10/2020,00:17:00,PT Level,28.41,in,G
04/10/2020,00:17:00,Flow_cfs,154.70,,G
04/10/2020,00:17:00,FlowVolume,192124.92,,G
04/10/2020,00:18:00,PT Level,28.48,in,G
04/10/2020,00:18:00,Flow_cfs,189.89,,G
04/10/2020,00:18:00,FlowVolume,203518.54,,G
04/10/2020,00:19:00,PT Level,28.48,in,G
04/10/2020,00:19:00,Flow_cfs,189.89,,G
04/10/2020,00:19:00,FlowVolume,214912.15,,G
04/10/2020,00:20:00,PT Level,28.44,in,G
04/10/2020,00:20:00,Aliquot_Num,26,ali,G
04/10/2020,00:20:00,Flow_cfs,154.85,,G
04/10/2020,00:20:00,Curr_pacing,600000.00,,G
04/10/2020,00:20:00,FlowVolume,224203.15,,G
04/10/2020,00:21:00,PT Level,28.54,in,G
04/10/2020,00:21:00,Flow_cfs,190.74,,G
04/10/2020,00:21:00,FlowVolume,235647.27,,G
04/10/2020,00:22:00,PT Level,28.42,in,G
04/10/2020,00:22:00,Flow_cfs,154.75,,G
04/10/2020,00:22:00,FlowVolume,244932.27,,G
04/10/2020,00:23:00,PT Level,28.42,in,G
04/10/2020,00:23:00,Flow_cfs,154.75,,G
04/10/2020,00:23:00,FlowVolume,254217.27,,G
04/10/2020,00:24:00,PT Level,28.30,in,G
04/10/2020,00:24:00,Flow_cfs,154.15,,G
04/10/2020,00:24:00,FlowVolume,263466.27,,G
04/10/2020,00:25:00,PT Level,28.45,in,G
04/10/2020,00:25:00,Aliquot_Num,26,ali,G
04/10/2020,00:25:00,Flow_cfs,154.90,,G
04/10/2020,00:25:00,Curr_pacing,600000.00,,G
04/10/2020,00:25:00,FlowVolume,272760.27,,G
04/10/2020,00:26:00,PT Level,28.33,in,G
04/10/2020,00:26:00,Flow_cfs,154.30,,G
04/10/2020,00:26:00,FlowVolume,282018.27,,G
