Station Name,model and version,XL2 S/N
LakeHodges_SDGCRK,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911367
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,-7.750000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/09/2020,00:00:00,PT Level,11.92,in,G
04/09/2020,00:00:00,Aliquot_Num,9,ali,G
04/09/2020,00:00:00,Flow_cfs,12.15,,G
04/09/2020,00:00:00,Curr_pacing,30000.00,,G
04/09/2020,00:00:00,FlowVolume,25967.82,,G
04/09/2020,00:01:00,PT Level,11.85,in,G
04/09/2020,00:01:00,Flow_cfs,11.98,,G
04/09/2020,00:01:00,FlowVolume,26686.39,,G
04/09/2020,00:02:00,PT Level,11.89,in,G
04/09/2020,00:02:00,Flow_cfs,12.07,,G
04/09/2020,00:02:00,FlowVolume,27410.89,,G
04/09/2020,00:03:00,PT Level,11.92,in,G
04/09/2020,00:03:00,Flow_cfs,12.15,,G
04/09/2020,00:03:00,FlowVolume,28139.89,,G
04/09/2020,00:04:00,PT Level,11.86,in,G
04/09/2020,00:04:00,Flow_cfs,12.00,,G
04/09/2020,00:04:00,FlowVolume,28859.89,,G
04/09/2020,00:05:00,PT Level,11.94,in,G
04/09/2020,00:05:00,Aliquot_Num,9,ali,G
04/09/2020,00:05:00,Flow_cfs,12.20,,G
04/09/2020,00:05:00,Curr_pacing,30000.00,,G
04/09/2020,00:05:00,FlowVolume,29591.89,,G
04/09/2020,00:06:00,PT Level,11.93,in,G
04/09/2020,00:06:00,Flow_cfs,12.18,,G
04/09/2020,00:06:00,Triggered S,10,,G
04/09/2020,00:06:00,VolumeTrig,30322.39,,G
04/09/2020,00:06:00,FlowVolume,322.39,,G
04/09/2020,00:07:00,PT Level,11.94,in,G
04/09/2020,00:07:00,Flow_cfs,12.20,,G
04/09/2020,00:07:00,FlowVolume,1054.39,,G
04/09/2020,00:08:00,PT Level,11.92,in,G
04/09/2020,00:08:00,Flow_cfs,12.15,,G
04/09/2020,00:08:00,FlowVolume,1783.39,,G
04/09/2020,00:09:00,PT Level,11.92,in,G
04/09/2020,00:09:00,Flow_cfs,12.15,,G
04/09/2020,00:09:00,FlowVolume,2512.39,,G
04/09/2020,00:10:00,PT Level,11.91,in,G
04/09/2020,00:10:00,Aliquot_Num,10,ali,G
04/09/2020,00:10:00,Flow_cfs,12.12,,G
04/09/2020,00:10:00,Curr_pacing,30000.00,,G
04/09/2020,00:10:00,FlowVolume,3239.89,,G
04/09/2020,00:11:00,PT Level,11.93,in,G
04/09/2020,00:11:00,Flow_cfs,12.18,,G
04/09/2020,00:11:00,FlowVolume,3970.39,,G
04/09/2020,00:12:00,PT Level,11.94,in,G
04/09/2020,00:12:00,Flow_cfs,12.20,,G
04/09/2020,00:12:00,FlowVolume,4702.39,,G
04/09/2020,00:13:00,PT Level,11.96,in,G
04/09/2020,00:13:00,Flow_cfs,12.25,,G
04/09/2020,00:13:00,FlowVolume,5437.39,,G
04/09/2020,00:14:00,PT Level,11.95,in,G
04/09/2020,00:14:00,Flow_cfs,12.23,,G
04/09/2020,00:14:00,FlowVolume,6170.89,,G
04/09/2020,00:15:00,PT Level,11.94,in,G
04/09/2020,00:15:00,Flow_cfs,12.20,,G
