Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911374
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/07/2020,00:00:00,PT Level,15.62,in,G
04/07/2020,00:00:00,Aliquot_Num,1,ali,G
04/07/2020,00:00:00,Flow_cfs,36.37,,G
04/07/2020,00:00:00,Curr_pacing,100000.00,,G
04/07/2020,00:00:00,FlowVolume,65505.59,,G
04/07/2020,00:01:00,PT Level,15.63,in,G
04/07/2020,00:01:00,Flow_cfs,36.42,,G
04/07/2020,00:01:00,FlowVolume,67690.59,,G
04/07/2020,00:02:00,PT Level,15.64,in,G
04/07/2020,00:02:00,Flow_cfs,36.46,,G
04/07/2020,00:02:00,FlowVolume,69878.09,,G
04/07/2020,00:03:00,PT Level,15.66,in,G
04/07/2020,00:03:00,Flow_cfs,36.54,,G
04/07/2020,00:03:00,FlowVolume,72070.59,,G
04/07/2020,00:04:00,PT Level,15.67,in,G
04/07/2020,00:04:00,Flow_cfs,36.58,,G
04/07/2020,00:04:00,FlowVolume,74265.59,,G
04/07/2020,00:05:00,PT Level,15.69,in,G
04/07/2020,00:05:00,Aliquot_Num,1,ali,G
04/07/2020,00:05:00,Flow_cfs,36.67,,G
04/07/2020,00:05:00,Curr_pacing,100000.00,,G
04/07/2020,00:05:00,FlowVolume,76465.59,,G
04/07/2020,00:06:00,PT Level,15.71,in,G
04/07/2020,00:06:00,Flow_cfs,36.75,,G
04/07/2020,00:06:00,FlowVolume,78670.59,,G
04/07/2020,00:07:00,PT Level,15.74,in,G
04/07/2020,00:07:00,Flow_cfs,36.87,,G
04/07/2020,00:07:00,FlowVolume,80883.09,,G
04/07/2020,00:08:00,PT Level,15.75,in,G
04/07/2020,00:08:00,Flow_cfs,36.92,,G
04/07/2020,00:08:00,FlowVolume,83098.09,,G
04/07/2020,00:09:00,PT Level,15.76,in,G
04/07/2020,00:09:00,Flow_cfs,36.96,,G
04/07/2020,00:09:00,FlowVolume,85315.59,,G
04/07/2020,00:10:00,PT Level,15.78,in,G
04/07/2020,00:10:00,Aliquot_Num,1,ali,G
04/07/2020,00:10:00,Flow_cfs,37.04,,G
04/07/2020,00:10:00,Curr_pacing,100000.00,,G
04/07/2020,00:10:00,FlowVolume,87538.09,,G
04/07/2020,00:11:00,PT Level,15.81,in,G
04/07/2020,00:11:00,Flow_cfs,37.17,,G
04/07/2020,00:11:00,FlowVolume,89768.09,,G
04/07/2020,00:12:00,PT Level,15.81,in,G
04/07/2020,00:12:00,Flow_cfs,37.17,,G
04/07/2020,00:12:00,FlowVolume,91998.09,,G
04/07/2020,00:13:00,PT Level,15.82,in,G
04/07/2020,00:13:00,Flow_cfs,37.21,,G
04/07/2020,00:13:00,FlowVolume,94230.59,,G
04/07/2020,00:14:00,PT Level,15.82,in,G
04/07/2020,00:14:00,Flow_cfs,37.21,,G
04/07/2020,00:14:00,FlowVolume,96463.09,,G
04/07/2020,00:15:00,PT Level,15.83,in,G
04/07/2020,00:15:00,Aliquot_Num,1,ali,G
04/07/2020,00:15:00,Flow_cfs,37.25,,G
04/07/2020,00:15:00,Curr_pacing,100000.00,,G
04/07/2020,00:15:00,FlowVolume,98698.09,,G
04/07/2020,00:16:00,PT Level,15.83,in,G
04/07/2020,00:16:00,Flow_cfs,37.25,,G
04/07/2020,00:16:00,Triggered S,2,,G
04/07/2020,00:16:00,VolumeTrig,100933.09,,G
04/07/2020,00:16:00,FlowVolume,933.09,,G
04/07/2020,00:16:20,Setup Change,0,,G
04/07/2020,00:17:00,PT Level,15.84,in,G
04/07/2020,00:17:00,Flow_cfs,37.29,,G
04/07/2020,00:17:00,FlowVolume,3170.59,,G
04/07/2020,00:18:00,PT Level,15.86,in,G
04/07/2020,00:18:00,Flow_cfs,37.37,,G
04/07/2020,00:18:00,FlowVolume,7650.59,,G
04/07/2020,00:18:13,Client Conn,3,,G
04/07/2020,00:19:00,PT Level,15.86,in,G
04/07/2020,00:19:00,Flow_cfs,37.37,,G
