Station Name,model and version,XL2 S/N
LakeHodges_GUEJITO,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911370
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/07/2020,12:00:00,PT Level,9.18,in,G
04/07/2020,12:00:00,Aliquot_Num,2,ali,G
04/07/2020,12:00:00,Flow_cfs,21.94,,G
04/07/2020,12:00:00,Curr_pacing,2000.00,,G
04/07/2020,12:00:00,FlowVolume,1723.94,,G
04/07/2020,12:01:00,PT Level,9.35,in,G
04/07/2020,12:01:00,Flow_cfs,22.89,,G
04/07/2020,12:01:00,Triggered S,3,,G
04/07/2020,12:01:00,VolumeTrig,3097.27,,G
04/07/2020,12:01:00,FlowVolume,1097.27,,G
04/07/2020,12:02:00,PT Level,9.47,in,G
04/07/2020,12:02:00,Flow_cfs,23.55,,G
04/07/2020,12:02:00,Triggered S,4,,G
04/07/2020,12:02:00,VolumeTrig,2510.27,,G
04/07/2020,12:02:00,FlowVolume,510.27,,G
04/07/2020,12:03:00,PT Level,9.67,in,G
04/07/2020,12:03:00,Flow_cfs,24.75,,G
04/07/2020,12:03:00,FlowVolume,1995.27,,G
04/07/2020,12:04:00,PT Level,9.75,in,G
04/07/2020,12:04:00,Flow_cfs,25.25,,G
04/07/2020,12:04:00,Triggered S,5,,G
04/07/2020,12:04:00,VolumeTrig,3510.27,,G
04/07/2020,12:04:00,FlowVolume,1510.27,,G
04/07/2020,12:05:00,PT Level,9.85,in,G
04/07/2020,12:05:00,Aliquot_Num,5,ali,G
04/07/2020,12:05:00,Flow_cfs,25.88,,G
04/07/2020,12:05:00,Curr_pacing,2000.00,,G
04/07/2020,12:05:00,Triggered S,6,,G
04/07/2020,12:05:00,VolumeTrig,3062.77,,G
04/07/2020,12:05:00,FlowVolume,1062.77,,G
04/07/2020,12:06:00,PT Level,9.98,in,G
04/07/2020,12:06:00,Flow_cfs,26.62,,G
04/07/2020,12:06:00,Triggered S,7,,G
04/07/2020,12:06:00,VolumeTrig,2660.27,,G
04/07/2020,12:06:00,FlowVolume,660.27,,G
04/07/2020,12:07:00,PT Level,10.13,in,G
04/07/2020,12:07:00,Flow_cfs,27.63,,G
04/07/2020,12:07:00,Triggered S,8,,G
04/07/2020,12:07:00,VolumeTrig,2317.77,,G
