Station Name,model and version,XL2 S/N
LakeHodges_SDGCRK,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911367
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,-7.750000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
04/07/2020,00:00:00,PT Level,3.42,in,G
04/07/2020,00:00:00,Aliquot_Num,0,ali,G
04/07/2020,00:00:00,Flow_cfs,2.75,,G
04/07/2020,00:00:00,Curr_pacing,30000.00,,G
04/07/2020,00:00:00,FlowVolume,0.00,,G
04/07/2020,00:05:00,PT Level,3.47,in,G
04/07/2020,00:05:00,Aliquot_Num,0,ali,G
04/07/2020,00:05:00,Flow_cfs,2.83,,G
04/07/2020,00:05:00,Curr_pacing,30000.00,,G
04/07/2020,00:05:00,FlowVolume,0.00,,G
04/07/2020,00:10:00,PT Level,3.50,in,G
04/07/2020,00:10:00,Alarm In,1,,G
04/07/2020,00:10:00,Setup Change,0,,G
04/07/2020,00:10:00,Aliquot_Num,0,ali,G
04/07/2020,00:10:00,Flow_cfs,2.88,,G
04/07/2020,00:10:00,Curr_pacing,30000.00,,G
04/07/2020,00:10:05,BottleChang,1,,G
04/07/2020,00:10:00,FlowVolume,0.00,,G
04/07/2020,00:11:00,PT Level,3.50,in,G
04/07/2020,00:11:00,Flow_cfs,2.88,,G
04/07/2020,00:11:00,FlowVolume,172.50,,G
04/07/2020,00:12:00,PT Level,3.50,in,G
04/07/2020,00:12:00,Flow_cfs,2.88,,G
04/07/2020,00:12:00,FlowVolume,345.00,,G
04/07/2020,00:13:00,PT Level,3.51,in,G
04/07/2020,00:13:00,Flow_cfs,2.89,,G
04/07/2020,00:13:00,FlowVolume,518.44,,G
04/07/2020,00:14:00,PT Level,3.51,in,G
04/07/2020,00:14:00,Flow_cfs,2.89,,G
04/07/2020,00:14:00,FlowVolume,691.88,,G
04/07/2020,00:15:00,PT Level,3.53,in,G
04/07/2020,00:15:00,Aliquot_Num,0,ali,G
04/07/2020,00:15:00,Flow_cfs,2.92,,G
04/07/2020,00:15:00,Curr_pacing,30000.00,,G
04/07/2020,00:15:00,FlowVolume,867.19,,G
04/07/2020,00:16:00,PT Level,3.53,in,G
04/07/2020,00:16:00,Flow_cfs,2.92,,G
04/07/2020,00:16:00,FlowVolume,1042.50,,G
04/07/2020,00:17:00,PT Level,3.54,in,G
04/07/2020,00:17:00,Flow_cfs,2.94,,G
04/07/2020,00:17:00,FlowVolume,1218.75,,G
04/07/2020,00:18:00,PT Level,3.54,in,G
04/07/2020,00:18:00,Flow_cfs,2.94,,G
04/07/2020,00:18:00,FlowVolume,1395.00,,G
04/07/2020,00:19:00,PT Level,3.56,in,G
04/07/2020,00:19:00,Flow_cfs,2.97,,G
04/07/2020,00:19:00,FlowVolume,1573.13,,G
04/07/2020,00:19:41,Setup Change,0,,G
04/07/2020,00:20:00,PT Level,3.54,in,G
04/07/2020,00:20:00,Aliquot_Num,0,ali,G
04/07/2020,00:20:00,Flow_cfs,2.94,,G
04/07/2020,00:20:00,Curr_pacing,30000.00,,G
04/07/2020,00:20:00,FlowVolume,1749.38,,G
04/07/2020,00:21:00,PT Level,3.55,in,G
04/07/2020,00:21:00,Flow_cfs,2.95,,G
04/07/2020,00:21:00,FlowVolume,2102.81,,G
04/07/2020,00:21:25,Log Download,0,,G
04/07/2020,00:22:00,PT Level,3.56,in,G
04/07/2020,00:22:00,Flow_cfs,2.97,,G
04/07/2020,00:22:00,FlowVolume,2459.06,,G
04/07/2020,00:22:06,Client Conn,64,,G
04/07/2020,00:23:00,PT Level,3.56,in,G
04/07/2020,00:23:00,Flow_cfs,2.97,,G
04/07/2020,00:23:00,FlowVolume,2637.19,,G
04/07/2020,00:24:00,PT Level,3.55,in,G
04/07/2020,00:24:00,Flow_cfs,2.95,,G
04/07/2020,00:24:00,FlowVolume,2814.38,,G
04/07/2020,00:25:00,PT Level,3.56,in,G
04/07/2020,00:25:00,Aliquot_Num,0,ali,G
04/07/2020,00:25:00,Flow_cfs,2.97,,G
04/07/2020,00:25:00,Curr_pacing,30000.00,,G
04/07/2020,00:25:00,FlowVolume,2992.50,,G
04/07/2020,00:26:00,PT Level,3.56,in,G
