DateTime,Label,Value,Units,Quality
03/03/2021 12:00:40,System Error: Modbus Sensor Failure,5593,,G
03/03/2021 12:00:53,RS232 Connected,0,,G
03/03/2021 12:00:53,RS232 Disconnected,0,,G
03/03/2021 12:05:27,RS232 Connected,0,,G
03/03/2021 12:05:30,RS232 Disconnected,0,,G
03/03/2021 12:10:20,System Error: Modbus Sensor Failure,5593,,G
03/03/2021 12:10:25,RS232 Connected,0,,G
03/03/2021 12:10:27,RS232 Disconnected,0,,G
03/03/2021 12:15:30,RS232 Connected,0,,G
03/03/2021 12:15:33,RS232 Disconnected,0,,G
03/03/2021 12:20:01,Setup Change,0,,G
03/03/2021 12:20:14,Client Conn,19,,G
03/03/2021 12:20:20,System Error: Modbus Sensor Failure,5593,,G
03/03/2021 12:20:28,RS232 Connected,0,,G
03/03/2021 12:20:30,RS232 Disconnected,0,,G
03/03/2021 12:25:26,RS232 Connected,0,,G
03/03/2021 12:25:29,RS232 Disconnected,0,,G
03/03/2021 12:30:20,System Error: Modbus Sensor Failure,5593,,G
03/03/2021 12:30:24,RS232 Connected,0,,G
03/03/2021 12:30:25,SDI XDT,0,,G
03/03/2021 12:30:26,RS232 Disconnected,0,,G
03/03/2021 12:35:30,RS232 Connected,0,,G
03/03/2021 12:35:33,RS232 Disconnected,0,,G
03/03/2021 12:40:13,RS232 Connected,0,,G
03/03/2021 12:40:18,RS232 Disconnected,0,,G
03/03/2021 12:45:08,RS232 Connected,0,,G
03/03/2021 12:45:13,RS232 Disconnected,0,,G
03/03/2021 12:50:07,RS232 Connected,0,,G
03/03/2021 12:50:11,RS232 Disconnected,0,,G
03/03/2021 12:55:07,RS232 Connected,0,,G
03/03/2021 12:55:12,RS232 Disconnected,0,,G
03/03/2021 13:00:06,RS232 Connected,0,,G
03/03/2021 13:00:12,RS232 Disconnected,0,,G
03/03/2021 13:05:08,RS232 Connected,0,,G
03/03/2021 13:05:14,RS232 Disconnected,0,,G
03/03/2021 13:10:06,RS232 Connected,0,,G
03/03/2021 13:10:11,RS232 Disconnected,0,,G
03/03/2021 13:15:07,RS232 Connected,0,,G
03/03/2021 13:15:12,RS232 Disconnected,0,,G
03/03/2021 13:20:07,RS232 Connected,0,,G
03/03/2021 13:20:11,RS232 Disconnected,0,,G
03/03/2021 13:25:06,RS232 Connected,0,,G
03/03/2021 13:25:12,RS232 Disconnected,0,,G
03/03/2021 13:30:08,RS232 Connected,0,,G
03/03/2021 13:30:14,RS232 Disconnected,0,,G
03/03/2021 13:35:07,RS232 Connected,0,,G
03/03/2021 13:35:11,RS232 Disconnected,0,,G
03/03/2021 13:40:07,RS232 Connected,0,,G
03/03/2021 13:40:12,RS232 Disconnected,0,,G
03/03/2021 13:45:16,RS232 Connected,0,,G
03/03/2021 13:45:20,RS232 Disconnected,0,,G
03/03/2021 13:50:07,RS232 Connected,0,,G
03/03/2021 13:50:12,RS232 Disconnected,0,,G
03/03/2021 13:55:20,System Error: Modbus Sensor Failure,5593,,G
03/03/2021 13:55:22,RS232 Connected,0,,G
03/03/2021 13:55:25,RS232 Disconnected,0,,G
03/03/2021 14:00:15,RS232 Connected,0,,G
03/03/2021 14:00:00,Alarm In,6,,G
03/03/2021 14:00:18,Setup Change,0,,G
03/03/2021 14:00:21,RS232 Disconnected,0,,G
03/03/2021 14:01:14,RS232 Connected,0,,G
03/03/2021 14:01:18,Client Conn,20,,G
03/03/2021 14:01:20,RS232 Disconnected,0,,G
03/03/2021 14:02:17,RS232 Connected,0,,G
03/03/2021 14:02:17,System Error: Modbus Sensor Failure,5593,,G
03/03/2021 14:02:22,RS232 Disconnected,0,,G
03/03/2021 14:02:54,Client Conn,21,,G
03/03/2021 14:03:17,RS232 Connected,0,,G
03/03/2021 14:03:23,RS232 Disconnected,0,,G
03/03/2021 14:04:10,RS232 Connected,0,,G
03/03/2021 14:04:15,RS232 Disconnected,0,,G
03/03/2021 14:05:17,RS232 Connected,0,,G
03/03/2021 14:05:18,Client Conn,22,,G
03/03/2021 14:05:22,RS232 Disconnected,0,,G
03/03/2021 14:05:42,Setup Change,0,,G
03/03/2021 14:06:04, NewPacing:,1,,G
03/03/2021 14:06:13,RS232 Connected,0,,G
