Station Name,model and version,XL2 S/N
ElKu_HDG101,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1912201
Label,Meas Type,Slope,Offset,Equation
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,-0.160000,Off
Flow_PT,Meta,1.000000,0.000000,Off
05/10/2021 09:30:00,Level_PT,-0.34,in,G
05/10/2021 09:30:00,Flow_PT,0.000,gpm,G
05/10/2021 09:30:00,Level_950,0.00,in,G
05/10/2021 09:30:00,Flow_950,0.000,gpm,G
05/10/2021 09:30:00,Vel_950,0.00,fps,G
05/10/2021 09:34:00,Level_PT,-0.34,in,G
05/10/2021 09:34:00,Flow_PT,0.000,gpm,G
05/10/2021 09:34:00,Level_950,0.00,in,G
05/10/2021 09:34:00,Flow_950,0.000,gpm,G
05/10/2021 09:34:00,Vel_950,0.00,fps,G
05/10/2021 09:35:00,Level_PT,-0.34,in,G
05/10/2021 09:35:00,Flow_PT,0.000,gpm,G
05/10/2021 09:35:00,Level_950,0.00,in,G
05/10/2021 09:35:00,Flow_950,0.000,gpm,G
05/10/2021 09:35:00,Vel_950,0.00,fps,G
05/10/2021 09:36:00,Level_PT,-0.34,in,G
05/10/2021 09:36:00,Flow_PT,0.000,gpm,G
05/10/2021 09:36:00,Level_950,0.00,in,G
05/10/2021 09:36:00,Flow_950,0.000,gpm,G
05/10/2021 09:36:00,Vel_950,0.00,fps,G
05/10/2021 09:37:00,Level_PT,-0.35,in,G
05/10/2021 09:37:00,Flow_PT,0.000,gpm,G
05/10/2021 09:37:00,Level_950,0.00,in,G
05/10/2021 09:37:00,Flow_950,0.000,gpm,G
05/10/2021 09:37:00,Vel_950,0.00,fps,G
05/10/2021 09:38:00,Level_PT,-0.34,in,G
05/10/2021 09:38:00,Flow_PT,0.000,gpm,G
05/10/2021 09:38:00,Level_950,0.00,in,G
05/10/2021 09:38:00,Flow_950,0.000,gpm,G
05/10/2021 09:38:00,Vel_950,0.00,fps,G
05/10/2021 09:39:00,Level_PT,-0.34,in,G
05/10/2021 09:39:00,Flow_PT,0.000,gpm,G
05/10/2021 09:39:00,Level_950,0.00,in,G
05/10/2021 09:39:00,Flow_950,0.000,gpm,G
05/10/2021 09:39:00,Vel_950,0.00,fps,G
05/10/2021 09:40:00,Level_PT,-0.34,in,G
05/10/2021 09:40:00,Flow_PT,0.000,gpm,G
05/10/2021 09:40:00,Level_950,0.00,in,G
05/10/2021 09:40:00,Flow_950,0.000,gpm,G
05/10/2021 09:40:00,Vel_950,0.00,fps,G
05/10/2021 09:41:00,Level_PT,-0.34,in,G
05/10/2021 09:41:00,Flow_PT,0.000,gpm,G
05/10/2021 09:41:00,Level_950,0.00,in,G
05/10/2021 09:41:00,Flow_950,0.000,gpm,G
05/10/2021 09:41:00,Vel_950,0.00,fps,G
05/10/2021 09:42:00,Level_PT,-0.34,in,G
05/10/2021 09:42:00,Flow_PT,0.000,gpm,G
05/10/2021 09:42:00,Level_950,0.00,in,G
05/10/2021 09:42:00,Flow_950,0.000,gpm,G
05/10/2021 09:42:00,Vel_950,0.00,fps,G
05/10/2021 09:43:00,Level_PT,-0.34,in,G
05/10/2021 09:43:00,Flow_PT,0.000,gpm,G
05/10/2021 09:43:00,Level_950,0.00,in,G
05/10/2021 09:43:00,Vel_950,0.00,fps,G
05/10/2021 09:43:00,Flow_950,0.000,gpm,G
05/10/2021 09:44:00,Level_PT,-0.35,in,G
05/10/2021 09:44:00,Flow_PT,0.000,gpm,G
05/10/2021 09:44:00,Level_950,0.00,in,G
05/10/2021 09:44:00,Vel_950,0.00,fps,G
05/10/2021 09:44:00,Flow_950,0.000,gpm,G
05/10/2021 09:45:00,Level_PT,-0.34,in,G
05/10/2021 09:45:00,Flow_PT,0.000,gpm,G
05/10/2021 09:45:00,Level_950,0.00,in,G
05/10/2021 09:45:00,Vel_950,0.00,fps,G
05/10/2021 09:45:00,Flow_950,0.000,gpm,G
05/10/2021 09:46:00,Level_PT,-0.34,in,G
05/10/2021 09:46:00,Flow_PT,0.000,gpm,G
05/10/2021 09:46:00,Level_950,0.00,in,G
05/10/2021 09:46:00,Vel_950,0.00,fps,G
05/10/2021 09:46:00,Flow_950,0.000,gpm,G
05/10/2021 09:47:00,Level_PT,-0.34,in,G
05/10/2021 09:47:00,Flow_PT,0.000,gpm,G
05/10/2021 09:47:00,Level_950,0.00,in,G
05/10/2021 09:47:00,Vel_950,0.00,fps,G
05/10/2021 09:47:00,Flow_950,0.000,gpm,G
05/10/2021 09:48:00,Level_PT,-0.34,in,G
05/10/2021 09:48:00,Flow_PT,0.000,gpm,G
05/10/2021 09:48:00,Level_950,0.00,in,G
05/10/2021 09:48:00,Vel_950,0.00,fps,G
05/10/2021 09:48:00,Flow_950,0.000,gpm,G
05/10/2021 09:49:00,Level_PT,-0.34,in,G
05/10/2021 09:49:00,Flow_PT,0.000,gpm,G
05/10/2021 09:49:00,Level_950,0.00,in,G
05/10/2021 09:49:00,Vel_950,0.00,fps,G
05/10/2021 09:49:00,Flow_950,0.000,gpm,G
05/10/2021 09:50:00,Level_PT,-0.34,in,G
05/10/2021 09:50:00,Flow_PT,0.000,gpm,G
05/10/2021 09:50:00,Level_950,0.00,in,G
05/10/2021 09:50:00,Vel_950,0.00,fps,G
05/10/2021 09:50:00,Flow_950,0.000,gpm,G
