Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Battery_950,Level_PT,Flow_PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,V,in,gpm
01/27/2021 12:50:00,,,,-99999,0.00,0.00,0.000,12.78,-0.17,
01/27/2021 12:51:00,-99999,-99999,-99999.00,,,,,,,
01/27/2021 12:52:00,15,1,0.00,0,0.00,0.00,0.000,12.78,-0.17,
01/27/2021 12:53:00,15,1,0.00,0,0.00,0.00,0.000,12.78,-0.16,
01/27/2021 12:54:00,15,1,0.00,,,,,,,
01/27/2021 12:55:00,15,1,0.00,0,0.00,0.00,0.000,12.45,-0.17,
01/27/2021 12:56:00,15,1,0.00,,,,,,,
01/27/2021 12:57:00,15,1,0.00,,,,,,,
01/27/2021 12:58:00,15,1,0.00,,,,,,,
01/27/2021 12:59:00,15,1,0.00,,,,,,,
01/27/2021 13:00:00,15,1,0.00,0,0.00,0.00,0.000,12.73,-0.19,
01/27/2021 13:01:00,15,1,0.00,,,,,,,
01/27/2021 13:02:00,15,1,0.00,,,,,,,
01/27/2021 13:03:00,15,1,0.00,,,,,,,
01/27/2021 13:04:00,15,1,0.00,,,,,,,
01/27/2021 13:05:00,15,1,0.00,0,0.00,0.00,0.000,12.67,-0.21,
01/27/2021 13:06:00,15,1,0.00,,,,,,,
01/27/2021 13:07:00,15,1,0.00,,,,,,,
01/27/2021 13:08:00,15,1,0.00,,,,,,,
01/27/2021 13:09:00,15,1,0.00,,,,,,,
01/27/2021 13:10:00,15,1,0.00,0,0.00,0.00,0.000,12.70,-0.22,
01/27/2021 13:11:00,15,1,0.00,,,,,,,
01/27/2021 13:12:00,15,1,0.00,,,,,,,
01/27/2021 13:13:00,15,1,0.00,,,,,,,
01/27/2021 13:14:00,15,1,0.00,,,,,,,
01/27/2021 13:15:00,15,1,0.00,0,0.00,0.00,0.000,12.35,-0.24,
01/27/2021 13:16:00,15,1,0.00,,,,,,,
01/27/2021 13:17:00,15,1,0.00,,,,,,,
01/27/2021 13:18:00,15,1,0.00,,,,,,,
01/27/2021 13:19:00,15,1,0.00,,,,,,,
01/27/2021 13:20:00,15,1,0.00,0,0.00,0.00,0.000,12.74,-0.24,
01/27/2021 13:21:00,15,1,0.00,,,,,,,
01/27/2021 13:22:00,15,1,0.00,,,,,,,
01/27/2021 13:23:00,15,1,0.00,,,,,,,
01/27/2021 13:24:00,15,1,0.00,,,,,,,
01/27/2021 13:25:00,15,1,0.00,0,0.00,0.00,0.000,12.78,-0.25,
01/27/2021 13:26:00,15,1,0.00,,,,,,,
01/27/2021 13:27:00,15,1,0.00,,,,,,,
01/27/2021 13:28:00,15,1,0.00,,,,,,,
01/27/2021 13:29:00,15,1,0.00,,,,,,,
01/27/2021 13:30:00,15,1,0.00,0,0.00,0.00,0.000,12.80,-0.26,
01/27/2021 13:31:00,15,1,0.00,,,,,,,
01/27/2021 13:32:00,15,1,0.00,,,,,,,
