Date,Time,Label,Value,Units,Quality
Reset Powerup,09/03/2020,23:46:14,1,G
Battery,09/03/2020,23:46:18,13.11,G
Internal Temp,09/03/2020,23:46:18,29.82,G
USB Cable,09/03/2020,23:48:01,1,G
Upgrade Start,09/03/2020,23:48:23,8.27,G
Rev Start,09/03/2020,23:48:23,3087,G
Reset Soft,09/03/2020,23:48:40,1,G
Upgrade Complete,09/03/2020,23:48:40,8.28,G
Rev Complet,09/03/2020,23:48:40,3127,G
Battery,09/03/2020,23:48:43,13.07,G
Internal Temp,09/03/2020,23:48:43,30.00,G
USB Cable,09/03/2020,23:48:47,1,G
Setup Change,09/03/2020,23:49:51,0,G
Setup Change,09/03/2020,23:53:00,0,G
Time Before Change,09/03/2020,23:53:00,-25200000,G
Time After Change,09/03/2020,16:53:00,-25200000,G
Local Time Offset Change,09/03/2020,16:53:00,0,G
Setup Change,09/03/2020,16:54:27,0,G
Time Before Change,09/03/2020,16:54:28,25200000,G
Time After Change,09/03/2020,23:54:28,25200000,G
Local Time Offset Change,09/03/2020,23:54:28,0,G
Recording,09/03/2020,23:54:35,1,G
SDI XDT,09/03/2020,23:54:38,0,G
System Error: SDI-12 comm failure,09/03/2020,23:55:01,5542,G
Setup Change,09/03/2020,23:55:06,0,G
USB Cable,09/03/2020,23:55:38,0,G
System Error: SDI-12 comm failure,09/04/2020,00:01:01,5542,G
System Error: SDI-12 comm failure,09/04/2020,00:07:01,5542,G
Reset Powerup,09/04/2020,17:52:05,2,G
SDI XDT,09/04/2020,17:52:08,0,G
Battery,09/04/2020,17:52:08,13.05,G
Internal Temp,09/04/2020,17:52:08,30.07,G
Time Before Change,09/04/2020,17:52:41,88943,G
Time After Change,09/04/2020,17:54:10,88943,G
Cell Set Time,09/04/2020,17:54:10,0,G
SDI XDT,09/04/2020,17:54:10,0,G
USB Cable,09/04/2020,17:56:42,1,G
StatusClear,09/04/2020,18:00:20,0,G
USB Cable,09/04/2020,18:00:55,0,G
Time Before Change,09/04/2020,18:03:06,-25200000,G
Time After Change,09/04/2020,11:03:06,-25200000,G
Local Time Offset Change,09/04/2020,11:03:06,0,G
Setup Change,09/04/2020,11:03:06,0,G
SDI XDT,09/04/2020,11:03:09,0,G
Client Conn,09/04/2020,11:03:25,1,G
SDI XDT,09/05/2020,11:04:59,0,G
Triggered S,09/05/2020,13:40:00,1,G
VolumeTrig,09/05/2020,13:40:00,20010.00,G
Triggered S,09/06/2020,07:36:00,2,G
VolumeTrig,09/06/2020,07:36:00,20011.00,G
SDI XDT,09/06/2020,11:09:59,0,G
Triggered S,09/06/2020,21:48:00,3,G
VolumeTrig,09/06/2020,21:48:00,20021.00,G
SDI XDT,09/07/2020,11:09:59,0,G
Triggered S,09/07/2020,15:50:00,4,G
VolumeTrig,09/07/2020,15:50:00,20010.00,G
Triggered S,09/08/2020,07:18:00,5,G
VolumeTrig,09/08/2020,07:18:00,20026.00,G
SDI XDT,09/08/2020,11:14:59,0,G
Triggered S,09/09/2020,00:08:00,6,G
VolumeTrig,09/09/2020,00:08:00,20018.00,G
SDI XDT,09/09/2020,11:14:59,0,G
Triggered S,09/09/2020,19:46:00,7,G
VolumeTrig,09/09/2020,19:46:00,20004.00,G
SDI XDT,09/10/2020,11:14:59,0,G
Triggered S,09/10/2020,18:28:00,8,G
VolumeTrig,09/10/2020,18:28:00,20020.00,G
SDI XDT,09/11/2020,11:19:59,0,G
Triggered S,09/11/2020,16:46:00,9,G
VolumeTrig,09/11/2020,16:46:00,20012.00,G
SDI XDT,09/12/2020,11:24:59,0,G
Triggered S,09/12/2020,19:11:00,10,G
VolumeTrig,09/12/2020,19:11:00,20010.00,G
SDI XDT,09/13/2020,11:29:59,0,G
Triggered S,09/13/2020,21:20:00,11,G
VolumeTrig,09/13/2020,21:20:00,20008.00,G
SDI XDT,09/14/2020,11:29:59,0,G
Triggered S,09/14/2020,17:16:00,12,G
VolumeTrig,09/14/2020,17:16:00,20018.00,G
SDI XDT,09/15/2020,11:34:59,0,G
Time Before Change,09/15/2020,12:55:33,2942,G
Time After Change,09/15/2020,12:55:36,2942,G
Cell Set Time,09/15/2020,12:55:36,0,G
SDI XDT,09/15/2020,12:55:36,0,G
Triggered S,09/15/2020,13:27:00,13,G
VolumeTrig,09/15/2020,13:27:00,20019.00,G
Triggered S,09/16/2020,10:43:00,14,G
VolumeTrig,09/16/2020,10:43:00,20005.00,G
SDI XDT,09/16/2020,12:59:59,0,G
SDI XDT,09/17/2020,12:59:59,0,G
Triggered S,09/17/2020,17:27:00,15,G
VolumeTrig,09/17/2020,17:27:00,20003.00,G
SDI XDT,09/18/2020,13:04:59,0,G
Triggered S,09/18/2020,19:10:00,16,G
VolumeTrig,09/18/2020,19:10:00,20013.00,G
SDI XDT,09/19/2020,13:04:59,0,G
Triggered S,09/19/2020,20:26:00,17,G
VolumeTrig,09/19/2020,20:26:00,20014.00,G
SDI XDT,09/20/2020,13:09:59,0,G
Triggered S,09/20/2020,20:07:00,18,G
VolumeTrig,09/20/2020,20:07:00,20009.00,G
SDI XDT,09/21/2020,13:14:59,0,G
Triggered S,09/21/2020,21:49:00,19,G
VolumeTrig,09/21/2020,21:49:00,20001.00,G
SDI XDT,09/22/2020,13:14:59,0,G
Triggered S,09/23/2020,10:58:00,20,G
VolumeTrig,09/23/2020,10:58:00,20008.00,G
SDI XDT,09/23/2020,13:19:59,0,G
SDI XDT,09/24/2020,13:19:59,0,G
Triggered S,09/24/2020,22:11:00,21,G
VolumeTrig,09/24/2020,22:11:00,20012.00,G
SDI XDT,09/25/2020,13:24:59,0,G
Triggered S,09/26/2020,09:01:00,22,G
VolumeTrig,09/26/2020,09:01:00,20001.00,G
SDI XDT,09/26/2020,13:29:59,0,G
SDI XDT,09/27/2020,13:34:59,0,G
Triggered S,09/28/2020,03:01:00,23,G
VolumeTrig,09/28/2020,03:01:00,20008.00,G
SDI XDT,09/28/2020,13:34:59,0,G
SDI XDT,09/29/2020,13:34:59,0,G
Triggered S,09/29/2020,15:25:00,24,G
VolumeTrig,09/29/2020,15:25:00,20009.00,G
SDI XDT,09/30/2020,13:39:59,0,G
Triggered S,09/30/2020,21:11:00,25,G
VolumeTrig,09/30/2020,21:11:00,20001.00,G
SDI XDT,10/01/2020,13:44:59,0,G
Time Before Change,10/01/2020,14:26:28,2942,G
Time After Change,10/01/2020,14:26:31,2942,G
Cell Set Time,10/01/2020,14:26:31,0,G
SDI XDT,10/01/2020,14:26:31,0,G
Triggered S,10/02/2020,02:12:00,26,G
VolumeTrig,10/02/2020,02:12:00,20002.00,G
SDI XDT,10/02/2020,14:29:59,0,G
Triggered S,10/03/2020,14:00:00,27,G
VolumeTrig,10/03/2020,14:00:00,20006.00,G
SDI XDT,10/03/2020,14:34:59,0,G
SDI XDT,10/04/2020,14:34:59,0,G
Triggered S,10/04/2020,22:24:00,28,G
VolumeTrig,10/04/2020,22:24:00,20000.99,G
Wi-Fi Connected,10/05/2020,14:12:09,0,G
SMS Receive,10/05/2020,14:12:52,1,G
Upgrade Start,10/05/2020,14:12:54,8.28,G
Rev Start,10/05/2020,14:12:54,3127,G
Wi-Fi Disconnected,10/05/2020,14:12:54,0,G
Reset Soft,10/05/2020,14:13:11,1,G
Upgrade Complete,10/05/2020,14:13:11,8.32,G
Rev Complet,10/05/2020,14:13:11,3239,G
SDI XDT,10/05/2020,14:13:14,0,G
Battery,10/05/2020,14:13:14,13.42,G
Internal Temp,10/05/2020,14:13:14,43.45,G
Time Before Change,10/05/2020,14:13:41,-57,G
Time After Change,10/05/2020,14:13:41,-57,G
Wi-Fi Connected,10/05/2020,14:14:45,0,G
Setup Change,10/05/2020,14:15:21,0,G
Wi-Fi Disconnected,10/05/2020,14:15:29,0,G
Client Conn,10/05/2020,14:16:39,2,G
SMS Receive,10/05/2020,14:22:57,2,G
Wi-Fi Connected,10/05/2020,14:40:59,0,G
SMS Receive,10/05/2020,14:41:13,3,G
Upgrade Start,10/05/2020,14:41:57,8.32,G
Rev Start,10/05/2020,14:41:57,3239,G
Wi-Fi Disconnected,10/05/2020,14:41:57,0,G
Reset Soft,10/05/2020,14:42:14,2,G
Upgrade Complete,10/05/2020,14:42:14,8.35,G
Rev Complet,10/05/2020,14:42:14,3369,G
SDI XDT,10/05/2020,14:42:17,0,G
Battery,10/05/2020,14:42:18,13.42,G
Internal Temp,10/05/2020,14:42:18,42.76,G
Time Before Change,10/05/2020,14:42:50,944,G
Time After Change,10/05/2020,14:42:51,944,G
Client Conn,10/05/2020,14:43:57,3,G
Wi-Fi Connected,10/05/2020,14:44:11,0,G
Wi-Fi Disconnected,10/05/2020,14:44:19,0,G
Client Conn,10/05/2020,14:45:12,4,G
SDI XDT,10/06/2020,14:44:59,0,G
SMS Receive,10/06/2020,14:56:33,4,G
Triggered S,10/07/2020,07:45:00,1,G
VolumeTrig,10/07/2020,07:45:00,20004.00,G
SDI XDT,10/07/2020,14:44:59,0,G
Triggered S,10/08/2020,11:51:00,2,G
VolumeTrig,10/08/2020,11:51:00,20014.00,G
SDI XDT,10/08/2020,14:49:59,0,G
Wi-Fi Connected,10/09/2020,13:48:16,0,G
Setup Change,10/09/2020,13:49:05,0,G
Wi-Fi Disconnected,10/09/2020,13:49:44,0,G
Client Conn,10/09/2020,13:50:56,5,G
Client Conn,10/09/2020,14:21:17,6,G
SDI XDT,10/09/2020,14:51:19,0,G
Client Conn,10/09/2020,18:12:53,7,G
Triggered S,10/09/2020,21:05:00,3,G
VolumeTrig,10/09/2020,21:05:00,20006.00,G
SDI XDT,10/10/2020,14:54:59,0,G
Triggered S,10/10/2020,23:08:00,4,G
VolumeTrig,10/10/2020,23:08:00,20013.00,G
SDI XDT,10/11/2020,14:54:59,0,G
Triggered S,10/12/2020,04:45:00,5,G
VolumeTrig,10/12/2020,04:45:00,20008.00,G
SDI XDT,10/12/2020,14:59:59,0,G
Triggered S,10/13/2020,12:28:00,6,G
VolumeTrig,10/13/2020,12:28:00,20000.00,G
Log Download,10/13/2020,13:31:55,0,G
Client Conn,10/13/2020,13:40:17,8,G
Log Download,10/13/2020,14:48:33,0,G
Log Download,10/13/2020,14:49:14,0,G
Client Conn,10/13/2020,14:54:14,9,G
SDI XDT,10/13/2020,15:04:17,0,G
Client Conn,10/13/2020,15:52:37,10,G
Log Download,10/13/2020,16:24:20,0,G
Client Conn,10/13/2020,16:30:08,11,G
Client Conn,10/13/2020,16:41:20,12,G
SDI XDT,10/14/2020,15:04:59,0,G
SDI XDT,10/15/2020,15:09:59,0,G
SDI XDT,10/16/2020,15:09:59,0,G
Triggered S,10/17/2020,11:44:00,7,G
VolumeTrig,10/17/2020,11:44:00,20001.00,G
SDI XDT,10/17/2020,15:14:59,0,G
SDI XDT,10/18/2020,15:14:59,0,G
SDI XDT,10/19/2020,15:19:59,0,G
Triggered S,10/20/2020,14:48:00,8,G
VolumeTrig,10/20/2020,14:48:00,20011.00,G
SDI XDT,10/20/2020,15:19:59,0,G
Time Before Change,10/21/2020,15:14:26,2939,G
Time After Change,10/21/2020,15:14:29,2939,G
Cell Set Time,10/21/2020,15:14:29,0,G
SDI XDT,10/21/2020,15:14:29,0,G
SDI XDT,10/22/2020,15:14:59,0,G
SDI XDT,10/23/2020,15:14:59,0,G
SDI XDT,10/24/2020,15:14:59,0,G
Triggered S,10/25/2020,11:43:00,9,G
VolumeTrig,10/25/2020,11:43:00,20000.00,G
SDI XDT,10/25/2020,15:14:59,0,G
SDI XDT,10/26/2020,15:19:59,0,G
Client Conn,10/27/2020,14:41:56,13,G
Client Conn,10/27/2020,14:42:37,14,G
Setup Change,10/27/2020,14:44:05,0,G
Setup Change,10/27/2020,14:44:38,0,G
Log Download,10/27/2020,14:45:04,0,G
