DateTime,Label,Value,Units,Quality
01/29/2021 00:25:34,Setup Change,0,,G
01/29/2021 00:25:48,Client Conn,14,,G
01/29/2021 01:12:15,Client Conn,15,,G
01/29/2021 01:24:09,Log Download,0,,G
01/29/2021 01:25:13,Client Conn,16,,G
01/29/2021 01:26:51,Client Conn,17,,G
01/29/2021 01:30:43,Client Conn,18,,G
01/29/2021 01:40:00,Alarm In,12,,G
01/29/2021 01:40:00,Setup Change,0,,G
01/29/2021 02:06:00,Triggered S,1,,G
01/29/2021 02:06:00,VolumeTrig,8305.47,,G
01/29/2021 02:27:00,Triggered S,2,,G
01/29/2021 02:27:00,VolumeTrig,8268.68,,G
01/29/2021 02:30:07,Log Download,0,,G
01/29/2021 02:31:13,Client Conn,19,,G
01/29/2021 02:48:00,Triggered S,3,,G
01/29/2021 02:48:00,VolumeTrig,8288.90,,G
01/29/2021 02:52:08,Client Conn,20,,G
01/29/2021 02:56:33,Log Download,0,,G
01/29/2021 02:57:51,Client Conn,21,,G
01/29/2021 03:17:00,Triggered S,4,,G
01/29/2021 03:17:00,VolumeTrig,8002.46,,G
01/29/2021 04:05:00,Triggered S,5,,G
01/29/2021 04:05:00,VolumeTrig,8226.78,,G
01/29/2021 04:13:19,Log Download,0,,G
01/29/2021 04:17:45,Client Conn,22,,G
01/29/2021 04:25:00,Triggered S,6,,G
01/29/2021 04:25:00,VolumeTrig,8230.87,,G
01/29/2021 04:38:00,Triggered S,7,,G
01/29/2021 04:38:00,VolumeTrig,8355.90,,G
01/29/2021 04:50:00,Triggered S,8,,G
01/29/2021 04:50:00,VolumeTrig,8138.22,,G
01/29/2021 05:10:00,Triggered S,9,,G
01/29/2021 05:10:00,VolumeTrig,8253.90,,G
01/29/2021 05:31:36,Log Download,0,,G
01/29/2021 05:33:40,Client Conn,23,,G
01/29/2021 05:38:09,Log Download,0,,G
01/29/2021 05:41:00,Triggered S,10,,G
01/29/2021 05:41:00,VolumeTrig,8065.30,,G
01/29/2021 05:43:18,Client Conn,24,,G
01/29/2021 05:48:59,Client Conn,25,,G
01/29/2021 06:05:10,Client Conn,26,,G
01/29/2021 06:07:29,Client Conn,27,,G
01/29/2021 06:11:20,Client Conn,28,,G
01/29/2021 06:21:00,Triggered S,11,,G
01/29/2021 06:21:00,VolumeTrig,8114.21,,G
01/29/2021 07:32:43,Log Download,0,,G
01/29/2021 07:33:09,Client Conn,29,,G
01/29/2021 07:44:00,Triggered S,12,,G
01/29/2021 07:44:00,VolumeTrig,8012.16,,G
01/29/2021 10:32:00,Triggered S,13,,G
01/29/2021 10:32:00,VolumeTrig,8016.88,,G
01/29/2021 10:48:11,SDI XDT,0,,G
01/29/2021 10:50:29,Client Conn,30,,G
01/29/2021 12:01:44,Client Conn,31,,G
01/29/2021 13:27:06,Log Download,0,,G
01/29/2021 13:27:28,Client Conn,32,,G
01/29/2021 15:31:46,Log Download,0,,G
01/29/2021 15:32:56,Client Conn,33,,G
01/29/2021 15:33:45,Client Conn,34,,G
01/29/2021 15:36:00,Triggered S,14,,G
01/29/2021 15:36:00,VolumeTrig,8042.74,,G
01/29/2021 16:14:57,Log Download,0,,G
01/29/2021 16:20:40,Client Conn,35,,G
01/29/2021 17:15:00,Triggered S,15,,G
01/29/2021 17:15:00,VolumeTrig,8093.85,,G
01/29/2021 17:27:24,Log Download,0,,G
01/29/2021 17:29:08,Client Conn,36,,G
01/29/2021 17:40:17,Client Conn,37,,G
01/29/2021 17:48:10,Client Conn,38,,G
01/29/2021 19:34:00,Triggered S,16,,G
01/29/2021 19:34:00,VolumeTrig,8004.02,,G
01/29/2021 21:16:05,Log Download,0,,G
01/29/2021 21:17:19,Client Conn,39,,G
01/30/2021 02:49:00,Triggered S,17,,G
01/30/2021 02:49:00,VolumeTrig,8007.52,,G
01/30/2021 06:50:36,Log Download,0,,G
01/30/2021 06:51:25,Setup Change,0,,G
01/30/2021 06:51:39,Client Conn,40,,G
01/30/2021 07:45:55,Log Download,0,,G
01/30/2021 07:47:23,Client Conn,41,,G
01/30/2021 09:54:22,Wi-Fi Connected,0,,G
01/30/2021 09:55:28,Log Download,0,,G
01/30/2021 09:58:11,Setup Change,0,,G
01/30/2021 10:03:32,Wi-Fi Disconnected,0,,G
01/30/2021 10:48:37,SDI XDT,0,,G
01/31/2021 10:49:59,SDI XDT,0,,G
02/01/2021 10:54:59,SDI XDT,0,,G
02/02/2021 10:54:59,SDI XDT,0,,G
02/03/2021 10:51:14,Client Conn,42,,G
02/03/2021 10:56:17,SDI XDT,0,,G
02/04/2021 10:59:59,SDI XDT,0,,G
02/04/2021 11:20:54,Log Download,0,,G
02/04/2021 11:24:36,Client Conn,43,,G
02/05/2021 11:04:59,SDI XDT,0,,G
02/06/2021 11:09:59,SDI XDT,0,,G
02/07/2021 11:09:59,SDI XDT,0,,G
02/08/2021 11:09:59,SDI XDT,0,,G
02/09/2021 08:57:57,Time Before Change,-2059,ms,G
02/09/2021 08:57:55,Time After Change,-2059,ms,G
02/09/2021 08:57:55,Cell Set Time,0,,G
02/09/2021 08:57:55,SDI XDT,0,,G
02/10/2021 08:59:59,SDI XDT,0,,G
02/10/2021 11:45:16,Log Download,0,,G
