Station Name,model and version,XL2 S/N
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911381
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
03/03/2021 22:07:00,Level_PT,4.59,in,G
03/03/2021 22:07:00,Flow _PT,0.720,cfs,G
03/03/2021 22:07:00,SamplePacin,500,cf,G
03/03/2021 22:07:00,BottleNum,1,,G
03/03/2021 22:07:00,AliquotNum,11,ali,G
03/03/2021 22:07:00,Incr_Flow,387.27,cf,G
03/03/2021 22:08:00,Level_PT,4.54,in,G
03/03/2021 22:08:00,Flow _PT,0.705,cfs,G
03/03/2021 22:08:00,SamplePacin,500,cf,G
03/03/2021 22:08:00,BottleNum,1,,G
03/03/2021 22:08:00,AliquotNum,11,ali,G
03/03/2021 22:08:00,Incr_Flow,429.56,cf,G
03/03/2021 22:09:00,Level_PT,4.56,in,G
03/03/2021 22:09:00,Flow _PT,0.711,cfs,G
03/03/2021 22:09:00,SamplePacin,500,cf,G
03/03/2021 22:09:00,BottleNum,1,,G
03/03/2021 22:09:00,AliquotNum,11,ali,G
03/03/2021 22:09:00,Incr_Flow,472.21,cf,G
03/03/2021 22:10:00,Level_PT,4.56,in,G
03/03/2021 22:10:00,Flow _PT,0.711,cfs,G
03/03/2021 22:10:00,SamplePacin,500,cf,G
03/03/2021 22:10:00,BottleNum,1,,G
03/03/2021 22:10:00,AliquotNum,11,ali,G
03/03/2021 22:10:00,Incr_Flow,14.86,cf,G
03/03/2021 22:11:00,Level_PT,4.48,in,G
03/03/2021 22:11:00,Flow _PT,0.687,cfs,G
03/03/2021 22:11:00,SamplePacin,500,cf,G
03/03/2021 22:11:00,BottleNum,1,,G
03/03/2021 22:11:00,AliquotNum,12,ali,G
03/03/2021 22:11:00,Incr_Flow,56.07,cf,G
03/03/2021 22:12:00,Level_PT,4.48,in,G
03/03/2021 22:12:00,Flow _PT,0.687,cfs,G
03/03/2021 22:12:00,SamplePacin,500,cf,G
03/03/2021 22:12:00,BottleNum,1,,G
03/03/2021 22:12:00,AliquotNum,12,ali,G
03/03/2021 22:12:00,Incr_Flow,97.27,cf,G
03/03/2021 22:13:00,Level_PT,4.54,in,G
03/03/2021 22:13:00,Flow _PT,0.705,cfs,G
03/03/2021 22:13:00,SamplePacin,500,cf,G
03/03/2021 22:13:00,BottleNum,1,,G
03/03/2021 22:13:00,AliquotNum,12,ali,G
03/03/2021 22:13:00,Incr_Flow,139.56,cf,G
03/03/2021 22:14:00,Level_PT,4.51,in,G
03/03/2021 22:14:00,Flow _PT,0.696,cfs,G
03/03/2021 22:14:00,SamplePacin,500,cf,G
03/03/2021 22:14:00,BottleNum,1,,G
03/03/2021 22:14:00,AliquotNum,12,ali,G
03/03/2021 22:14:00,Incr_Flow,181.31,cf,G
03/03/2021 22:15:00,Level_PT,4.51,in,G
03/03/2021 22:15:00,Flow _PT,0.696,cfs,G
03/03/2021 22:15:00,SamplePacin,500,cf,G
03/03/2021 22:15:00,BottleNum,1,,G
03/03/2021 22:15:00,AliquotNum,12,ali,G
03/03/2021 22:15:00,Incr_Flow,223.06,cf,G
03/03/2021 22:16:00,Level_PT,4.45,in,G
03/03/2021 22:16:00,Flow _PT,0.678,cfs,G
03/03/2021 22:16:00,SamplePacin,500,cf,G
03/03/2021 22:16:00,BottleNum,1,,G
03/03/2021 22:16:00,AliquotNum,12,ali,G
03/03/2021 22:16:00,Incr_Flow,263.72,cf,G
03/03/2021 22:17:00,Level_PT,4.40,in,G
03/03/2021 22:17:00,Flow _PT,0.663,cfs,G
03/03/2021 22:17:00,SamplePacin,500,cf,G
03/03/2021 22:17:00,BottleNum,1,,G
03/03/2021 22:17:00,AliquotNum,12,ali,G
03/03/2021 22:17:00,Incr_Flow,303.48,cf,G
03/03/2021 22:18:00,Level_PT,4.38,in,G
03/03/2021 22:18:00,Flow _PT,0.657,cfs,G
03/03/2021 22:18:00,SamplePacin,500,cf,G
03/03/2021 22:18:00,BottleNum,1,,G
03/03/2021 22:18:00,AliquotNum,12,ali,G
03/03/2021 22:18:00,Incr_Flow,342.88,cf,G
03/03/2021 22:19:00,Level_PT,4.40,in,G
03/03/2021 22:19:00,Flow _PT,0.663,cfs,G
03/03/2021 22:19:00,SamplePacin,500,cf,G
03/03/2021 22:19:00,BottleNum,1,,G
03/03/2021 22:19:00,AliquotNum,12,ali,G
03/03/2021 22:19:00,Incr_Flow,382.63,cf,G
03/03/2021 22:20:00,Level_PT,4.42,in,G
03/03/2021 22:20:00,Flow _PT,0.669,cfs,G
03/03/2021 22:20:00,SamplePacin,500,cf,G
03/03/2021 22:20:00,BottleNum,1,,G
03/03/2021 22:20:00,AliquotNum,12,ali,G
03/03/2021 22:20:00,Incr_Flow,422.76,cf,G
03/03/2021 22:21:00,Level_PT,4.39,in,G
