DateTime,Label,Value,Units,Quality
02/07/2020 18:05:02,Reset Powerup,1,,G
02/07/2020 18:05:05,Battery,12.77,V,G
02/07/2020 18:05:05,Internal Temp,13.72,C,G
02/07/2020 18:07:30,USB Cable,1,,G
02/07/2020 18:07:50,Upgrade Start,8.27,,G
02/07/2020 18:07:50,Rev Start,3087,,G
02/07/2020 18:08:05,Reset Soft,1,,G
02/07/2020 18:08:05,Upgrade Complete,8.28,,G
02/07/2020 18:08:05,Rev Complet,3127,,G
02/07/2020 18:08:08,Battery,12.71,V,G
02/07/2020 18:08:08,Internal Temp,14.41,C,G
02/07/2020 18:08:14,USB Cable,1,,G
02/07/2020 18:08:28,Setup Change,0,,G
02/07/2020 18:08:40,Time Before Change,-28781787,ms,G
02/07/2020 10:08:59,Time After Change,-28781787,ms,G
02/07/2020 10:08:59,User Set Time,0,,G
02/07/2020 10:08:59,USB Cable,0,,G
02/07/2020 10:09:11,USB Cable,1,,G
02/07/2020 10:11:24,System Error: Cell SIM Error,5582,,G
02/07/2020 10:11:51,Setup Change,0,,G
02/07/2020 10:12:00,Recording,1,,G
02/07/2020 10:12:02,SDI XDT,0,,G
02/07/2020 10:13:00,Alarm In,1,,G
02/07/2020 10:13:58,Setup Change,0,,G
02/07/2020 10:14:00,Alarm Out,1,,G
02/07/2020 10:15:04,Log Download,0,,G
02/07/2020 10:15:20,Log Download,0,,G
02/07/2020 10:16:59,USB Cable,0,,G
02/07/2020 10:18:51,Wi-Fi Connected,0,,G
02/07/2020 10:19:42,Log Download,0,,G
02/07/2020 10:20:43,Setup Change,0,,G
02/07/2020 10:21:41,Log Download,0,,G
02/07/2020 10:25:01,Setup Change,0,,G
02/07/2020 10:25:24,Log Download,0,,G
02/07/2020 10:27:41,Wi-Fi Disconnected,0,,G
02/08/2020 10:14:59,SDI XDT,0,,G
02/09/2020 10:19:59,SDI XDT,0,,G
02/09/2020 19:15:00,Alarm In,1,,G
02/09/2020 19:15:00,Setup Change,0,,G
02/09/2020 19:20:00,Triggered S,1,,G
02/09/2020 19:20:00,VolumeTrig,24870.00,,G
02/09/2020 19:23:00,Triggered S,2,,G
02/09/2020 19:23:00,VolumeTrig,20035.00,,G
02/09/2020 19:27:00,Triggered S,3,,G
02/09/2020 19:27:00,VolumeTrig,20375.00,,G
02/09/2020 19:31:00,Triggered S,4,,G
02/09/2020 19:31:00,VolumeTrig,20955.00,,G
02/09/2020 19:35:00,Triggered S,5,,G
02/09/2020 19:35:00,VolumeTrig,21490.00,,G
02/09/2020 19:39:00,Triggered S,6,,G
02/09/2020 19:39:00,VolumeTrig,22085.00,,G
02/09/2020 19:43:00,Triggered S,7,,G
02/09/2020 19:43:00,VolumeTrig,24003.30,,G
02/09/2020 19:46:00,Triggered S,8,,G
02/09/2020 19:46:00,VolumeTrig,28672.00,,G
02/09/2020 19:48:00,Triggered S,9,,G
02/09/2020 19:48:00,VolumeTrig,28636.10,,G
02/09/2020 19:50:00,Triggered S,10,,G
02/09/2020 19:50:00,VolumeTrig,29506.20,,G
02/09/2020 19:52:00,Triggered S,11,,G
02/09/2020 19:52:00,VolumeTrig,30331.00,,G
02/09/2020 19:53:00,Triggered S,12,,G
02/09/2020 19:53:00,VolumeTrig,20834.00,,G
02/09/2020 19:55:00,Triggered S,13,,G
02/09/2020 19:55:00,VolumeTrig,22157.10,,G
02/09/2020 19:57:00,Triggered S,14,,G
02/09/2020 19:57:00,VolumeTrig,23253.70,,G
02/09/2020 19:59:00,Triggered S,15,,G
02/09/2020 19:59:00,VolumeTrig,24078.51,,G
02/09/2020 20:01:00,Triggered S,16,,G
02/09/2020 20:01:00,VolumeTrig,25084.51,,G
02/09/2020 20:03:00,Triggered S,17,,G
02/09/2020 20:03:00,VolumeTrig,25954.61,,G
02/09/2020 20:05:00,Triggered S,18,,G
02/09/2020 20:05:00,VolumeTrig,27141.81,,G
02/09/2020 20:07:00,Triggered S,19,,G
02/09/2020 20:07:00,VolumeTrig,28510.21,,G
02/09/2020 20:09:00,Triggered S,20,,G
02/09/2020 20:09:00,VolumeTrig,29742.71,,G
02/09/2020 20:10:00,Triggered S,21,,G
02/09/2020 20:10:00,VolumeTrig,20608.11,,G
02/09/2020 20:12:00,Triggered S,22,,G
02/09/2020 20:12:00,VolumeTrig,22338.91,,G
02/09/2020 20:14:00,Triggered S,23,,G
02/09/2020 20:14:00,VolumeTrig,24613.31,,G
02/09/2020 20:16:00,Triggered S,24,,G
02/09/2020 20:16:00,VolumeTrig,27521.91,,G
02/09/2020 20:18:00,Triggered S,25,,G
02/09/2020 20:18:00,VolumeTrig,30883.50,,G
02/09/2020 20:19:00,Triggered S,26,,G
02/09/2020 20:19:00,VolumeTrig,22654.90,,G
02/09/2020 20:21:00,Triggered S,27,,G
02/09/2020 20:21:00,VolumeTrig,26333.60,,G
02/09/2020 20:23:00,Triggered S,28,,G
02/09/2020 20:23:00,VolumeTrig,30555.90,,G
02/09/2020 20:24:00,Triggered S,29,,G
02/09/2020 20:24:00,VolumeTrig,22599.10,,G
02/09/2020 20:26:00,Triggered S,30,,G
02/09/2020 20:26:00,VolumeTrig,27138.50,,G
02/09/2020 20:28:00,Triggered S,31,,G
02/09/2020 20:28:00,VolumeTrig,31224.90,,G
02/09/2020 20:29:00,Triggered S,32,,G
02/09/2020 20:29:00,VolumeTrig,23494.60,,G
02/09/2020 20:31:00,Triggered S,33,,G
02/09/2020 20:31:00,VolumeTrig,27626.30,,G
02/09/2020 20:33:00,Triggered S,34,,G
02/09/2020 20:33:00,VolumeTrig,32256.30,,G
02/09/2020 20:34:00,Triggered S,35,,G
02/09/2020 20:34:00,VolumeTrig,24299.49,,G
02/09/2020 20:36:00,Triggered S,36,,G
