Station Name,model and version,XL2 S/N,,,
LakeHodges_DELDIOS,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911381,,,
Label,Meas Type,Slope,Offset,Equation,
PT Level,SDI-12,1,0,Off,
Flow_cfs,Meta,1,0,Off,
Curr_pacing,Meta,1,0,Off,
FlowVolume,Meta,1,0,Off,
Aliquot_Num,Meta,1,0,Off,
10/26/2020,10:45:00,PT Level,3.34,in,G
10/26/2020,10:45:00,Flow_cfs,0.45,,G
10/26/2020,10:45:00,Aliquot_Num,0,ali,G
10/26/2020,10:45:00,Curr_pacing,320000,,G
10/26/2020,10:45:00,FlowVolume,0,,G
10/26/2020,10:50:00,PT Level,3.33,in,G
10/26/2020,10:50:00,Aliquot_Num,0,ali,G
10/26/2020,10:50:00,Flow_cfs,0.45,,G
10/26/2020,10:50:00,Curr_pacing,320000,,G
10/26/2020,10:50:00,FlowVolume,0,,G
10/26/2020,10:55:00,PT Level,3.34,in,G
10/26/2020,10:55:00,Flow_cfs,0.45,,G
10/26/2020,10:55:00,Aliquot_Num,0,ali,G
10/26/2020,10:55:00,Curr_pacing,320000,,G
10/26/2020,10:55:00,FlowVolume,0,,G
10/26/2020,11:00:00,PT Level,3.33,in,G
10/26/2020,11:00:00,Aliquot_Num,0,ali,G
10/26/2020,11:00:00,Flow_cfs,0.45,,G
10/26/2020,11:00:00,Curr_pacing,320000,,G
10/26/2020,11:00:00,FlowVolume,0,,G
10/26/2020,11:05:00,PT Level,3.32,in,G
10/26/2020,11:05:00,Flow_cfs,0.44,,G
10/26/2020,11:05:00,Aliquot_Num,0,ali,G
10/26/2020,11:05:00,Curr_pacing,320000,,G
10/26/2020,11:05:00,FlowVolume,0,,G
10/26/2020,11:10:00,PT Level,3.32,in,G
10/26/2020,11:10:00,Aliquot_Num,0,ali,G
10/26/2020,11:10:00,Flow_cfs,0.44,,G
10/26/2020,11:10:00,Curr_pacing,320000,,G
10/26/2020,11:10:00,FlowVolume,0,,G
10/26/2020,11:15:00,PT Level,3.32,in,G
10/26/2020,11:15:00,Aliquot_Num,0,ali,G
10/26/2020,11:15:00,Flow_cfs,0.44,,G
10/26/2020,11:15:00,Curr_pacing,320000,,G
10/26/2020,11:15:00,FlowVolume,0,,G
10/26/2020,11:20:00,PT Level,3.32,in,G
10/26/2020,11:20:00,Flow_cfs,0.44,,G
10/26/2020,11:20:00,Aliquot_Num,0,ali,G
10/26/2020,11:20:00,Curr_pacing,320000,,G
10/26/2020,11:20:00,FlowVolume,0,,G
10/26/2020,11:25:00,PT Level,3.3,in,G
10/26/2020,11:25:00,Aliquot_Num,0,ali,G
10/26/2020,11:25:00,Flow_cfs,0.43,,G
10/26/2020,11:25:00,Curr_pacing,320000,,G
10/26/2020,11:25:00,FlowVolume,0,,G
10/26/2020,11:30:00,PT Level,3.31,in,G
10/26/2020,11:30:00,Flow_cfs,0.44,,G
10/26/2020,11:30:00,Aliquot_Num,0,ali,G
10/26/2020,11:30:00,Curr_pacing,320000,,G
10/26/2020,11:30:00,FlowVolume,0,,G
10/26/2020,11:35:00,PT Level,3.31,in,G
10/26/2020,11:35:00,Aliquot_Num,0,ali,G
10/26/2020,11:35:00,Flow_cfs,0.44,,G
10/26/2020,11:35:00,Curr_pacing,320000,,G
10/26/2020,11:35:00,FlowVolume,0,,G
10/26/2020,11:40:00,PT Level,3.31,in,G
10/26/2020,11:40:00,Flow_cfs,0.44,,G
10/26/2020,11:40:00,Aliquot_Num,0,ali,G
10/26/2020,11:40:00,Curr_pacing,320000,,G
10/26/2020,11:40:00,FlowVolume,0,,G
10/26/2020,11:45:00,PT Level,3.31,in,G
10/26/2020,11:45:00,Aliquot_Num,0,ali,G
10/26/2020,11:45:00,Flow_cfs,0.44,,G
10/26/2020,11:45:00,Curr_pacing,320000,,G
10/26/2020,11:45:00,FlowVolume,0,,G
10/26/2020,11:50:00,PT Level,3.32,in,G
10/26/2020,11:50:00,Aliquot_Num,0,ali,G
10/26/2020,11:50:00,Flow_cfs,0.44,,G
10/26/2020,11:50:00,Curr_pacing,320000,,G
10/26/2020,11:50:00,FlowVolume,0,,G
10/26/2020,11:55:00,PT Level,3.31,in,G
10/26/2020,11:55:00,Flow_cfs,0.44,,G
10/26/2020,11:55:00,Aliquot_Num,0,ali,G
10/26/2020,11:55:00,Curr_pacing,320000,,G
10/26/2020,11:55:00,FlowVolume,0,,G
10/26/2020,12:00:00,PT Level,3.31,in,G
10/26/2020,12:00:00,Aliquot_Num,0,ali,G
10/26/2020,12:00:00,Flow_cfs,0.44,,G
10/26/2020,12:00:00,Curr_pacing,320000,,G
10/26/2020,12:00:00,FlowVolume,0,,G
10/26/2020,12:05:00,PT Level,3.31,in,G
10/26/2020,12:05:00,Flow_cfs,0.44,,G
10/26/2020,12:05:00,Aliquot_Num,0,ali,G
10/26/2020,12:05:00,Curr_pacing,320000,,G
10/26/2020,12:05:00,FlowVolume,0,,G
10/26/2020,12:10:00,PT Level,3.29,in,G
10/26/2020,12:10:00,Aliquot_Num,0,ali,G
10/26/2020,12:10:00,Flow_cfs,0.43,,G
10/26/2020,12:10:00,Curr_pacing,320000,,G
10/26/2020,12:10:00,FlowVolume,0,,G
10/26/2020,12:15:00,PT Level,3.31,in,G
10/26/2020,12:15:00,Flow_cfs,0.44,,G
10/26/2020,12:15:00,Aliquot_Num,0,ali,G
10/26/2020,12:15:00,Curr_pacing,320000,,G
10/26/2020,12:15:00,FlowVolume,0,,G
10/26/2020,12:20:00,PT Level,3.29,in,G
10/26/2020,12:20:00,Aliquot_Num,0,ali,G
10/26/2020,12:20:00,Flow_cfs,0.43,,G
10/26/2020,12:20:00,Curr_pacing,320000,,G
10/26/2020,12:20:00,FlowVolume,0,,G
10/26/2020,12:25:00,PT Level,3.26,in,G
