Date Time,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,cfs
11/18/2021 13:55:00,1.97,0.499
11/18/2021 14:00:00,1.96,0.497
11/18/2021 14:05:00,1.97,0.499
11/18/2021 14:10:00,1.99,0.505
11/18/2021 14:15:00,1.99,0.505
11/18/2021 14:20:00,1.98,0.501
11/18/2021 14:25:00,1.98,0.501
11/18/2021 14:30:00,1.97,0.499
11/18/2021 14:35:00,1.97,0.499
11/18/2021 14:40:00,1.96,0.497
11/18/2021 14:45:00,1.97,0.499
11/18/2021 14:50:00,1.95,0.495
11/18/2021 14:55:00,1.96,0.497
11/18/2021 15:00:00,1.96,0.497
11/18/2021 15:05:00,1.96,0.497
11/18/2021 15:10:00,1.93,0.490
11/18/2021 15:15:00,1.95,0.495
11/18/2021 15:20:00,1.94,0.492
11/18/2021 15:25:00,1.95,0.495
11/18/2021 15:30:00,1.93,0.490
11/18/2021 15:35:00,1.95,0.495
11/18/2021 15:40:00,1.96,0.497
11/18/2021 15:45:00,1.95,0.495
11/18/2021 15:50:00,1.96,0.497
11/18/2021 15:55:00,1.96,0.497
11/18/2021 16:00:00,1.97,0.499
11/18/2021 16:05:00,1.96,0.497
11/18/2021 16:10:00,1.98,0.501
11/18/2021 16:15:00,2.00,0.509
11/18/2021 16:20:00,1.99,0.505
11/18/2021 16:25:00,1.96,0.497
11/18/2021 16:30:00,1.95,0.495
11/18/2021 16:35:00,1.96,0.497
11/18/2021 16:40:00,1.95,0.495
11/18/2021 16:45:00,1.95,0.495
11/18/2021 16:50:00,1.96,0.497
11/18/2021 16:55:00,1.95,0.495
11/18/2021 17:00:00,1.96,0.497
11/18/2021 17:05:00,1.96,0.497
11/18/2021 17:10:00,1.96,0.497
11/18/2021 17:15:00,1.95,0.495
11/18/2021 17:20:00,1.96,0.497
11/18/2021 17:25:00,1.96,0.497
11/18/2021 17:30:00,1.95,0.495
11/18/2021 17:35:00,1.96,0.497
11/18/2021 17:40:00,1.96,0.497
11/18/2021 17:45:00,1.96,0.497
11/18/2021 17:50:00,1.97,0.499
11/18/2021 17:55:00,1.98,0.501
11/18/2021 18:00:00,1.96,0.497
11/18/2021 18:05:00,1.96,0.497
11/18/2021 18:10:00,1.97,0.499
11/18/2021 18:15:00,1.98,0.501
11/18/2021 18:20:00,1.98,0.501
11/18/2021 18:25:00,1.97,0.499
11/18/2021 18:30:00,1.99,0.505
11/18/2021 18:35:00,1.98,0.501
11/18/2021 18:40:00,1.98,0.501
11/18/2021 18:45:00,1.99,0.505
11/18/2021 18:50:00,1.98,0.501
11/18/2021 18:55:00,1.98,0.501
11/18/2021 19:00:00,1.98,0.501
11/18/2021 19:05:00,1.99,0.505
11/18/2021 19:10:00,1.98,0.501
11/18/2021 19:15:00,1.97,0.499
11/18/2021 19:20:00,1.98,0.501
11/18/2021 19:25:00,1.99,0.505
11/18/2021 19:30:00,2.00,0.509
11/18/2021 19:35:00,1.99,0.505
11/18/2021 19:40:00,2.02,0.518
11/18/2021 19:45:00,2.01,0.514
11/18/2021 19:50:00,1.98,0.501
11/18/2021 19:55:00,2.02,0.518
11/18/2021 20:00:00,2.02,0.518
11/18/2021 20:05:00,2.01,0.514
11/18/2021 20:10:00,2.02,0.518
11/18/2021 20:15:00,2.02,0.518
11/18/2021 20:20:00,2.04,0.526
11/18/2021 20:25:00,2.05,0.530
11/18/2021 20:30:00,2.04,0.526
11/18/2021 20:35:00,2.04,0.526
11/18/2021 20:40:00,2.06,0.535
11/18/2021 20:45:00,2.04,0.526
11/18/2021 20:50:00,2.04,0.526
11/18/2021 20:55:00,2.07,0.539
11/18/2021 21:00:00,2.07,0.539
11/18/2021 21:05:00,2.06,0.535
11/18/2021 21:10:00,2.07,0.539
11/18/2021 21:15:00,2.07,0.539
11/18/2021 21:20:00,2.08,0.543
11/18/2021 21:25:00,2.06,0.535
11/18/2021 21:30:00,2.05,0.530
11/18/2021 21:35:00,2.05,0.530
11/18/2021 21:40:00,2.04,0.526
11/18/2021 21:45:00,2.04,0.526
11/18/2021 21:50:00,2.06,0.535
11/18/2021 21:55:00,2.06,0.535
11/18/2021 22:00:00,2.06,0.535
11/18/2021 22:05:00,2.07,0.539
11/18/2021 22:10:00,2.05,0.530
11/18/2021 22:15:00,2.07,0.539
11/18/2021 22:20:00,2.05,0.530
11/18/2021 22:25:00,2.04,0.526
11/18/2021 22:30:00,2.06,0.535
11/18/2021 22:35:00,2.05,0.530
11/18/2021 22:40:00,2.04,0.526
11/18/2021 22:45:00,2.04,0.526
11/18/2021 22:50:00,2.04,0.526
11/18/2021 22:55:00,2.04,0.526
11/18/2021 23:00:00,2.05,0.530
11/18/2021 23:05:00,2.05,0.530
11/18/2021 23:10:00,2.05,0.530
11/18/2021 23:15:00,2.07,0.539
11/18/2021 23:20:00,2.07,0.539
11/18/2021 23:25:00,2.07,0.539
11/18/2021 23:30:00,2.05,0.530
11/18/2021 23:35:00,2.06,0.535
11/18/2021 23:40:00,2.07,0.539
11/18/2021 23:45:00,2.05,0.530
11/18/2021 23:50:00,2.07,0.539
11/18/2021 23:55:00,2.06,0.535
11/19/2021 00:00:00,2.05,0.530
11/19/2021 00:05:00,2.05,0.530
11/19/2021 00:10:00,2.06,0.535
11/19/2021 00:15:00,2.07,0.539
11/19/2021 00:20:00,2.07,0.539
11/19/2021 00:25:00,2.07,0.539
11/19/2021 00:30:00,2.06,0.535
11/19/2021 00:35:00,2.09,0.547
11/19/2021 00:40:00,2.08,0.543
11/19/2021 00:45:00,2.09,0.547
11/19/2021 00:50:00,2.07,0.539
11/19/2021 00:55:00,2.09,0.547
11/19/2021 01:00:00,2.07,0.539
11/19/2021 01:05:00,2.09,0.547
11/19/2021 01:10:00,2.06,0.535
11/19/2021 01:15:00,2.07,0.539
11/19/2021 01:20:00,2.09,0.547
11/19/2021 01:25:00,2.09,0.547
11/19/2021 01:30:00,2.08,0.543
11/19/2021 01:35:00,2.07,0.539
11/19/2021 01:40:00,2.09,0.547
11/19/2021 01:45:00,2.07,0.539
11/19/2021 01:50:00,2.09,0.547
11/19/2021 01:55:00,2.09,0.547
11/19/2021 02:00:00,2.08,0.543
11/19/2021 02:05:00,2.07,0.539
11/19/2021 02:10:00,2.08,0.543
11/19/2021 02:15:00,2.07,0.539
11/19/2021 02:20:00,2.09,0.547
11/19/2021 02:25:00,2.09,0.547
11/19/2021 02:30:00,2.07,0.539
11/19/2021 02:35:00,2.06,0.535
11/19/2021 02:40:00,2.07,0.539
11/19/2021 02:45:00,2.07,0.539
11/19/2021 02:50:00,2.09,0.547
11/19/2021 02:55:00,2.09,0.547
11/19/2021 03:00:00,2.08,0.543
11/19/2021 03:05:00,2.09,0.547
11/19/2021 03:10:00,2.09,0.547
11/19/2021 03:15:00,2.08,0.543
11/19/2021 03:20:00,2.09,0.547
11/19/2021 03:25:00,2.10,0.552
11/19/2021 03:30:00,2.08,0.543
11/19/2021 03:35:00,2.08,0.543
11/19/2021 03:40:00,2.09,0.547
11/19/2021 03:45:00,2.09,0.547
11/19/2021 03:50:00,2.09,0.547
11/19/2021 03:55:00,2.08,0.543
11/19/2021 04:00:00,2.09,0.547
11/19/2021 04:05:00,2.09,0.547
11/19/2021 04:10:00,2.09,0.547
11/19/2021 04:15:00,2.09,0.547
11/19/2021 04:20:00,2.09,0.547
11/19/2021 04:25:00,2.10,0.552
11/19/2021 04:30:00,2.12,0.560
11/19/2021 04:35:00,2.10,0.552
11/19/2021 04:40:00,2.10,0.552
11/19/2021 04:45:00,2.10,0.552
11/19/2021 04:50:00,2.11,0.556
11/19/2021 04:55:00,2.09,0.547
11/19/2021 05:00:00,2.10,0.552
11/19/2021 05:05:00,2.10,0.552
11/19/2021 05:10:00,2.10,0.552
11/19/2021 05:15:00,2.11,0.556
11/19/2021 05:20:00,2.10,0.552
11/19/2021 05:25:00,2.09,0.547
11/19/2021 05:30:00,2.11,0.556
11/19/2021 05:35:00,2.11,0.556
11/19/2021 05:40:00,2.10,0.552
11/19/2021 05:45:00,2.12,0.560
11/19/2021 05:50:00,2.11,0.556
11/19/2021 05:55:00,2.12,0.560
11/19/2021 06:00:00,2.12,0.560
11/19/2021 06:05:00,2.13,0.564
11/19/2021 06:10:00,2.11,0.556
11/19/2021 06:15:00,2.12,0.560
11/19/2021 06:20:00,2.12,0.560
11/19/2021 06:25:00,2.10,0.552
11/19/2021 06:30:00,2.13,0.564
11/19/2021 06:35:00,2.11,0.556
11/19/2021 06:40:00,2.10,0.552
11/19/2021 06:45:00,2.12,0.560
11/19/2021 06:50:00,2.10,0.552
11/19/2021 06:55:00,2.12,0.560
11/19/2021 07:00:00,2.12,0.560
11/19/2021 07:05:00,2.11,0.556
11/19/2021 07:10:00,2.13,0.564
11/19/2021 07:15:00,2.12,0.560
11/19/2021 07:20:00,2.12,0.560
