Date,Time,Label,Value,Units,Quality
09/01/2020,19:25:00,SDI XDT,0,,G
09/02/2020,19:30:00,SDI XDT,0,,G
09/03/2020,19:30:00,SDI XDT,0,,G
09/04/2020,19:30:00,SDI XDT,0,,G
09/05/2020,19:30:00,SDI XDT,0,,G
09/06/2020,19:30:00,SDI XDT,0,,G
09/07/2020,19:35:00,SDI XDT,0,,G
09/08/2020,19:40:00,SDI XDT,0,,G
09/09/2020,12:24:05,Log Download,0,,G
09/09/2020,12:31:40,Client Conn,22,,G
09/09/2020,19:41:42,SDI XDT,0,,G
09/10/2020,19:45:00,SDI XDT,0,,G
09/11/2020,19:45:00,SDI XDT,0,,G
09/12/2020,19:45:00,SDI XDT,0,,G
09/13/2020,19:50:00,SDI XDT,0,,G
09/14/2020,19:55:00,SDI XDT,0,,G
09/15/2020,19:55:00,SDI XDT,0,,G
09/16/2020,19:32:30,Time Before Change,2938,ms,G
09/16/2020,19:32:33,Time After Change,2938,ms,G
09/16/2020,19:32:33,Cell Set Time,0,,G
09/16/2020,19:32:33,SDI XDT,0,,G
09/17/2020,19:35:00,SDI XDT,0,,G
09/18/2020,19:40:00,SDI XDT,0,,G
09/19/2020,19:40:00,SDI XDT,0,,G
09/20/2020,19:45:00,SDI XDT,0,,G
09/21/2020,19:50:00,SDI XDT,0,,G
09/22/2020,19:50:00,SDI XDT,0,,G
09/23/2020,19:55:00,SDI XDT,0,,G
09/24/2020,20:00:00,SDI XDT,0,,G
09/25/2020,20:00:00,SDI XDT,0,,G
09/26/2020,20:05:00,SDI XDT,0,,G
09/27/2020,20:10:00,SDI XDT,0,,G
09/28/2020,20:10:00,SDI XDT,0,,G
09/29/2020,20:15:00,SDI XDT,0,,G
09/30/2020,20:15:00,SDI XDT,0,,G
10/01/2020,20:20:00,SDI XDT,0,,G
10/02/2020,19:40:04,Time Before Change,2938,ms,G
10/02/2020,19:40:07,Time After Change,2938,ms,G
10/02/2020,19:40:07,Cell Set Time,0,,G
10/02/2020,19:40:07,SDI XDT,0,,G
10/03/2020,19:45:00,SDI XDT,0,,G
10/04/2020,19:50:00,SDI XDT,0,,G
10/05/2020,14:25:03,SMS Receive,11,,G
10/05/2020,14:30:35,Client Conn,23,,G
10/05/2020,14:37:01,Client Conn,24,,G
10/05/2020,15:48:29,Wi-Fi Connected,0,,G
10/05/2020,15:48:30,Wi-Fi Disconnected,0,,G
10/05/2020,15:48:43,Wi-Fi Connected,0,,G
10/05/2020,15:49:30,Upgrade Start,8.28,,G
10/05/2020,15:49:30,Rev Start,3127,,G
10/05/2020,15:49:30,Wi-Fi Disconnected,0,,G
10/05/2020,15:49:46,Reset Soft,1,,G
10/05/2020,15:49:46,Upgrade Complete,8.35,,G
10/05/2020,15:49:46,Rev Complet,3369,,G
10/05/2020,15:49:49,SDI XDT,0,,G
10/05/2020,15:49:50,Battery,13.39,V,G
10/05/2020,15:49:50,Internal Temp,40.67,C,G
10/05/2020,15:50:26,Time Before Change,-1057,ms,G
10/05/2020,15:50:25,Time After Change,-1057,ms,G
10/05/2020,15:50:25,Cell Set Time,0,,G
10/05/2020,15:50:25,SDI XDT,0,,G
10/05/2020,15:50:49,Wi-Fi Connected,0,,G
10/05/2020,15:51:26,Setup Change,0,,G
10/05/2020,15:51:34,Reset Soft,2,,G
10/05/2020,15:51:37,SDI XDT,0,,G
10/05/2020,15:51:37,Battery,13.39,V,G
10/05/2020,15:51:37,Internal Temp,40.46,C,G
10/05/2020,15:52:10,Time Before Change,-57,ms,G
10/05/2020,15:52:10,Time After Change,-57,ms,G
10/05/2020,15:53:02,Client Conn,25,,G
10/05/2020,16:14:49,Client Conn,26,,G
10/06/2020,10:58:47,Log Download,0,,G
10/06/2020,11:04:23,Client Conn,27,,G
10/06/2020,12:21:57,Log Download,0,,G
10/06/2020,12:22:32,Client Conn,28,,G
10/06/2020,12:27:17,Log Download,0,,G
10/06/2020,12:31:24,Client Conn,29,,G
10/06/2020,15:56:27,SDI XDT,0,,G
10/07/2020,16:00:00,SDI XDT,0,,G
10/08/2020,16:05:00,SDI XDT,0,,G
10/09/2020,16:10:00,SDI XDT,0,,G
10/10/2020,16:10:00,SDI XDT,0,,G
10/11/2020,16:10:00,SDI XDT,0,,G
10/12/2020,15:56:33,Time Before Change,2941,ms,G
10/12/2020,15:56:36,Time After Change,2941,ms,G
10/12/2020,15:56:36,Cell Set Time,0,,G
10/12/2020,15:56:36,SDI XDT,0,,G
10/13/2020,16:00:00,SDI XDT,0,,G
10/14/2020,16:00:00,SDI XDT,0,,G
10/15/2020,16:05:00,SDI XDT,0,,G
10/16/2020,16:05:00,SDI XDT,0,,G
10/17/2020,16:10:00,SDI XDT,0,,G
10/18/2020,16:15:00,SDI XDT,0,,G
10/19/2020,16:15:00,SDI XDT,0,,G
10/20/2020,16:20:00,SDI XDT,0,,G
10/21/2020,16:20:00,SDI XDT,0,,G
10/22/2020,16:25:00,SDI XDT,0,,G
10/23/2020,16:30:00,SDI XDT,0,,G
10/24/2020,16:02:25,Time Before Change,2938,ms,G
10/24/2020,16:02:28,Time After Change,2938,ms,G
10/24/2020,16:02:28,Cell Set Time,0,,G
10/24/2020,16:02:28,SDI XDT,0,,G
10/25/2020,16:05:00,SDI XDT,0,,G
10/26/2020,16:05:00,SDI XDT,0,,G
10/27/2020,13:39:09,Setup Change,0,,G
10/27/2020,13:39:47,Log Download,0,,G
