DateTime,Label,Value,Units,Quality
02/11/2021 16:15:00,SDI XDT,0,,G
02/12/2021 16:20:00,SDI XDT,0,,G
02/13/2021 16:25:00,SDI XDT,0,,G
02/14/2021 16:25:00,SDI XDT,0,,G
02/15/2021 16:05:28,Time Before Change,2938,ms,G
02/15/2021 16:05:31,Time After Change,2938,ms,G
02/15/2021 16:05:31,Cell Set Time,0,,G
02/15/2021 16:05:31,SDI XDT,0,,G
02/16/2021 16:10:00,SDI XDT,0,,G
02/17/2021 16:10:00,SDI XDT,0,,G
02/18/2021 16:15:00,SDI XDT,0,,G
02/19/2021 16:15:00,SDI XDT,0,,G
02/20/2021 16:20:00,SDI XDT,0,,G
02/21/2021 16:20:00,SDI XDT,0,,G
02/22/2021 16:25:00,SDI XDT,0,,G
02/23/2021 16:30:00,SDI XDT,0,,G
02/24/2021 16:30:00,SDI XDT,0,,G
02/25/2021 16:35:00,SDI XDT,0,,G
02/26/2021 11:23:33,Log Download,0,,G
02/26/2021 11:28:38,Client Conn,35,,G
02/26/2021 11:33:31,Log Download,0,,G
