Date Time,Level_PT_No,Flow _PT,Level_PT_So
MM/dd/yyyy hh:mm:ss,in,cfs,in
10/26/2021 12:15:00,-13.42,0.000,0.34
10/26/2021 12:20:00,-13.32,0.000,0.34
10/26/2021 12:25:00,-13.42,0.000,0.35
10/26/2021 12:30:00,-13.39,0.000,0.33
10/26/2021 12:35:00,-13.27,0.000,0.33
10/26/2021 12:40:00,-13.23,0.000,0.34
10/26/2021 12:45:00,-13.44,0.000,0.32
10/26/2021 12:50:00,-13.38,0.000,0.34
10/26/2021 12:55:00,-13.55,0.000,0.32
10/26/2021 13:00:00,-13.59,0.000,0.34
10/26/2021 13:05:00,-13.54,0.000,0.35
10/26/2021 13:10:00,-13.04,0.000,0.33
10/26/2021 13:15:00,-13.55,0.000,0.33
10/26/2021 13:20:00,-13.51,0.000,0.34
10/26/2021 13:25:00,-13.44,0.000,0.33
10/26/2021 13:30:00,-13.58,0.000,0.33
10/26/2021 13:35:00,-13.11,0.000,0.32
10/26/2021 13:40:00,-13.48,0.000,0.33
10/26/2021 13:45:00,-13.48,0.000,0.32
10/26/2021 13:50:00,-13.41,0.000,0.30
10/26/2021 13:55:00,-13.47,0.000,0.33
10/26/2021 14:00:00,-13.44,0.000,0.33
10/26/2021 14:05:00,-13.30,0.000,0.34
10/26/2021 14:10:00,-13.44,0.000,0.33
10/26/2021 14:15:00,-13.41,0.000,0.33
10/26/2021 14:20:00,-13.58,0.000,0.33
10/26/2021 14:25:00,-13.47,0.000,0.33
10/26/2021 14:30:00,-13.52,0.000,0.33
10/26/2021 14:35:00,-13.46,0.000,0.33
10/26/2021 14:40:00,-13.58,0.000,0.33
10/26/2021 14:45:00,-13.67,0.000,0.33
10/26/2021 14:50:00,-13.47,0.000,0.34
10/26/2021 14:55:00,-13.29,0.000,0.34
10/26/2021 15:00:00,-13.59,0.000,0.34
10/26/2021 15:05:00,-13.62,0.000,0.34
10/26/2021 15:10:00,-13.59,0.000,0.33
10/26/2021 15:15:00,-13.56,0.000,0.33
10/26/2021 15:20:00,-13.45,0.000,0.33
10/26/2021 15:25:00,-13.43,0.000,0.34
10/26/2021 15:30:00,-13.41,0.000,0.34
10/26/2021 15:35:00,-13.47,0.000,0.35
10/26/2021 15:40:00,-13.05,0.000,0.31
10/26/2021 15:45:00,-13.45,0.000,0.33
10/26/2021 15:50:00,-13.17,0.000,0.32
10/26/2021 15:55:00,-13.73,0.000,0.33
10/26/2021 16:00:00,-13.66,0.000,0.33
10/26/2021 16:05:00,-13.63,0.000,0.33
10/26/2021 16:10:00,-13.25,0.000,0.34
10/26/2021 16:15:00,-13.62,0.000,0.34
10/26/2021 16:20:00,-13.36,0.000,0.33
10/26/2021 16:25:00,-13.55,0.000,0.33
10/26/2021 16:30:00,-13.67,0.000,0.32
10/26/2021 16:35:00,-13.42,0.000,0.33
10/26/2021 16:40:00,-13.60,0.000,0.33
10/26/2021 16:45:00,-13.65,0.000,0.33
10/26/2021 16:50:00,-13.66,0.000,0.33
10/26/2021 16:55:00,-13.42,0.000,0.33
10/26/2021 17:00:00,-13.56,0.000,0.33
10/26/2021 17:05:00,-13.53,0.000,0.34
10/26/2021 17:10:00,-13.45,0.000,0.33
10/26/2021 17:15:00,-13.47,0.000,0.33
10/26/2021 17:20:00,-13.29,0.000,0.34
10/26/2021 17:25:00,-13.32,0.000,0.33
10/26/2021 17:30:00,-13.49,0.000,0.33
10/26/2021 17:35:00,-13.42,0.000,0.33
10/26/2021 17:40:00,-13.31,0.000,0.34
10/26/2021 17:45:00,-13.26,0.000,0.33
10/26/2021 17:50:00,-13.56,0.000,0.33
10/26/2021 17:55:00,-13.13,0.000,0.33
10/26/2021 18:00:00,-13.34,0.000,0.33
10/26/2021 18:05:00,-12.70,0.000,0.33
10/26/2021 18:10:00,-13.40,0.000,0.32
10/26/2021 18:15:00,-13.51,0.000,0.31
10/26/2021 18:20:00,-13.32,0.000,0.32
10/26/2021 18:25:00,-13.36,0.000,0.31
10/26/2021 18:30:00,-13.63,0.000,0.32
10/26/2021 18:35:00,-13.51,0.000,0.32
10/26/2021 18:40:00,-13.21,0.000,0.33
10/26/2021 18:45:00,-13.26,0.000,0.33
10/26/2021 18:50:00,-13.21,0.000,0.32
10/26/2021 18:55:00,-13.40,0.000,0.33
10/26/2021 19:00:00,-13.46,0.000,0.31
10/26/2021 19:05:00,-12.91,0.000,0.32
10/26/2021 19:10:00,-13.16,0.000,0.31
10/26/2021 19:15:00,-13.30,0.000,0.32
10/26/2021 19:20:00,-13.48,0.000,0.32
10/26/2021 19:25:00,-13.23,0.000,0.32
10/26/2021 19:30:00,-13.25,0.000,0.32
10/26/2021 19:35:00,-13.55,0.000,0.32
10/26/2021 19:40:00,-12.93,0.000,0.31
10/26/2021 19:45:00,-13.45,0.000,0.31
10/26/2021 19:50:00,-13.17,0.000,0.31
10/26/2021 19:55:00,-13.34,0.000,0.31
10/26/2021 20:00:00,-13.24,0.000,0.33
10/26/2021 20:05:00,-13.32,0.000,0.32
10/26/2021 20:10:00,-13.27,0.000,0.31
10/26/2021 20:15:00,-13.27,0.000,0.30
10/26/2021 20:20:00,-13.47,0.000,0.33
10/26/2021 20:25:00,-13.15,0.000,0.31
10/26/2021 20:30:00,-13.58,0.000,0.30
10/26/2021 20:35:00,-13.57,0.000,0.31
10/26/2021 20:40:00,-13.32,0.000,0.31
10/26/2021 20:45:00,-13.14,0.000,0.31
10/26/2021 20:50:00,-13.24,0.000,0.30
10/26/2021 20:55:00,-13.10,0.000,0.30
10/26/2021 21:00:00,-13.20,0.000,0.31
10/26/2021 21:05:00,-13.03,0.000,0.31
10/26/2021 21:10:00,-13.27,0.000,0.32
10/26/2021 21:15:00,-13.48,0.000,0.31
10/26/2021 21:20:00,-13.16,0.000,0.32
10/26/2021 21:25:00,-12.97,0.000,0.31
10/26/2021 21:30:00,-12.99,0.000,0.30
10/26/2021 21:35:00,-13.11,0.000,0.30
10/26/2021 21:40:00,-13.39,0.000,0.31
10/26/2021 21:45:00,-12.88,0.000,0.32
10/26/2021 21:50:00,-13.18,0.000,0.31
10/26/2021 21:55:00,-13.30,0.000,0.31
10/26/2021 22:00:00,-13.50,0.000,0.30
10/26/2021 22:05:00,-13.31,0.000,0.31
10/26/2021 22:10:00,-13.22,0.000,0.31
10/26/2021 22:15:00,-13.30,0.000,0.31
10/26/2021 22:20:00,-13.32,0.000,0.31
10/26/2021 22:25:00,-13.47,0.000,0.31
10/26/2021 22:30:00,-13.40,0.000,0.30
10/26/2021 22:35:00,-13.19,0.000,0.29
10/26/2021 22:40:00,-13.37,0.000,0.31
10/26/2021 22:45:00,-13.39,0.000,0.31
10/26/2021 22:50:00,-13.34,0.000,0.30
10/26/2021 22:55:00,-13.36,0.000,0.31
10/26/2021 23:00:00,-13.42,0.000,0.30
10/26/2021 23:05:00,-13.09,0.000,0.30
10/26/2021 23:10:00,-13.04,0.000,0.30
10/26/2021 23:15:00,-13.36,0.000,0.30
10/26/2021 23:20:00,-13.35,0.000,0.30
10/26/2021 23:25:00,-13.39,0.000,0.30
10/26/2021 23:30:00,-13.29,0.000,0.30
10/26/2021 23:35:00,-13.37,0.000,0.29
10/26/2021 23:40:00,-13.08,0.000,0.30
10/26/2021 23:45:00,-13.23,0.000,0.30
10/26/2021 23:50:00,-13.31,0.000,0.30
10/26/2021 23:55:00,-13.20,0.000,0.29
10/27/2021 00:00:00,-13.15,0.000,0.30
10/27/2021 00:05:00,-13.20,0.000,0.31
10/27/2021 00:10:00,-13.12,0.000,0.29
10/27/2021 00:15:00,-12.94,0.000,0.30
10/27/2021 00:20:00,-13.20,0.000,0.30
10/27/2021 00:25:00,-13.09,0.000,0.29
10/27/2021 00:30:00,-13.30,0.000,0.29
10/27/2021 00:35:00,-13.37,0.000,0.28
10/27/2021 00:40:00,-13.45,0.000,0.30
10/27/2021 00:45:00,-13.25,0.000,0.28
10/27/2021 00:50:00,-13.25,0.000,0.29
10/27/2021 00:55:00,-13.39,0.000,0.28
10/27/2021 01:00:00,-13.28,0.000,0.29
10/27/2021 01:05:00,-13.32,0.000,0.30
10/27/2021 01:10:00,-13.23,0.000,0.30
10/27/2021 01:15:00,-12.69,0.000,0.29
10/27/2021 01:20:00,-13.57,0.000,0.29
10/27/2021 01:25:00,-13.16,0.000,0.28
10/27/2021 01:30:00,-13.34,0.000,0.29
10/27/2021 01:35:00,-13.49,0.000,0.28
10/27/2021 01:40:00,-13.47,0.000,0.29
10/27/2021 01:45:00,-13.46,0.000,0.29
10/27/2021 01:50:00,-13.53,0.000,0.28
10/27/2021 01:55:00,-13.48,0.000,0.29
10/27/2021 02:00:00,-13.46,0.000,0.29
10/27/2021 02:05:00,-13.48,0.000,0.29
10/27/2021 02:10:00,-13.41,0.000,0.29
10/27/2021 02:15:00,-13.28,0.000,0.28
10/27/2021 02:20:00,-13.57,0.000,0.28
10/27/2021 02:25:00,-13.34,0.000,0.28
10/27/2021 02:30:00,-13.40,0.000,0.28
10/27/2021 02:35:00,-13.55,0.000,0.29
10/27/2021 02:40:00,-13.28,0.000,0.28
10/27/2021 02:45:00,-13.52,0.000,0.30
10/27/2021 02:50:00,-13.47,0.000,0.28
10/27/2021 02:55:00,-13.48,0.000,0.28
10/27/2021 03:00:00,-13.33,0.000,0.29
10/27/2021 03:05:00,-13.41,0.000,0.28
10/27/2021 03:10:00,-13.25,0.000,0.28
10/27/2021 03:15:00,-13.23,0.000,0.28
10/27/2021 03:20:00,-13.54,0.000,0.28
10/27/2021 03:25:00,-13.55,0.000,0.29
10/27/2021 03:30:00,-13.63,0.000,0.29
10/27/2021 03:35:00,-13.66,0.000,0.29
10/27/2021 03:40:00,-13.45,0.000,0.28
10/27/2021 03:45:00,-13.61,0.000,0.28
10/27/2021 03:50:00,-13.71,0.000,0.29
