Date,Time,Label,Value,Units,Quality
09/01/2020,11:39:59,SDI XDT,0,,G
09/02/2020,11:39:59,SDI XDT,0,,G
09/03/2020,11:44:59,SDI XDT,0,,G
09/04/2020,11:44:59,SDI XDT,0,,G
09/05/2020,11:49:59,SDI XDT,0,,G
09/06/2020,11:54:59,SDI XDT,0,,G
09/07/2020,11:54:59,SDI XDT,0,,G
09/08/2020,11:54:59,SDI XDT,0,,G
09/09/2020,11:17:10,Time Before Change,2939,ms,G
09/09/2020,11:17:13,Time After Change,2939,ms,G
09/09/2020,11:17:13,Cell Set Time,0,,G
09/09/2020,11:17:13,SDI XDT,0,,G
09/09/2020,12:27:52,Log Download,0,,G
09/09/2020,12:29:45,Client Conn,132,,G
09/10/2020,11:19:59,SDI XDT,0,,G
09/11/2020,11:24:59,SDI XDT,0,,G
09/12/2020,11:24:59,SDI XDT,0,,G
09/13/2020,11:24:59,SDI XDT,0,,G
09/14/2020,11:29:59,SDI XDT,0,,G
09/15/2020,11:29:59,SDI XDT,0,,G
09/16/2020,11:34:59,SDI XDT,0,,G
09/17/2020,11:34:59,SDI XDT,0,,G
09/18/2020,11:34:59,SDI XDT,0,,G
09/19/2020,11:39:59,SDI XDT,0,,G
09/20/2020,11:44:59,SDI XDT,0,,G
09/21/2020,11:44:59,SDI XDT,0,,G
09/22/2020,11:44:59,SDI XDT,0,,G
09/23/2020,11:49:59,SDI XDT,0,,G
09/24/2020,11:54:59,SDI XDT,0,,G
09/25/2020,11:54:59,SDI XDT,0,,G
09/26/2020,11:54:59,SDI XDT,0,,G
09/27/2020,11:54:59,SDI XDT,0,,G
09/28/2020,11:54:59,SDI XDT,0,,G
09/29/2020,11:59:59,SDI XDT,0,,G
09/30/2020,11:19:11,Time Before Change,2938,ms,G
09/30/2020,11:19:14,Time After Change,2938,ms,G
09/30/2020,11:19:14,Cell Set Time,0,,G
09/30/2020,11:19:14,SDI XDT,0,,G
10/01/2020,11:19:59,SDI XDT,0,,G
10/02/2020,11:19:59,SDI XDT,0,,G
10/03/2020,11:24:59,SDI XDT,0,,G
10/04/2020,11:24:59,SDI XDT,0,,G
10/05/2020,11:29:59,SDI XDT,0,,G
10/05/2020,14:58:18,Wi-Fi Connected,0,,G
10/05/2020,14:59:03,Upgrade Start,8.28,,G
10/05/2020,14:59:03,Rev Start,3127,,G
10/05/2020,14:59:03,Wi-Fi Disconnected,0,,G
10/05/2020,14:59:20,Reset Soft,2,,G
10/05/2020,14:59:20,Upgrade Complete,8.35,,G
10/05/2020,14:59:20,Rev Complet,3369,,G
10/05/2020,14:59:23,SDI XDT,0,,G
10/05/2020,14:59:24,Battery,13.32,V,G
10/05/2020,14:59:24,Internal Temp,42.81,C,G
10/05/2020,14:59:50,Time Before Change,-1058,ms,G
10/05/2020,14:59:49,Time After Change,-1058,ms,G
10/05/2020,14:59:49,Cell Set Time,0,,G
10/05/2020,14:59:49,SDI XDT,0,,G
10/05/2020,15:00:40,Wi-Fi Connected,0,,G
10/05/2020,15:00:55,StatusClear,0,,G
10/05/2020,15:01:16,Reset Soft,1,,G
10/05/2020,15:01:19,SDI XDT,0,,G
10/05/2020,15:01:19,Battery,13.32,V,G
10/05/2020,15:01:19,Internal Temp,42.67,C,G
10/05/2020,15:01:47,Time Before Change,-57,ms,G
10/05/2020,15:01:47,Time After Change,-57,ms,G
10/05/2020,15:02:21,Wi-Fi Connected,0,,G
10/05/2020,15:02:56,Setup Change,0,,G
10/05/2020,15:03:09,Wi-Fi Disconnected,0,,G
10/05/2020,15:05:22,Client Conn,1,,G
10/06/2020,10:53:33,Log Download,0,,G
10/06/2020,10:54:15,Client Conn,2,,G
10/06/2020,13:12:38,Log Download,0,,G
10/06/2020,13:18:35,Client Conn,3,,G
10/06/2020,13:51:28,Client Conn,4,,G
10/06/2020,15:01:31,SDI XDT,0,,G
10/06/2020,17:58:01,Client Conn,5,,G
10/06/2020,18:01:24,Client Conn,6,,G
10/06/2020,18:03:23,Client Conn,7,,G
10/06/2020,18:05:48,Client Conn,8,,G
10/06/2020,18:08:57,Client Conn,9,,G
10/07/2020,07:45:18,Log Download,0,,G
10/07/2020,07:46:48,Client Conn,10,,G
10/07/2020,15:01:51,SDI XDT,0,,G
10/08/2020,15:04:59,SDI XDT,0,,G
10/09/2020,10:57:39,Client Conn,11,,G
10/09/2020,12:32:16,Wi-Fi Connected,0,,G
10/09/2020,12:33:04,Wi-Fi Disconnected,0,,G
10/09/2020,12:35:18,Wi-Fi Connected,0,,G
10/09/2020,12:40:00,System Error: SDI-12 no reply,5618,,G
10/09/2020,12:40:59,Wi-Fi Disconnected,0,,G
10/09/2020,12:50:00,System Error: SDI-12 no reply,5618,,G
10/09/2020,13:00:00,System Error: SDI-12 no reply,5618,,G
10/09/2020,13:10:00,System Error: SDI-12 no reply,5618,,G
10/09/2020,13:14:25,Wi-Fi Connected,0,,G
10/09/2020,13:14:54,StatusClear,0,,G
10/09/2020,13:14:59,Wi-Fi Disconnected,0,,G
10/09/2020,15:05:04,SDI XDT,0,,G
10/10/2020,15:09:59,SDI XDT,0,,G
10/11/2020,15:14:59,SDI XDT,0,,G
10/12/2020,15:19:59,SDI XDT,0,,G
10/13/2020,13:21:47,Client Conn,1,,G
10/13/2020,15:05:12,Time Before Change,2923,ms,G
10/13/2020,15:05:15,Time After Change,2923,ms,G
10/13/2020,15:05:15,Cell Set Time,0,,G
10/13/2020,15:05:15,SDI XDT,0,,G
10/13/2020,15:51:02,Client Conn,2,,G
10/13/2020,15:51:34,Client Conn,3,,G
10/13/2020,16:15:31,Client Conn,4,,G
10/13/2020,16:21:48,Log Download,0,,G
10/13/2020,16:23:21,Client Conn,5,,G
10/14/2020,15:09:59,SDI XDT,0,,G
10/15/2020,15:14:59,SDI XDT,0,,G
10/16/2020,15:14:59,SDI XDT,0,,G
10/17/2020,15:19:59,SDI XDT,0,,G
10/18/2020,15:24:59,SDI XDT,0,,G
10/19/2020,15:24:59,SDI XDT,0,,G
10/20/2020,15:29:59,SDI XDT,0,,G
10/21/2020,15:34:59,SDI XDT,0,,G
10/22/2020,15:39:59,SDI XDT,0,,G
10/23/2020,15:39:59,SDI XDT,0,,G
10/24/2020,15:39:59,SDI XDT,0,,G
10/25/2020,15:44:59,SDI XDT,0,,G
10/26/2020,15:49:59,SDI XDT,0,,G
10/27/2020,10:52:54,Setup Change,0,,G
10/27/2020,10:53:55,Log Download,0,,G
