DateTime,Label,Value,Units,Quality
02/07/2020 21:26:50,Reset Powerup,1,,G
02/07/2020 21:26:53,Battery,12.68,V,G
02/07/2020 21:26:53,Internal Temp,27.36,C,G
02/07/2020 21:29:02,USB Cable,1,,G
02/07/2020 21:29:24,Upgrade Start,8.27,,G
02/07/2020 21:29:24,Rev Start,3087,,G
02/07/2020 21:29:40,Reset Soft,1,,G
02/07/2020 21:29:40,Upgrade Complete,8.28,,G
02/07/2020 21:29:40,Rev Complet,3127,,G
02/07/2020 21:29:43,Battery,12.63,V,G
02/07/2020 21:29:43,Internal Temp,27.58,C,G
02/07/2020 21:29:48,USB Cable,1,,G
02/07/2020 21:29:57,Setup Change,0,,G
02/07/2020 21:30:10,Time Before Change,-28778275,ms,G
02/07/2020 13:30:32,Time After Change,-28778275,ms,G
02/07/2020 13:30:32,User Set Time,0,,G
02/07/2020 13:30:32,USB Cable,0,,G
02/07/2020 13:30:44,USB Cable,1,,G
02/07/2020 13:32:26,Setup Change,0,,G
02/07/2020 13:32:34,Recording,1,,G
02/07/2020 13:32:35,SDI XDT,0,,G
02/07/2020 13:33:02,Setup Change,0,,G
02/07/2020 13:33:03,System Error: Cell SIM Error,5582,,G
02/07/2020 13:33:51,Setup Change,0,,G
02/07/2020 13:35:15,Setup Change,0,,G
02/07/2020 13:35:28,Log Download,0,,G
02/07/2020 13:35:56,USB Cable,0,,G
02/07/2020 13:36:18,USB Cable,1,,G
02/07/2020 13:36:37,USB Cable,0,,G
02/08/2020 13:34:59,SDI XDT,0,,G
02/09/2020 13:39:59,SDI XDT,0,,G
02/10/2020 13:39:59,SDI XDT,0,,G
02/10/2020 16:26:10,Wi-Fi Connected,0,,G
02/10/2020 16:26:27,Log Download,0,,G
02/10/2020 16:27:30,Wi-Fi Disconnected,0,,G
02/11/2020 13:44:59,SDI XDT,0,,G
02/12/2020 13:44:59,SDI XDT,0,,G
02/13/2020 13:44:59,SDI XDT,0,,G
02/14/2020 13:49:59,SDI XDT,0,,G
02/15/2020 13:49:59,SDI XDT,0,,G
02/16/2020 13:49:59,SDI XDT,0,,G
02/17/2020 13:54:59,SDI XDT,0,,G
02/18/2020 10:52:14,Reset Powerup,2,,G
02/18/2020 10:52:17,SDI XDT,0,,G
02/18/2020 10:52:17,Battery,13.65,V,G
02/18/2020 10:52:17,Internal Temp,18.45,C,G
02/18/2020 10:58:49,Wi-Fi Connected,0,,G
02/18/2020 10:59:52,Wi-Fi Disconnected,0,,G
02/19/2020 10:54:59,SDI XDT,0,,G
02/20/2020 10:54:59,SDI XDT,0,,G
02/21/2020 10:54:59,SDI XDT,0,,G
02/22/2020 10:59:59,SDI XDT,0,,G
02/23/2020 11:04:59,SDI XDT,0,,G
02/24/2020 11:09:59,SDI XDT,0,,G
02/25/2020 11:09:59,SDI XDT,0,,G
02/26/2020 11:09:59,SDI XDT,0,,G
02/27/2020 11:14:59,SDI XDT,0,,G
02/28/2020 11:14:59,SDI XDT,0,,G
02/29/2020 11:19:59,SDI XDT,0,,G
03/01/2020 11:24:59,SDI XDT,0,,G
03/02/2020 11:29:59,SDI XDT,0,,G
03/03/2020 11:34:59,SDI XDT,0,,G
03/04/2020 11:34:59,SDI XDT,0,,G
03/05/2020 11:34:59,SDI XDT,0,,G
03/05/2020 15:52:19,Wi-Fi Connected,0,,G
03/05/2020 15:52:40,Log Download,0,,G
03/05/2020 15:54:27,Setup Change,0,,G
03/05/2020 15:54:33,Time Before Change,-28800000,ms,G
03/05/2020 07:54:33,Time After Change,-28800000,ms,G
03/05/2020 07:54:33,Local Time Offset Change,0,,G
03/05/2020 07:54:38,SDI XDT,0,,G
03/05/2020 07:55:00,StatusClear,0,,G
03/05/2020 07:55:32,Time Before Change,28807940,ms,G
03/05/2020 15:55:40,Time After Change,28807940,ms,G
03/05/2020 15:55:40,Cell Set Time,0,,G
03/05/2020 15:55:40,SDI XDT,0,,G
03/05/2020 15:56:06,SMS Receive,1,,G
03/05/2020 15:56:38,SMS Receive,2,,G
03/05/2020 15:56:45,SMS Receive,3,,G
03/05/2020 15:56:50,Setup Change,0,,G
03/05/2020 15:57:27,SMS Receive,4,,G
03/05/2020 15:57:44,Wi-Fi Disconnected,0,,G
03/06/2020 12:16:44,Wi-Fi Connected,0,,G
03/06/2020 12:17:37,Setup Change,0,,G
03/06/2020 12:18:00,Alarm In,1,,G
03/06/2020 12:17:58,Triggered S,1,,G
03/06/2020 12:17:58,VolumeTrig,21827.40,,G
03/06/2020 12:18:00,Triggered S,1,,G
03/06/2020 12:18:00,VolumeTrig,21827.40,,G
03/06/2020 12:19:00,Triggered S,2,,G
03/06/2020 12:19:00,VolumeTrig,23654.80,,G
03/06/2020 12:20:00,Triggered S,3,,G
03/06/2020 12:20:00,VolumeTrig,25482.20,,G
03/06/2020 12:21:00,Triggered S,4,,G
03/06/2020 12:21:00,VolumeTrig,27463.80,,G
03/06/2020 12:22:00,Triggered S,5,,G
03/06/2020 12:22:00,VolumeTrig,29368.30,,G
03/06/2020 12:23:02,Setup Change,0,,G
03/06/2020 12:23:00,Triggered S,6,,G
03/06/2020 12:23:00,VolumeTrig,31195.70,,G
03/06/2020 12:23:10,Wi-Fi Disconnected,0,,G
03/06/2020 12:24:02,Setup Change,0,,G
03/06/2020 12:28:06,Wi-Fi Connected,0,,G
03/06/2020 12:28:11,Setup Change,0,,G
03/06/2020 12:28:00,Alarm Out,1,,G
03/06/2020 12:28:58,Setup Change,0,,G
03/06/2020 12:29:21,Wi-Fi Disconnected,0,,G
03/06/2020 15:35:29,SMS Receive,5,,G
03/06/2020 16:00:31,SDI XDT,0,,G
03/07/2020 04:54:49,SMS Receive,6,,G
03/07/2020 04:55:25,Reset Soft,1,,G
03/07/2020 04:55:29,SDI XDT,0,,G
03/07/2020 04:55:29,Battery,12.98,V,G
03/07/2020 04:55:29,Internal Temp,14.06,C,G
03/07/2020 04:55:56,Time Before Change,943,ms,G
03/07/2020 04:55:57,Time After Change,943,ms,G
03/07/2020 04:56:35,SMS Receive,7,,G
03/07/2020 04:57:26,SMS Receive,8,,G
03/07/2020 04:57:58,SMS Receive,9,,G
03/07/2020 08:56:11,Client Conn,1,,G
03/07/2020 09:02:02,Client Conn,2,,G
03/08/2020 04:59:59,SDI XDT,0,,G
03/09/2020 05:04:59,SDI XDT,0,,G
03/09/2020 09:07:26,Client Conn,3,,G
03/09/2020 09:08:22,Log Download,0,,G
03/09/2020 09:10:43,Client Conn,4,,G
03/09/2020 09:12:45,Client Conn,5,,G
03/09/2020 09:21:23,Client Conn,6,,G
03/09/2020 09:28:29,Log Download,0,,G
03/09/2020 09:33:38,Client Conn,7,,G
03/09/2020 09:43:44,Client Conn,8,,G
03/09/2020 15:35:39,Client Conn,9,,G
03/09/2020 15:36:54,Time Before Change,3600000,ms,G
03/09/2020 16:36:54,Time After Change,3600000,ms,G
03/09/2020 16:36:54,Local Time Offset Change,0,,G
03/09/2020 16:36:54,Setup Change,0,,G
03/09/2020 16:36:57,SDI XDT,0,,G
03/09/2020 16:37:02,Client Conn,10,,G
03/09/2020 18:12:18,Client Conn,11,,G
03/09/2020 18:17:08,Setup Change,0,,G
03/09/2020 18:18:06,Setup Change,0,,G
03/09/2020 18:18:46,Setup Change,0,,G
03/09/2020 18:20:03,Setup Change,0,,G
03/09/2020 18:22:36,Setup Change,0,,G
03/09/2020 18:23:18,Setup Change,0,,G
03/09/2020 18:26:56,Setup Change,0,,G
03/09/2020 18:28:32,Client Conn,12,,G
03/09/2020 19:20:20,Setup Change,0,,G
03/09/2020 19:20:46,Client Conn,13,,G
03/09/2020 19:41:48,Setup Change,0,,G
03/09/2020 19:41:57,Client Conn,14,,G
03/10/2020 05:59:37,Client Conn,15,,G
03/10/2020 05:59:56,SMS Receive,10,,G
03/10/2020 05:59:57,Time Before Change,2939,ms,G
03/10/2020 06:00:00,Time After Change,2939,ms,G
03/10/2020 06:00:00,Cell Set Time,0,,G
03/10/2020 06:00:02,SDI XDT,0,,G
03/10/2020 08:17:28,SMS Receive,11,,G
03/10/2020 08:59:32,SMS Receive,12,,G
03/10/2020 11:56:06,SMS Receive,13,,G
03/10/2020 12:56:08,Client Conn,16,,G
03/10/2020 15:54:35,Client Conn,17,,G
03/10/2020 16:04:13,Client Conn,18,,G
03/10/2020 16:08:47,Client Conn,19,,G
03/10/2020 16:09:10,Client Conn,20,,G
03/10/2020 16:38:57,Client Conn,21,,G
03/10/2020 18:00:41,Client Conn,22,,G
03/10/2020 18:02:36,Setup Change,0,,G
03/10/2020 18:02:55,Client Conn,23,,G
03/10/2020 20:37:18,Client Conn,24,,G
03/10/2020 20:37:59,Client Conn,25,,G
03/11/2020 00:47:43,Client Conn,26,,G
03/11/2020 05:52:38,Client Conn,27,,G
03/11/2020 06:02:41,SDI XDT,0,,G
03/11/2020 07:19:10,Client Conn,28,,G
03/12/2020 06:04:59,SDI XDT,0,,G
03/12/2020 09:31:09,Setup Change,0,,G
03/12/2020 09:31:45,Client Conn,29,,G
03/12/2020 10:16:05,Client Conn,30,,G
03/12/2020 12:02:30,Client Conn,31,,G
03/12/2020 13:34:29,SMS Receive,14,,G
03/12/2020 15:58:52,SMS Receive,15,,G
03/12/2020 16:06:32,Client Conn,32,,G
03/12/2020 16:53:15,SMS Receive,16,,G
03/12/2020 19:57:26,SMS Receive,17,,G
03/12/2020 23:09:17,SMS Receive,18,,G
03/13/2020 06:09:59,SDI XDT,0,,G
03/13/2020 07:19:09,Client Conn,33,,G
03/13/2020 07:31:37,Client Conn,34,,G
03/13/2020 11:06:03,Client Conn,35,,G
03/13/2020 18:44:10,Log Download,0,,G
03/13/2020 18:44:45,Client Conn,36,,G
03/14/2020 06:09:59,SDI XDT,0,,G
03/14/2020 18:14:43,Client Conn,37,,G
03/15/2020 06:09:59,SDI XDT,0,,G
03/15/2020 08:07:45,Log Download,0,,G
03/15/2020 08:08:23,Client Conn,38,,G
03/16/2020 06:14:59,SDI XDT,0,,G
03/17/2020 06:14:59,SDI XDT,0,,G
03/17/2020 09:43:30,Log Download,0,,G
03/17/2020 09:43:49,Client Conn,39,,G
03/17/2020 13:17:21,Client Conn,40,,G
03/17/2020 19:18:35,Log Download,0,,G
03/17/2020 19:19:30,Log Download,0,,G
03/17/2020 19:20:53,Setup Change,0,,G
03/17/2020 19:21:47,Client Conn,41,,G
03/18/2020 04:13:22,Setup Change,0,,G
03/18/2020 04:13:30,Client Conn,42,,G
03/18/2020 06:18:32,SDI XDT,0,,G
03/18/2020 08:04:18,Client Conn,43,,G
03/18/2020 08:33:21,Client Conn,44,,G
03/18/2020 10:10:14,Client Conn,45,,G
03/18/2020 16:19:21,Client Conn,46,,G
03/18/2020 16:30:28,Client Conn,47,,G
03/18/2020 16:46:13,Client Conn,48,,G
03/19/2020 06:19:59,SDI XDT,0,,G
03/19/2020 07:27:32,Client Conn,49,,G
03/19/2020 07:58:47,Log Download,0,,G
03/19/2020 07:59:02,Client Conn,50,,G
03/19/2020 11:02:46,Client Conn,51,,G
03/19/2020 19:24:20,Client Conn,52,,G
03/19/2020 22:21:21,Client Conn,53,,G
03/20/2020 05:57:32,Client Conn,54,,G
03/20/2020 06:22:35,SDI XDT,0,,G
03/20/2020 09:10:22,Client Conn,55,,G
03/20/2020 12:15:21,Log Download,0,,G
03/20/2020 12:20:34,Client Conn,56,,G
03/20/2020 12:21:05,Log Download,0,,G
03/20/2020 12:21:45,Client Conn,57,,G
03/20/2020 12:25:15,Log Download,0,,G
03/20/2020 12:25:28,Log Download,0,,G
03/20/2020 12:27:06,Client Conn,58,,G
03/20/2020 12:56:01,Client Conn,59,,G
03/20/2020 13:18:06,Log Download,0,,G
03/20/2020 13:18:52,Client Conn,60,,G
03/20/2020 13:36:58,Setup Change,0,,G
03/20/2020 13:37:10,Client Conn,61,,G
03/20/2020 13:37:35,Log Download,0,,G
03/20/2020 13:38:12,Setup Change,0,,G
03/20/2020 13:38:34,Client Conn,62,,G
03/21/2020 06:24:59,SDI XDT,0,,G
03/22/2020 06:29:59,SDI XDT,0,,G
03/22/2020 11:01:47,Client Conn,63,,G
03/23/2020 06:07:22,Time Before Change,3938,ms,G
03/23/2020 06:07:26,Time After Change,3938,ms,G
03/23/2020 06:07:26,Cell Set Time,0,,G
03/23/2020 06:07:26,SDI XDT,0,,G
