DateTime,Label,Value,Units,Quality
09/10/2020 13:29:59,SDI XDT,0,,G
09/11/2020 13:29:59,SDI XDT,0,,G
09/12/2020 13:29:59,SDI XDT,0,,G
09/13/2020 13:34:59,SDI XDT,0,,G
09/14/2020 13:34:59,SDI XDT,0,,G
09/15/2020 13:34:59,SDI XDT,0,,G
09/16/2020 13:39:59,SDI XDT,0,,G
09/17/2020 13:39:59,SDI XDT,0,,G
09/18/2020 13:44:59,SDI XDT,0,,G
09/19/2020 13:44:59,SDI XDT,0,,G
09/20/2020 13:49:59,SDI XDT,0,,G
09/21/2020 13:27:06,Time Before Change,-2061,ms,G
09/21/2020 13:27:04,Time After Change,-2061,ms,G
09/21/2020 13:27:04,Cell Set Time,0,,G
09/21/2020 13:27:04,SDI XDT,0,,G
09/22/2020 13:29:59,SDI XDT,0,,G
09/23/2020 13:29:59,SDI XDT,0,,G
09/24/2020 13:34:59,SDI XDT,0,,G
09/25/2020 13:34:59,SDI XDT,0,,G
09/26/2020 13:27:38,Time Before Change,-2061,ms,G
09/26/2020 13:27:36,Time After Change,-2061,ms,G
09/26/2020 13:27:36,Cell Set Time,0,,G
09/26/2020 13:27:36,SDI XDT,0,,G
09/27/2020 13:29:59,SDI XDT,0,,G
09/28/2020 13:29:59,SDI XDT,0,,G
09/29/2020 13:29:59,SDI XDT,0,,G
09/30/2020 13:29:59,SDI XDT,0,,G
10/01/2020 13:34:59,SDI XDT,0,,G
10/02/2020 13:34:59,SDI XDT,0,,G
10/03/2020 13:34:59,SDI XDT,0,,G
10/04/2020 13:34:59,SDI XDT,0,,G
10/05/2020 09:26:51,Log Download,0,,G
10/05/2020 09:44:48,Client Conn,58,,G
10/05/2020 10:30:27,Log Download,0,,G
10/05/2020 10:33:53,Client Conn,59,,G
10/05/2020 13:38:55,SDI XDT,0,,G
10/05/2020 14:32:36,SMS Receive,15,,G
10/05/2020 16:34:34,Wi-Fi Connected,0,,G
10/05/2020 16:37:12,Upgrade Start,8.28,,G
10/05/2020 16:37:12,Rev Start,3127,,G
10/05/2020 16:37:12,Wi-Fi Disconnected,0,,G
10/05/2020 16:37:28,Reset Soft,1,,G
10/05/2020 16:37:28,Upgrade Complete,8.35,,G
10/05/2020 16:37:28,Rev Complet,3369,,G
10/05/2020 16:37:30,SDI XDT,0,,G
10/05/2020 16:37:31,Battery,13.53,V,G
10/05/2020 16:37:31,Internal Temp,36.17,C,G
10/05/2020 16:37:52,Wi-Fi Connected,0,,G
10/05/2020 16:38:00,Time Before Change,-55,ms,G
10/05/2020 16:38:00,Time After Change,-55,ms,G
10/05/2020 16:38:25,Setup Change,0,,G
10/05/2020 16:38:38,Reset Soft,2,,G
10/05/2020 16:38:41,SDI XDT,0,,G
10/05/2020 16:38:41,Battery,13.52,V,G
10/05/2020 16:38:41,Internal Temp,36.17,C,G
10/05/2020 16:39:15,Time Before Change,-1054,ms,G
10/05/2020 16:39:14,Time After Change,-1054,ms,G
10/05/2020 16:39:14,Cell Set Time,0,,G
10/05/2020 16:39:16,SDI XDT,0,,G
10/05/2020 16:40:21,Client Conn,60,,G
10/06/2020 10:50:46,Client Conn,61,,G
10/06/2020 12:54:16,Log Download,0,,G
10/06/2020 13:12:20,Client Conn,62,,G
10/06/2020 16:42:23,SDI XDT,0,,G
10/07/2020 16:44:59,SDI XDT,0,,G
10/08/2020 07:35:49,Client Conn,63,,G
10/08/2020 07:36:39,Log Download,0,,G
10/08/2020 07:42:28,Client Conn,64,,G
10/08/2020 16:47:31,SDI XDT,0,,G
10/09/2020 16:49:59,SDI XDT,0,,G
10/10/2020 16:54:59,SDI XDT,0,,G
10/11/2020 16:54:59,SDI XDT,0,,G
10/12/2020 16:59:59,SDI XDT,0,,G
10/13/2020 16:59:59,SDI XDT,0,,G
10/14/2020 16:59:59,SDI XDT,0,,G
10/15/2020 17:04:59,SDI XDT,0,,G
10/16/2020 16:51:14,Time Before Change,-2062,ms,G
10/16/2020 16:51:12,Time After Change,-2062,ms,G
10/16/2020 16:51:12,Cell Set Time,0,,G
10/16/2020 16:51:12,SDI XDT,0,,G
10/17/2020 16:54:59,SDI XDT,0,,G
10/18/2020 16:59:59,SDI XDT,0,,G
10/19/2020 16:59:59,SDI XDT,0,,G
10/20/2020 17:04:59,SDI XDT,0,,G
10/21/2020 17:04:59,SDI XDT,0,,G
10/22/2020 17:09:59,SDI XDT,0,,G
10/23/2020 17:14:59,SDI XDT,0,,G
10/24/2020 17:19:59,SDI XDT,0,,G
10/25/2020 17:24:59,SDI XDT,0,,G
10/26/2020 17:29:59,SDI XDT,0,,G
10/27/2020 10:43:05,Setup Change,0,,G
10/27/2020 10:43:30,Log Download,0,,G
10/27/2020 10:49:34,Client Conn,65,,G
10/27/2020 17:34:37,SDI XDT,0,,G
10/28/2020 17:04:12,Time Before Change,-2060,ms,G
10/28/2020 17:04:10,Time After Change,-2060,ms,G
10/28/2020 17:04:10,Cell Set Time,0,,G
10/28/2020 17:04:10,SDI XDT,0,,G
10/29/2020 17:04:59,SDI XDT,0,,G
10/30/2020 17:09:59,SDI XDT,0,,G
10/31/2020 17:09:59,SDI XDT,0,,G
11/01/2020 17:14:59,SDI XDT,0,,G
11/02/2020 17:19:59,SDI XDT,0,,G
11/03/2020 17:19:59,SDI XDT,0,,G
11/04/2020 17:24:59,SDI XDT,0,,G
11/05/2020 17:24:59,SDI XDT,0,,G
11/06/2020 10:56:27,Time Before Change,-3600000,ms,G
11/06/2020 09:56:27,Time After Change,-3600000,ms,G
11/06/2020 09:56:27,Local Time Offset Change,0,,G
11/06/2020 09:56:27,Setup Change,0,,G
11/06/2020 09:56:29,SDI XDT,0,,G
11/06/2020 09:56:36,Client Conn,66,,G
11/06/2020 14:36:35,Client Conn,67,,G
11/07/2020 09:59:59,SDI XDT,0,,G
11/08/2020 09:59:59,SDI XDT,0,,G
11/08/2020 15:34:42,Client Conn,68,,G
11/08/2020 15:51:47,Log Download,0,,G
11/08/2020 15:57:08,Client Conn,69,,G
11/08/2020 15:58:18,Client Conn,70,,G
11/08/2020 16:04:01,Client Conn,71,,G
11/08/2020 17:08:22,Setup Change,0,,G
11/08/2020 17:08:36,Client Conn,72,,G
11/09/2020 10:04:59,SDI XDT,0,,G
11/09/2020 16:17:50,Time Before Change,-2062,ms,G
11/09/2020 16:17:48,Time After Change,-2062,ms,G
11/09/2020 16:17:48,Cell Set Time,0,,G
11/09/2020 16:17:48,SDI XDT,0,,G
11/10/2020 16:19:59,SDI XDT,0,,G
11/11/2020 16:19:59,SDI XDT,0,,G
11/12/2020 16:24:59,SDI XDT,0,,G
11/13/2020 16:29:59,SDI XDT,0,,G
11/14/2020 16:29:59,SDI XDT,0,,G
11/15/2020 16:29:59,SDI XDT,0,,G
11/16/2020 16:34:59,SDI XDT,0,,G
11/17/2020 16:34:59,SDI XDT,0,,G
11/18/2020 16:39:59,SDI XDT,0,,G
11/18/2020 16:59:08,Log Download,0,,G
11/18/2020 16:59:39,Client Conn,73,,G
11/19/2020 08:53:55,Log Download,0,,G
11/19/2020 08:55:34,Client Conn,74,,G
11/19/2020 16:40:37,SDI XDT,0,,G
11/20/2020 16:44:59,SDI XDT,0,,G
11/21/2020 16:49:59,SDI XDT,0,,G
11/22/2020 16:54:59,SDI XDT,0,,G
11/23/2020 16:32:35,Time Before Change,-2060,ms,G
11/23/2020 16:32:33,Time After Change,-2060,ms,G
11/23/2020 16:32:33,Cell Set Time,0,,G
11/23/2020 16:32:33,SDI XDT,0,,G
11/24/2020 16:34:59,SDI XDT,0,,G
11/25/2020 16:39:59,SDI XDT,0,,G
11/26/2020 16:44:59,SDI XDT,0,,G
11/27/2020 16:44:59,SDI XDT,0,,G
11/28/2020 16:44:59,SDI XDT,0,,G
11/29/2020 16:49:59,SDI XDT,0,,G
11/30/2020 16:54:59,SDI XDT,0,,G
12/01/2020 16:54:59,SDI XDT,0,,G
12/02/2020 16:59:59,SDI XDT,0,,G
12/03/2020 16:59:59,SDI XDT,0,,G
12/04/2020 16:59:59,SDI XDT,0,,G
12/05/2020 16:46:04,Time Before Change,-2061,ms,G
12/05/2020 16:46:02,Time After Change,-2061,ms,G
12/05/2020 16:46:02,Cell Set Time,0,,G
12/05/2020 16:46:02,SDI XDT,0,,G
12/06/2020 16:49:59,SDI XDT,0,,G
12/07/2020 16:54:59,SDI XDT,0,,G
12/08/2020 16:59:59,SDI XDT,0,,G
12/09/2020 16:59:59,SDI XDT,0,,G
12/10/2020 17:04:59,SDI XDT,0,,G
12/11/2020 17:04:59,SDI XDT,0,,G
12/12/2020 17:09:59,SDI XDT,0,,G
12/13/2020 17:09:59,SDI XDT,0,,G
12/14/2020 09:01:44,Log Download,0,,G
12/14/2020 09:03:01,Log Download,0,,G
12/14/2020 09:03:30,Log Download,0,,G
12/14/2020 09:12:50,Client Conn,75,,G
12/14/2020 11:56:37,Log Download,0,,G
12/14/2020 12:03:01,Client Conn,76,,G
12/14/2020 17:13:04,SDI XDT,0,,G
12/15/2020 17:14:59,SDI XDT,0,,G
12/16/2020 15:02:39,Log Download,0,,G
12/16/2020 15:03:21,Client Conn,77,,G
12/16/2020 17:18:23,SDI XDT,0,,G
12/17/2020 17:19:59,SDI XDT,0,,G
12/18/2020 17:19:59,SDI XDT,0,,G
12/19/2020 17:24:59,SDI XDT,0,,G
12/20/2020 17:24:59,SDI XDT,0,,G
12/21/2020 17:29:59,SDI XDT,0,,G
12/22/2020 17:29:59,SDI XDT,0,,G
12/23/2020 17:34:59,SDI XDT,0,,G
12/24/2020 09:41:28,Log Download,0,,G
12/24/2020 09:42:05,Client Conn,78,,G
12/24/2020 17:37:07,SDI XDT,0,,G
12/25/2020 17:39:59,SDI XDT,0,,G
12/26/2020 17:44:59,SDI XDT,0,,G
12/27/2020 17:03:16,Time Before Change,-2061,ms,G
12/27/2020 17:03:14,Time After Change,-2061,ms,G
12/27/2020 17:03:14,Cell Set Time,0,,G
12/27/2020 17:03:14,SDI XDT,0,,G
12/28/2020 17:04:59,SDI XDT,0,,G
12/29/2020 17:09:59,SDI XDT,0,,G
12/30/2020 17:09:59,SDI XDT,0,,G
12/31/2020 17:09:59,SDI XDT,0,,G
01/01/2021 17:09:59,SDI XDT,0,,G
01/02/2021 17:14:59,SDI XDT,0,,G
01/03/2021 17:19:59,SDI XDT,0,,G
01/04/2021 16:09:51,Log Download,0,,G
01/04/2021 16:10:28,Client Conn,79,,G
01/04/2021 17:20:30,SDI XDT,0,,G
01/05/2021 17:24:59,SDI XDT,0,,G
01/06/2021 17:29:59,SDI XDT,0,,G
01/07/2021 17:29:59,SDI XDT,0,,G
01/08/2021 17:34:59,SDI XDT,0,,G
01/09/2021 17:05:54,Time Before Change,-2060,ms,G
01/09/2021 17:05:52,Time After Change,-2060,ms,G
01/09/2021 17:05:52,Cell Set Time,0,,G
01/09/2021 17:05:52,SDI XDT,0,,G
01/10/2021 17:09:59,SDI XDT,0,,G
01/11/2021 17:09:59,SDI XDT,0,,G
01/12/2021 17:14:59,SDI XDT,0,,G
01/13/2021 17:14:59,SDI XDT,0,,G
01/14/2021 17:14:59,SDI XDT,0,,G
01/15/2021 17:19:59,SDI XDT,0,,G
01/16/2021 17:24:59,SDI XDT,0,,G
01/17/2021 17:29:59,SDI XDT,0,,G
01/18/2021 12:59:34,USB Cable,1,,G
01/18/2021 12:59:43,Log Download,0,,G
01/18/2021 13:00:01,Log Download,0,,G
01/18/2021 13:05:39,Log Download,0,,G
01/18/2021 13:07:34,USB Cable,0,,G
01/18/2021 13:07:47,USB Cable,1,,G
01/18/2021 13:08:38,Log Download,0,,G
01/18/2021 13:11:18,Setup Change,0,,G
01/18/2021 13:11:22,System Error: Script Function Not Found,5599,,G
01/18/2021 13:11:50,StatusClear,0,,G
01/18/2021 13:13:17,Trigger Man,1,,G
01/18/2021 13:13:17,Setup Change,0,,G
01/18/2021 13:13:50,StatusClear,0,,G
01/18/2021 13:14:25,Setup Change,0,,G
01/18/2021 13:14:32,System Error: Modbus Sensor Failure,5593,,G
01/18/2021 13:15:23,USB Cable,0,,G
01/18/2021 17:34:38,SDI XDT,0,,G
01/19/2021 17:34:59,SDI XDT,0,,G
01/20/2021 17:34:59,SDI XDT,0,,G
01/21/2021 17:39:59,SDI XDT,0,,G
01/22/2021 17:07:24,Time Before Change,-2061,ms,G
01/22/2021 17:07:22,Time After Change,-2061,ms,G
01/22/2021 17:07:22,Cell Set Time,0,,G
01/22/2021 17:07:22,SDI XDT,0,,G
01/23/2021 17:09:59,SDI XDT,0,,G
01/24/2021 17:14:59,SDI XDT,0,,G
01/25/2021 07:25:56,Log Download,0,,G
01/25/2021 07:26:47,Client Conn,1,,G
01/25/2021 08:14:49,Client Conn,2,,G
01/25/2021 08:15:08,SMS Receive,1,,G
01/25/2021 08:15:26,SMS Receive,2,,G
01/25/2021 08:29:28,SMS Receive,3,,G
01/25/2021 08:57:39,SMS Receive,4,,G
01/25/2021 09:37:32,SMS Receive,5,,G
01/25/2021 10:11:30,SMS Receive,6,,G
01/25/2021 17:16:33,SDI XDT,0,,G
01/26/2021 16:15:01,Wi-Fi Connected,0,,G
01/18/2021 16:00:00,Trigger Man,1,,G
01/18/2021 16:00:00,Trigger Man,1,,G
01/26/2021 16:19:47,Wi-Fi Disconnected,0,,G
01/26/2021 17:19:52,SDI XDT,0,,G
01/27/2021 09:54:04,Client Conn,3,,G
01/27/2021 17:24:06,SDI XDT,0,,G
01/28/2021 17:24:59,SDI XDT,0,,G
01/28/2021 19:19:14,Setup Change,0,,G
01/28/2021 19:20:17,Client Conn,4,,G
01/28/2021 20:24:36,Client Conn,5,,G
01/29/2021 00:50:00,Alarm In,12,,G
01/29/2021 00:50:00,Setup Change,0,,G
01/29/2021 01:16:38,Client Conn,6,,G
01/29/2021 01:56:00,Triggered S,1,,G
01/29/2021 01:56:00,VolumeTrig,60392.63,,G
01/29/2021 02:14:40,StatusClear,0,,G
01/29/2021 02:15:14,Log Download,0,,G
01/29/2021 02:15:35,Client Conn,1,,G
01/29/2021 02:39:00,Triggered S,2,,G
01/29/2021 02:39:00,VolumeTrig,60009.21,,G
