Station Name,model and version,XL2 S/N
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911373
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
01/18/2021 13:05:00,PT Level,2.69,in,G
01/18/2021 13:05:00,Flow_cfs,13.50,,G
01/18/2021 13:10:00,PT Level,2.69,in,G
01/18/2021 13:10:00,Flow_cfs,13.50,,G
01/18/2021 13:11:00,SamplePacin,NAN,in,B
01/18/2021 13:11:00,TimeToSampl,NAN,,B
01/18/2021 13:11:00,BottleNum,NAN,,B
01/18/2021 13:11:00,Incr_Flow,NAN,cf,B
01/18/2021 13:10:00,AliquotNum,NAN,ali,B
01/18/2021 13:10:00,Level_PT,2.70,in,G
01/18/2021 13:10:00,Flow _PT,NAN,cfs,B
01/18/2021 13:12:00,Incr_Flow,NAN,cf,B
01/18/2021 13:12:00,SamplePacin,NAN,cf,B
01/18/2021 13:12:00,BottleNum,NAN,,B
01/18/2021 13:13:00,Incr_Flow,NAN,cf,B
01/18/2021 13:13:00,SamplePacin,NAN,cf,B
01/18/2021 13:13:00,BottleNum,NAN,,B
01/18/2021 13:13:00,AliquotNum,NAN,ali,B
01/18/2021 13:13:00,Level_PT,2.69,in,G
01/18/2021 13:13:00,Flow _PT,0.631,cfs,G
01/18/2021 13:14:00,SamplePacin,15,cf,G
01/18/2021 13:14:00,BottleNum,1,,G
01/18/2021 13:14:00,Incr_Flow,NAN,cf,B
01/18/2021 13:15:00,Level_PT,2.68,in,G
01/18/2021 13:15:00,SamplePacin,15,cf,G
01/18/2021 13:15:00,Flow _PT,0.629,cfs,G
01/18/2021 13:15:00,BottleNum,1,,G
01/18/2021 13:15:00,AliquotNum,0,ali,G
01/18/2021 13:15:00,Incr_Flow,0.00,cf,G
01/18/2021 13:16:00,SamplePacin,15,cf,G
01/18/2021 13:16:00,BottleNum,1,,G
01/18/2021 13:16:00,Incr_Flow,0.00,cf,G
01/18/2021 13:17:00,SamplePacin,15,cf,G
01/18/2021 13:17:00,BottleNum,1,,G
01/18/2021 13:17:00,Incr_Flow,0.00,cf,G
01/18/2021 13:18:00,SamplePacin,15,cf,G
01/18/2021 13:18:00,BottleNum,1,,G
01/18/2021 13:18:00,Incr_Flow,0.00,cf,G
01/18/2021 13:19:00,SamplePacin,15,cf,G
01/18/2021 13:19:00,BottleNum,1,,G
01/18/2021 13:19:00,Incr_Flow,0.00,cf,G
01/18/2021 13:20:00,Level_PT,2.70,in,G
01/18/2021 13:20:00,Flow _PT,0.633,cfs,G
01/18/2021 13:20:00,SamplePacin,15,cf,G
01/18/2021 13:20:00,BottleNum,1,,G
01/18/2021 13:20:00,AliquotNum,0,ali,G
01/18/2021 13:20:00,Incr_Flow,0.00,cf,G
01/18/2021 13:21:00,SamplePacin,15,cf,G
01/18/2021 13:21:00,BottleNum,1,,G
01/18/2021 13:21:00,Incr_Flow,0.00,cf,G
01/18/2021 13:22:00,SamplePacin,15,cf,G
01/18/2021 13:22:00,BottleNum,1,,G
01/18/2021 13:22:00,Incr_Flow,0.00,cf,G
01/18/2021 13:23:00,SamplePacin,15,cf,G
01/18/2021 13:23:00,BottleNum,1,,G
01/18/2021 13:23:00,Incr_Flow,0.00,cf,G
01/18/2021 13:24:00,SamplePacin,15,cf,G
01/18/2021 13:24:00,BottleNum,1,,G
01/18/2021 13:24:00,Incr_Flow,0.00,cf,G
01/18/2021 13:25:00,Level_PT,2.69,in,G
01/18/2021 13:25:00,Flow _PT,0.631,cfs,G
01/18/2021 13:25:00,SamplePacin,15,cf,G
01/18/2021 13:25:00,BottleNum,1,,G
01/18/2021 13:25:00,AliquotNum,0,ali,G
01/18/2021 13:25:00,Incr_Flow,0.00,cf,G
01/18/2021 13:26:00,SamplePacin,15,cf,G
01/18/2021 13:26:00,BottleNum,1,,G
01/18/2021 13:26:00,Incr_Flow,0.00,cf,G
01/18/2021 13:27:00,SamplePacin,15,cf,G
01/18/2021 13:27:00,BottleNum,1,,G
01/18/2021 13:27:00,Incr_Flow,0.00,cf,G
01/18/2021 13:28:00,SamplePacin,15,cf,G
01/18/2021 13:28:00,BottleNum,1,,G
01/18/2021 13:28:00,Incr_Flow,0.00,cf,G
01/18/2021 13:29:00,SamplePacin,15,cf,G
01/18/2021 13:29:00,BottleNum,1,,G
01/18/2021 13:29:00,Incr_Flow,0.00,cf,G
01/18/2021 13:30:00,Level_PT,2.70,in,G
01/18/2021 13:30:00,Flow _PT,0.633,cfs,G
01/18/2021 13:30:00,SamplePacin,15,cf,G
01/18/2021 13:30:00,BottleNum,1,,G
01/18/2021 13:30:00,AliquotNum,0,ali,G
01/18/2021 13:30:00,Incr_Flow,0.00,cf,G
01/18/2021 13:31:00,SamplePacin,15,cf,G
01/18/2021 13:31:00,BottleNum,1,,G
01/18/2021 13:31:00,Incr_Flow,0.00,cf,G
