Date,Time,Label,Value,Units,Quality
10/27/2020,11:21:31,Log Download,0,,G
10/27/2020,11:28:17,Client Conn,7,,G
10/27/2020,16:22:10,Time Before Change,-2060,ms,G
10/27/2020,16:22:08,Time After Change,-2060,ms,G
10/27/2020,16:22:08,Cell Set Time,0,,G
10/27/2020,16:22:08,SDI XDT,0,,G
10/28/2020,16:24:59,SDI XDT,0,,G
10/29/2020,16:29:59,SDI XDT,0,,G
10/30/2020,16:34:59,SDI XDT,0,,G
10/31/2020,16:22:42,Time Before Change,-2059,ms,G
10/31/2020,16:22:40,Time After Change,-2059,ms,G
10/31/2020,16:22:40,Cell Set Time,0,,G
10/31/2020,16:22:40,SDI XDT,0,,G
11/01/2020,16:24:59,SDI XDT,0,,G
11/02/2020,16:24:59,SDI XDT,0,,G
11/03/2020,16:29:59,SDI XDT,0,,G
11/04/2020,16:34:59,SDI XDT,0,,G
11/05/2020,16:34:59,SDI XDT,0,,G
11/06/2020,11:04:42,Time Before Change,-3600000,ms,G
11/06/2020,10:04:42,Time After Change,-3600000,ms,G
11/06/2020,10:04:42,Local Time Offset Change,0,,G
11/06/2020,10:04:42,Setup Change,0,,G
11/06/2020,10:04:45,SDI XDT,0,,G
11/06/2020,10:05:35,Client Conn,8,,G
11/06/2020,14:29:10,Client Conn,9,,G
11/06/2020,15:23:55,Time Before Change,-3061,ms,G
11/06/2020,15:23:52,Time After Change,-3061,ms,G
11/06/2020,15:23:52,Cell Set Time,0,,G
11/06/2020,15:23:52,SDI XDT,0,,G
11/07/2020,15:24:59,SDI XDT,0,,G
11/08/2020,15:24:46,Log Download,0,,G
