Date,Time,PT Level,Flow_cfs,Curr_pacing,FlowVolume,Aliquot_Num
MM/dd/yyyy,hh:mm:ss,in,,,,ali
09/01/2020,00:00:00,1.66,0.67,720000.00,0.00,0
09/01/2020,00:05:00,1.69,0.69,720000.00,0.00,0
09/01/2020,00:10:00,1.68,0.69,720000.00,0.00,0
09/01/2020,00:15:00,1.67,0.68,720000.00,0.00,0
09/01/2020,00:20:00,1.69,0.69,720000.00,0.00,0
09/01/2020,00:25:00,1.71,0.71,720000.00,0.00,0
09/01/2020,00:30:00,1.72,0.72,720000.00,0.00,0
09/01/2020,00:35:00,1.71,0.71,720000.00,0.00,0
09/01/2020,00:40:00,1.74,0.73,720000.00,0.00,0
09/01/2020,00:45:00,1.71,0.71,720000.00,0.00,0
09/01/2020,00:50:00,1.73,0.73,720000.00,0.00,0
09/01/2020,00:55:00,1.74,0.73,720000.00,0.00,0
09/01/2020,01:00:00,1.72,0.72,720000.00,0.00,0
09/01/2020,01:05:00,1.74,0.73,720000.00,0.00,0
09/01/2020,01:10:00,1.74,0.73,720000.00,0.00,0
09/01/2020,01:15:00,1.74,0.73,720000.00,0.00,0
09/01/2020,01:20:00,1.72,0.72,720000.00,0.00,0
09/01/2020,01:25:00,1.73,0.73,720000.00,0.00,0
09/01/2020,01:30:00,1.75,0.74,720000.00,0.00,0
09/01/2020,01:35:00,1.74,0.73,720000.00,0.00,0
09/01/2020,01:40:00,1.75,0.74,720000.00,0.00,0
09/01/2020,01:45:00,1.73,0.73,720000.00,0.00,0
09/01/2020,01:50:00,1.75,0.74,720000.00,0.00,0
09/01/2020,01:55:00,1.75,0.74,720000.00,0.00,0
09/01/2020,02:00:00,1.75,0.74,720000.00,0.00,0
09/01/2020,02:05:00,1.77,0.77,720000.00,0.00,0
09/01/2020,02:10:00,1.77,0.77,720000.00,0.00,0
09/01/2020,02:15:00,1.77,0.77,720000.00,0.00,0
09/01/2020,02:20:00,1.79,0.82,720000.00,0.00,0
09/01/2020,02:25:00,1.77,0.77,720000.00,0.00,0
09/01/2020,02:30:00,1.78,0.80,720000.00,0.00,0
09/01/2020,02:35:00,1.81,0.86,720000.00,0.00,0
09/01/2020,02:40:00,1.82,0.89,720000.00,0.00,0
09/01/2020,02:45:00,1.83,0.91,720000.00,0.00,0
09/01/2020,02:50:00,1.88,1.01,720000.00,0.00,0
09/01/2020,02:55:00,1.89,1.02,720000.00,0.00,0
09/01/2020,03:00:00,1.92,1.05,720000.00,0.00,0
09/01/2020,03:05:00,1.93,1.07,720000.00,0.00,0
09/01/2020,03:10:00,1.95,1.09,720000.00,0.00,0
09/01/2020,03:15:00,1.95,1.09,720000.00,0.00,0
09/01/2020,03:20:00,1.98,1.12,720000.00,0.00,0
09/01/2020,03:25:00,1.97,1.11,720000.00,0.00,0
09/01/2020,03:30:00,1.97,1.11,720000.00,0.00,0
09/01/2020,03:35:00,1.97,1.11,720000.00,0.00,0
09/01/2020,03:40:00,1.96,1.10,720000.00,0.00,0
09/01/2020,03:45:00,1.97,1.11,720000.00,0.00,0
09/01/2020,03:50:00,1.96,1.10,720000.00,0.00,0
09/01/2020,03:55:00,1.95,1.09,720000.00,0.00,0
09/01/2020,04:00:00,1.97,1.11,720000.00,0.00,0
09/01/2020,04:05:00,1.95,1.09,720000.00,0.00,0
09/01/2020,04:10:00,1.96,1.10,720000.00,0.00,0
09/01/2020,04:15:00,1.95,1.09,720000.00,0.00,0
09/01/2020,04:20:00,1.97,1.11,720000.00,0.00,0
09/01/2020,04:25:00,1.99,1.13,720000.00,0.00,0
09/01/2020,04:30:00,2.00,1.14,720000.00,0.00,0
09/01/2020,04:35:00,2.00,1.14,720000.00,0.00,0
09/01/2020,04:40:00,2.01,1.15,720000.00,0.00,0
09/01/2020,04:45:00,2.01,1.15,720000.00,0.00,0
09/01/2020,04:50:00,2.01,1.15,720000.00,0.00,0
09/01/2020,04:55:00,2.04,1.18,720000.00,0.00,0
09/01/2020,05:00:00,2.06,1.21,720000.00,0.00,0
09/01/2020,05:05:00,2.09,1.24,720000.00,0.00,0
09/01/2020,05:10:00,2.12,1.27,720000.00,0.00,0
09/01/2020,05:15:00,2.13,1.28,720000.00,0.00,0
09/01/2020,05:20:00,2.13,1.28,720000.00,0.00,0
09/01/2020,05:25:00,2.17,1.33,720000.00,0.00,0
09/01/2020,05:30:00,2.19,1.35,720000.00,0.00,0
09/01/2020,05:35:00,2.24,1.40,720000.00,0.00,0
09/01/2020,05:40:00,2.28,1.45,720000.00,0.00,0
09/01/2020,05:45:00,2.32,1.49,720000.00,0.00,0
09/01/2020,05:50:00,2.38,1.56,720000.00,0.00,0
09/01/2020,05:55:00,2.43,1.63,720000.00,0.00,0
09/01/2020,06:00:00,2.50,1.71,720000.00,0.00,0
09/01/2020,06:05:00,2.54,1.76,720000.00,0.00,0
09/01/2020,06:10:00,2.56,1.79,720000.00,0.00,0
09/01/2020,06:15:00,2.60,1.83,720000.00,0.00,0
09/01/2020,06:20:00,2.61,1.85,720000.00,0.00,0
09/01/2020,06:25:00,2.65,1.89,720000.00,0.00,0
09/01/2020,06:30:00,2.67,1.92,720000.00,0.00,0
09/01/2020,06:35:00,2.67,1.92,720000.00,0.00,0
09/01/2020,06:40:00,2.71,1.96,720000.00,0.00,0
