Date,Time,Label,Value,Units,Quality
10/27/2020,13:33:48,Log Download,0,,G
10/27/2020,13:37:38,Setup Change,0,,G
10/27/2020,13:38:13,Client Conn,5,,G
10/27/2020,16:03:15,SDI XDT,0,,G
10/28/2020,16:04:59,SDI XDT,0,,G
10/29/2020,16:09:59,SDI XDT,0,,G
10/30/2020,16:09:59,SDI XDT,0,,G
10/31/2020,16:14:59,SDI XDT,0,,G
11/01/2020,15:54:22,Time Before Change,2939,ms,G
11/01/2020,15:54:25,Time After Change,2939,ms,G
11/01/2020,15:54:25,Cell Set Time,0,,G
11/01/2020,15:54:25,SDI XDT,0,,G
11/02/2020,15:54:59,SDI XDT,0,,G
11/03/2020,15:59:59,SDI XDT,0,,G
11/04/2020,15:59:59,SDI XDT,0,,G
11/05/2020,16:04:59,SDI XDT,0,,G
11/06/2020,11:06:19,Time Before Change,-3600000,ms,G
11/06/2020,10:06:19,Time After Change,-3600000,ms,G
11/06/2020,10:06:19,Local Time Offset Change,0,,G
11/06/2020,10:06:19,Setup Change,0,,G
11/06/2020,10:06:21,SDI XDT,0,,G
11/06/2020,10:06:49,Client Conn,6,,G
11/06/2020,14:38:29,Client Conn,7,,G
11/07/2020,10:09:59,SDI XDT,0,,G
11/08/2020,10:14:59,SDI XDT,0,,G
11/08/2020,17:14:46,Log Download,0,,G
