DateTime,Label,Value,Units,Quality
10/26/2021 12:30:09,Log Download,0,,G
10/26/2021 12:30:56,Log Download,0,,G
10/26/2021 12:38:30,Client Conn,33,,G
10/27/2021 02:24:59,SDI XDT,0,,G
10/28/2021 02:24:59,SDI XDT,0,,G
10/29/2021 02:29:59,SDI XDT,0,,G
10/30/2021 02:34:59,SDI XDT,0,,G
10/31/2021 01:58:06,Time Before Change,2939,ms,G
10/31/2021 01:58:09,Time After Change,2939,ms,G
10/31/2021 01:58:09,Cell Set Time,0,,G
10/31/2021 01:58:09,SDI XDT,0,,G
11/01/2021 01:59:59,SDI XDT,0,,G
11/02/2021 01:59:59,SDI XDT,0,,G
11/03/2021 01:59:28,Time Before Change,-2062,ms,G
11/03/2021 01:59:26,Time After Change,-2062,ms,G
11/03/2021 01:59:26,Cell Set Time,0,,G
11/03/2021 01:59:26,SDI XDT,0,,G
11/04/2021 01:59:59,SDI XDT,0,,G
11/05/2021 02:04:59,SDI XDT,0,,G
11/06/2021 02:04:59,SDI XDT,0,,G
11/07/2021 02:09:59,SDI XDT,0,,G
11/08/2021 02:09:59,SDI XDT,0,,G
11/09/2021 02:14:59,SDI XDT,0,,G
11/10/2021 02:00:40,Time Before Change,2940,ms,G
11/10/2021 02:00:43,Time After Change,2940,ms,G
11/10/2021 02:00:43,Cell Set Time,0,,G
11/10/2021 02:00:43,SDI XDT,0,,G
11/11/2021 02:04:59,SDI XDT,0,,G
11/12/2021 02:09:59,SDI XDT,0,,G
11/13/2021 02:09:59,SDI XDT,0,,G
11/14/2021 02:14:59,SDI XDT,0,,G
11/15/2021 02:14:59,SDI XDT,0,,G
11/16/2021 02:19:59,SDI XDT,0,,G
11/17/2021 02:24:59,SDI XDT,0,,G
11/18/2021 02:24:59,SDI XDT,0,,G
11/19/2021 02:29:59,SDI XDT,0,,G
11/20/2021 02:34:59,SDI XDT,0,,G
11/21/2021 02:39:59,SDI XDT,0,,G
11/22/2021 02:39:59,SDI XDT,0,,G
11/23/2021 02:39:59,SDI XDT,0,,G
11/24/2021 02:44:59,SDI XDT,0,,G
11/24/2021 13:49:13,Log Download,0,,G
