Date,Time,Label,Value,Units,Quality
09/01/2020,21:24:59,SDI XDT,0,,G
09/02/2020,21:24:59,SDI XDT,0,,G
09/03/2020,21:24:59,SDI XDT,0,,G
09/04/2020,21:24:59,SDI XDT,0,,G
09/05/2020,21:29:59,SDI XDT,0,,G
09/06/2020,21:22:35,Time Before Change,2938,ms,G
09/06/2020,21:22:38,Time After Change,2938,ms,G
09/06/2020,21:22:38,Cell Set Time,0,,G
09/06/2020,21:22:38,SDI XDT,0,,G
09/07/2020,21:24:59,SDI XDT,0,,G
09/08/2020,21:24:59,SDI XDT,0,,G
09/09/2020,12:30:30,Log Download,0,,G
09/09/2020,12:31:59,Client Conn,127,,G
09/09/2020,21:27:02,SDI XDT,0,,G
09/10/2020,21:29:59,SDI XDT,0,,G
09/11/2020,21:29:59,SDI XDT,0,,G
09/12/2020,21:29:59,SDI XDT,0,,G
09/13/2020,21:34:59,SDI XDT,0,,G
09/14/2020,21:39:59,SDI XDT,0,,G
09/15/2020,21:44:59,SDI XDT,0,,G
09/16/2020,21:44:59,SDI XDT,0,,G
09/17/2020,21:49:59,SDI XDT,0,,G
09/18/2020,21:54:59,SDI XDT,0,,G
09/19/2020,21:59:59,SDI XDT,0,,G
09/20/2020,22:04:59,SDI XDT,0,,G
09/21/2020,22:04:59,SDI XDT,0,,G
09/22/2020,22:09:59,SDI XDT,0,,G
09/23/2020,22:09:59,SDI XDT,0,,G
09/24/2020,22:14:59,SDI XDT,0,,G
09/25/2020,22:15:00,SDI XDT,0,,G
09/26/2020,22:19:59,SDI XDT,0,,G
09/27/2020,22:19:59,SDI XDT,0,,G
09/28/2020,22:24:59,SDI XDT,0,,G
09/29/2020,22:24:59,SDI XDT,0,,G
09/30/2020,22:24:59,SDI XDT,0,,G
10/01/2020,22:25:00,SDI XDT,0,,G
10/02/2020,22:25:00,SDI XDT,0,,G
10/03/2020,22:29:59,SDI XDT,0,,G
10/04/2020,21:53:12,Time Before Change,2941,ms,G
10/04/2020,21:53:15,Time After Change,2941,ms,G
10/04/2020,21:53:15,Cell Set Time,0,,G
10/04/2020,21:53:15,SDI XDT,0,,G
10/05/2020,14:29:50,Client Conn,128,,G
10/05/2020,15:33:09,Wi-Fi Connected,0,,G
10/05/2020,15:33:59,Upgrade Start,8.28,,G
10/05/2020,15:33:59,Rev Start,3127,,G
10/05/2020,15:33:59,Wi-Fi Disconnected,0,,G
10/05/2020,15:34:16,Reset Soft,1,,G
10/05/2020,15:34:16,Upgrade Complete,8.35,,G
10/05/2020,15:34:16,Rev Complet,3369,,G
10/05/2020,15:34:18,SDI XDT,0,,G
10/05/2020,15:34:19,Battery,13.45,V,G
10/05/2020,15:34:19,Internal Temp,40.54,C,G
10/05/2020,15:34:43,Wi-Fi Connected,0,,G
10/05/2020,15:34:48,Time Before Change,-238,ms,G
10/05/2020,15:34:48,Time After Change,-238,ms,G
10/05/2020,15:35:19,Setup Change,0,,G
10/05/2020,15:35:26,Reset Soft,2,,G
10/05/2020,15:35:29,SDI XDT,0,,G
10/05/2020,15:35:29,Battery,13.44,V,G
10/05/2020,15:35:29,Internal Temp,40.62,C,G
10/05/2020,15:36:02,Time Before Change,-56,ms,G
10/05/2020,15:36:02,Time After Change,-56,ms,G
10/05/2020,15:36:30,Client Conn,129,,G
10/06/2020,10:54:44,Client Conn,130,,G
10/06/2020,12:46:49,Log Download,0,,G
10/06/2020,12:52:47,Client Conn,131,,G
10/06/2020,15:37:49,SDI XDT,0,,G
10/07/2020,15:39:59,SDI XDT,0,,G
10/08/2020,15:39:59,SDI XDT,0,,G
10/09/2020,15:44:59,SDI XDT,0,,G
10/10/2020,15:44:59,SDI XDT,0,,G
10/11/2020,15:44:59,SDI XDT,0,,G
10/12/2020,15:49:59,SDI XDT,0,,G
10/13/2020,15:49:59,SDI XDT,0,,G
10/14/2020,15:54:59,SDI XDT,0,,G
10/15/2020,15:59:59,SDI XDT,0,,G
10/16/2020,15:59:59,SDI XDT,0,,G
10/17/2020,16:04:59,SDI XDT,0,,G
10/18/2020,15:38:34,Time Before Change,2938,ms,G
10/18/2020,15:38:37,Time After Change,2938,ms,G
10/18/2020,15:38:37,Cell Set Time,0,,G
10/18/2020,15:38:37,SDI XDT,0,,G
10/19/2020,15:39:59,SDI XDT,0,,G
10/20/2020,15:44:59,SDI XDT,0,,G
10/21/2020,15:44:59,SDI XDT,0,,G
10/22/2020,15:49:59,SDI XDT,0,,G
10/23/2020,15:49:59,SDI XDT,0,,G
10/24/2020,15:49:59,SDI XDT,0,,G
10/25/2020,15:54:59,SDI XDT,0,,G
10/26/2020,15:54:59,SDI XDT,0,,G
10/27/2020,11:00:31,Setup Change,0,,G
10/27/2020,11:00:49,Log Download,0,,G
