Station Name,model and version,XL2 S/N
LakeHodges_SYCAMORE,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911378
Label,Meas Type,Slope,Offset,Equation
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
01/30/2021 00:00:00,Level_PT,4.83,in,G
01/30/2021 00:00:00,Flow _PT,0.223,cfs,G
01/30/2021 00:00:00,SamplePacin,2500,cf,G
01/30/2021 00:00:00,BottleNum,1,,G
01/30/2021 00:00:00,AliquotNum,26,ali,G
01/30/2021 00:00:00,Incr_Flow,1444.37,cf,G
01/30/2021 00:01:00,Level_PT,4.82,in,G
01/30/2021 00:01:00,Flow _PT,0.222,cfs,G
01/30/2021 00:01:00,SamplePacin,2500,cf,G
01/30/2021 00:01:00,BottleNum,1,,G
01/30/2021 00:01:00,AliquotNum,26,ali,G
01/30/2021 00:01:00,Incr_Flow,1457.69,cf,G
01/30/2021 00:02:00,Level_PT,4.81,in,G
01/30/2021 00:02:00,Flow _PT,0.222,cfs,G
01/30/2021 00:02:00,SamplePacin,2500,cf,G
01/30/2021 00:02:00,BottleNum,1,,G
01/30/2021 00:02:00,AliquotNum,26,ali,G
01/30/2021 00:02:00,Incr_Flow,1470.98,cf,G
01/30/2021 00:03:00,Level_PT,4.80,in,G
01/30/2021 00:03:00,Flow _PT,0.221,cfs,G
01/30/2021 00:03:00,SamplePacin,2500,cf,G
01/30/2021 00:03:00,BottleNum,1,,G
01/30/2021 00:03:00,AliquotNum,26,ali,G
01/30/2021 00:03:00,Incr_Flow,1484.24,cf,G
01/30/2021 00:04:00,Level_PT,4.79,in,G
01/30/2021 00:04:00,Flow _PT,0.220,cfs,G
01/30/2021 00:04:00,SamplePacin,2500,cf,G
01/30/2021 00:04:00,BottleNum,1,,G
01/30/2021 00:04:00,AliquotNum,26,ali,G
01/30/2021 00:04:00,Incr_Flow,1497.46,cf,G
01/30/2021 00:05:00,Level_PT,4.79,in,G
01/30/2021 00:05:00,Flow _PT,0.220,cfs,G
01/30/2021 00:05:00,SamplePacin,2500,cf,G
01/30/2021 00:05:00,BottleNum,1,,G
01/30/2021 00:05:00,AliquotNum,26,ali,G
01/30/2021 00:05:00,Incr_Flow,1510.68,cf,G
