Date,Time,Label,Value,Units,Quality
11/06/2020,10:59:29,Log Download,0,,G
11/06/2020,11:02:34,Setup Change,0,,G
11/06/2020,11:03:04,Setup Change,0,,G
11/06/2020,11:00:00,Alarm In,2,,G
11/06/2020,11:03:44,Setup Change,0,,G
11/06/2020,11:04:21,Setup Change,0,,G
11/06/2020,11:12:36,Setup Change,0,,G
11/06/2020,11:13:34,Setup Change,0,,G
11/06/2020,11:14:46,Client Conn,11,,G
11/06/2020,14:40:29,Client Conn,12,,G
11/07/2020,09:59:59,SDI XDT,0,,G
11/08/2020,10:04:59,SDI XDT,0,,G
11/08/2020,14:47:15,Log Download,0,,G
