Station Name,model and version,XL2 S/N
Lomica_DW0914,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911379
Label,Meas Type,Slope,Offset,Equation
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
02/16/2021 13:55:00,Level_PT,1.31,in,G
02/16/2021 13:55:00,Flow _PT,122.976,gpm,G
02/16/2021 13:55:00,Level_950,0.47,in,G
02/16/2021 13:55:00,Vel_950,0.40,fps,G
02/16/2021 13:55:00,Flow_950,3.218,gpm,G
02/16/2021 14:00:00,Level_PT,1.39,in,G
02/16/2021 14:00:00,Flow _PT,140.223,gpm,G
02/16/2021 14:00:00,Level_950,0.47,in,G
02/16/2021 14:00:00,Vel_950,0.32,fps,G
02/16/2021 14:00:00,Flow_950,2.573,gpm,G
02/16/2021 14:05:00,Level_PT,1.32,in,G
02/16/2021 14:05:00,Flow _PT,125.368,gpm,G
02/16/2021 14:05:00,Level_950,0.34,in,G
02/16/2021 14:05:00,Vel_950,0.41,fps,G
02/16/2021 14:05:00,Flow_950,2.077,gpm,G
02/16/2021 14:10:00,Level_PT,1.25,in,G
02/16/2021 14:10:00,Flow _PT,109.094,gpm,G
02/16/2021 14:10:00,Level_950,0.30,in,G
02/16/2021 14:10:00,Vel_950,0.32,fps,G
02/16/2021 14:10:00,Flow_950,1.313,gpm,G
02/16/2021 14:15:00,Level_PT,1.21,in,G
02/16/2021 14:15:00,Flow _PT,101.412,gpm,G
02/16/2021 14:15:00,Level_950,0.30,in,G
02/16/2021 14:15:00,Vel_950,0.31,fps,G
02/16/2021 14:15:00,Flow_950,1.259,gpm,G
02/16/2021 14:20:00,Level_PT,1.34,in,G
02/16/2021 14:20:00,Flow _PT,129.535,gpm,G
02/16/2021 14:20:00,Level_950,0.30,in,G
02/16/2021 14:20:00,Vel_950,0.42,fps,G
02/16/2021 14:20:00,Flow_950,1.725,gpm,G
02/16/2021 14:25:00,Level_PT,1.30,in,G
02/16/2021 14:25:00,Flow _PT,120.584,gpm,G
02/16/2021 14:25:00,Level_950,0.43,in,G
02/16/2021 14:25:00,Vel_950,0.34,fps,G
02/16/2021 14:25:00,Flow_950,2.402,gpm,G
02/16/2021 14:30:00,Level_PT,1.25,in,G
02/16/2021 14:30:00,Flow _PT,109.094,gpm,G
02/16/2021 14:30:00,Level_950,0.13,in,G
02/16/2021 14:30:00,Vel_950,0.24,fps,G
02/16/2021 14:30:00,Flow_950,0.268,gpm,G
02/16/2021 14:35:00,Level_PT,1.25,in,G
02/16/2021 14:35:00,Flow _PT,109.094,gpm,G
02/16/2021 14:35:00,Level_950,0.13,in,G
02/16/2021 14:35:00,Vel_950,0.28,fps,G
02/16/2021 14:35:00,Flow_950,0.312,gpm,G
02/16/2021 14:40:00,Level_PT,1.28,in,G
02/16/2021 14:40:00,Flow _PT,115.799,gpm,G
02/16/2021 14:40:00,Level_950,0.39,in,G
02/16/2021 14:40:00,Flow_950,1.994,gpm,G
02/16/2021 14:40:00,Vel_950,0.33,fps,G
02/16/2021 14:45:00,Level_PT,1.28,in,G
02/16/2021 14:45:00,Flow _PT,115.799,gpm,G
02/16/2021 14:45:00,Level_950,0.43,in,G
02/16/2021 14:45:00,Flow_950,2.136,gpm,G
02/16/2021 14:45:00,Vel_950,0.31,fps,G
02/16/2021 14:50:00,Level_PT,1.22,in,G
02/16/2021 14:50:00,Flow _PT,103.332,gpm,G
02/16/2021 14:50:00,Level_950,0.43,in,G
02/16/2021 14:50:00,Flow_950,2.717,gpm,G
02/16/2021 14:50:00,Vel_950,0.39,fps,G
02/16/2021 14:55:00,Level_PT,1.36,in,G
02/16/2021 14:55:00,Flow _PT,133.701,gpm,G
02/16/2021 14:55:00,Level_950,0.47,in,G
02/16/2021 14:55:00,Flow_950,3.170,gpm,G
02/16/2021 14:55:00,Vel_950,0.39,fps,G
02/16/2021 15:00:00,Level_PT,1.29,in,G
02/16/2021 15:00:00,Flow _PT,118.192,gpm,G
02/16/2021 15:00:00,Level_950,0.22,in,G
02/16/2021 15:00:00,Vel_950,0.31,fps,G
02/16/2021 15:00:00,Flow_950,0.784,gpm,G
02/16/2021 15:05:00,Level_PT,1.33,in,G
02/16/2021 15:05:00,Flow _PT,127.451,gpm,G
02/16/2021 15:05:00,Level_950,0.30,in,G
02/16/2021 15:05:00,Vel_950,0.33,fps,G
02/16/2021 15:05:00,Flow_950,1.346,gpm,G
02/16/2021 15:10:00,Level_PT,1.31,in,G
02/16/2021 15:10:00,Flow _PT,122.976,gpm,G
02/16/2021 15:10:00,Level_950,0.47,in,G
02/16/2021 15:10:00,Vel_950,0.47,fps,G
02/16/2021 15:10:00,Flow_950,3.767,gpm,G
02/16/2021 15:15:00,Level_PT,1.39,in,G
02/16/2021 15:15:00,Flow _PT,140.223,gpm,G
02/16/2021 15:15:00,Level_950,0.52,in,G
02/16/2021 15:15:00,Vel_950,1.07,fps,G
02/16/2021 15:15:00,Flow_950,9.775,gpm,G
02/16/2021 15:20:00,Level_PT,1.48,in,G
02/16/2021 15:20:00,Flow _PT,161.606,gpm,G
02/16/2021 15:20:00,Level_950,0.56,in,G
02/16/2021 15:20:00,Vel_950,0.62,fps,G
02/16/2021 15:20:00,Flow_950,6.409,gpm,G
02/16/2021 15:25:00,Level_PT,1.34,in,G
