Date,Time,PT Level,PT Flow cfs
MM/dd/yyyy,hh:mm:ss,in,gpm
11/08/2020,14:50:00,0.96,58.840
11/08/2020,14:55:00,1.44,150.980
11/08/2020,15:00:00,1.14,88.090
11/08/2020,15:05:00,0.97,60.750
11/08/2020,15:10:00,1.19,97.670
11/08/2020,15:15:00,0.98,62.700
11/08/2020,15:20:00,1.13,86.640
11/08/2020,15:25:00,0.98,62.700
11/08/2020,15:30:00,1.10,81.520
11/08/2020,15:35:00,1.14,88.090
11/08/2020,15:40:00,0.98,62.700
11/08/2020,15:45:00,0.94,55.540
11/08/2020,15:50:00,0.96,58.840
11/08/2020,15:55:00,0.90,50.040
11/08/2020,16:00:00,1.05,72.590
11/08/2020,16:05:00,1.02,68.100
11/08/2020,16:10:00,1.03,69.850
11/08/2020,16:15:00,1.14,88.090
11/08/2020,16:20:00,1.14,88.090
11/08/2020,16:25:00,1.00,64.680
11/08/2020,16:30:00,0.98,62.700
11/08/2020,16:35:00,1.04,71.220
11/08/2020,16:40:00,1.05,72.590
11/08/2020,16:45:00,0.97,60.750
11/08/2020,16:50:00,0.89,49.245
11/08/2020,16:55:00,0.93,54.630
11/08/2020,17:00:00,0.97,60.750
11/08/2020,17:05:00,0.92,53.720
11/08/2020,17:10:00,0.93,54.630
11/08/2020,17:15:00,0.84,42.500
