Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Battery_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,V,in,gpm
01/29/2021 00:00:00,80000,1,5875.66,0,1.34,3.60,137.415,12.61,2.97,728.350
01/29/2021 00:01:00,80000,1,6456.92,0,1.56,3.14,150.646,12.61,2.66,581.263
01/29/2021 00:02:00,80000,1,7294.31,0,1.40,3.39,138.192,12.61,3.18,837.387
01/29/2021 00:03:00,80000,1,8073.83,0,1.51,3.64,166.245,12.61,3.07,779.519
01/29/2021 00:04:00,80000,1,9044.28,0,0.98,3.76,90.497,12.61,3.42,970.451
01/29/2021 00:05:00,80000,1,9456.23,0,1.12,3.37,98.651,12.61,2.26,411.946
01/29/2021 00:06:00,80000,1,10354.49,0,0.99,3.45,84.201,12.61,3.29,898.264
01/29/2021 00:07:00,80000,1,10973.57,0,1.15,3.49,106.732,12.61,2.74,619.079
01/29/2021 00:08:00,80000,1,11643.78,0,1.17,3.73,116.359,12.61,2.85,670.209
01/29/2021 00:09:00,80000,1,12367.28,0,1.28,3.48,123.760,12.61,2.96,723.505
01/29/2021 00:10:00,80000,1,12670.59,0,0.99,3.34,81.870,12.61,1.96,303.306
01/29/2021 00:11:00,80000,1,795.22,0,1.27,3.52,124.872,12.61,3.10,795.219
01/29/2021 00:12:00,80000,1,1334.15,0,1.36,3.47,134.965,12.61,2.57,538.927
01/29/2021 00:13:00,80000,1,1957.83,0,1.46,3.05,132.520,12.61,2.75,623.684
01/29/2021 00:14:00,80000,1,2861.63,0,1.23,3.65,122.706,12.61,3.30,903.798
01/29/2021 00:15:00,80000,1,3715.62,0,1.50,3.28,148.240,12.61,3.21,853.990
01/29/2021 00:16:00,80000,1,4371.53,0,1.12,3.46,101.422,12.61,2.82,655.915
01/29/2021 00:17:00,80000,1,5618.42,0,1.07,4.03,110.920,12.61,3.89,1246.887
01/29/2021 00:18:00,80000,1,6683.64,0,1.54,2.44,115.268,12.61,3.59,1065.221
01/29/2021 00:19:00,80000,1,7499.79,0,0.56,3.79,39.199,12.61,3.14,816.153
01/29/2021 00:20:00,80000,1,8109.66,0,1.14,3.82,114.106,12.61,2.72,609.870
01/29/2021 00:21:00,80000,1,8985.79,0,1.19,4.03,128.916,12.61,3.25,876.127
01/29/2021 00:22:00,80000,1,10318.57,0,1.20,3.62,117.017,12.61,4.03,1332.783
01/29/2021 00:23:00,80000,1,11233.44,0,1.10,4.01,114.519,12.61,3.32,914.866
01/29/2021 00:24:00,80000,1,13438.17,0,1.41,3.84,157.914,12.61,5.29,2204.732
01/29/2021 00:25:00,80000,1,15273.31,0,1.33,4.41,166.502,12.61,4.78,1835.138
01/29/2021 00:26:00,80000,1,16154.97,0,1.50,4.61,207.763,12.61,3.26,881.661
01/29/2021 00:27:00,80000,1,17751.34,0,1.46,4.00,174.167,12.61,4.43,1596.366
01/29/2021 00:28:00,80000,1,19408.79,0,1.14,4.17,126.130,12.61,4.52,1657.457
01/29/2021 00:29:00,80000,1,21479.64,0,1.26,4.28,149.492,12.61,5.11,2070.847
01/29/2021 00:30:00,80000,1,22818.56,0,1.22,4.08,136.218,12.61,4.04,1338.918
01/29/2021 00:31:00,80000,1,24455.09,0,1.18,4.82,151.910,12.61,4.49,1636.530
01/29/2021 00:32:00,80000,1,26290.23,0,1.25,5.02,173.686,12.61,4.78,1835.138
01/29/2021 00:33:00,80000,1,28111.98,0,1.43,5.30,222.987,12.42,4.76,1821.753
01/29/2021 00:34:00,80000,1,30973.08,0,1.31,5.24,194.128,12.40,6.14,2861.100
01/29/2021 00:35:00,80000,1,33834.18,0,1.19,4.95,157.643,12.43,6.14,2861.100
01/29/2021 00:36:00,80000,1,36361.53,0,1.19,5.07,161.560,12.55,5.71,2527.352
01/29/2021 00:37:00,80000,1,38183.28,0,1.28,4.28,153.332,12.56,4.76,1821.753
01/29/2021 00:38:00,80000,1,41101.75,0,0.93,4.21,93.012,12.56,6.21,2918.469
01/29/2021 00:39:00,80000,1,43946.46,0,1.02,4.18,107.177,12.57,6.12,2844.708
01/29/2021 00:40:00,80000,1,48761.15,0,1.14,4.11,123.807,12.57,8.43,4814.684
01/29/2021 00:41:00,80000,1,53375.48,0,1.07,3.70,100.937,12.58,8.21,4614.339
01/29/2021 00:42:00,80000,1,60194.02,0,1.01,3.16,79.540,12.58,10.60,6818.540
01/29/2021 00:43:00,80000,1,63527.31,0,0.90,3.47,72.981,12.58,6.72,3333.287
01/29/2021 00:44:00,80000,1,66543.69,0,0.78,4.30,73.503,12.58,6.33,3016.383
01/29/2021 00:45:00,80000,1,69843.46,0,1.79,4.05,238.236,12.58,6.68,3299.769
01/29/2021 00:46:00,80000,1,74856.32,0,1.16,3.78,117.428,12.59,8.65,5012.855
01/29/2021 00:47:00,80000,1,79860.21,0,1.56,4.39,210.406,12.59,8.64,5003.893
01/29/2021 00:48:00,80000,1,2925.25,0,1.75,3.96,224.335,12.59,6.39,3065.036
01/29/2021 00:49:00,80000,1,6480.39,1,1.76,3.73,214.700,12.45,6.98,3555.146
01/29/2021 00:50:00,80000,1,9618.79,1,0.85,3.49,68.165,12.50,6.48,3138.394
01/29/2021 00:51:00,80000,1,16800.53,1,0.87,3.58,72.270,12.52,10.98,7181.745
01/29/2021 00:52:00,80000,1,21192.81,1,0.66,2.74,36.138,12.53,7.96,4392.282
01/29/2021 00:53:00,80000,1,25898.22,1,0.13,3.99,4.396,12.54,8.31,4705.405
01/29/2021 00:54:00,80000,1,33514.90,1,0.63,4.10,50.696,12.55,11.43,7616.681
01/29/2021 00:55:00,80000,1,37864.84,1,0.46,3.04,23.761,12.56,7.91,4349.941
01/29/2021 00:56:00,80000,1,41377.21,1,0.13,4.32,4.753,12.56,6.93,3512.374
01/29/2021 00:57:00,80000,1,47051.21,1,0.82,3.73,68.237,12.57,9.38,5673.992
01/29/2021 00:58:00,80000,1,50018.85,1,0.43,4.26,29.466,12.57,6.27,2967.643
01/29/2021 00:59:00,80000,1,55665.16,1,0.62,4.07,49.200,12.58,9.35,5646.306
01/29/2021 01:00:00,80000,1,61145.35,1,0.45,3.78,28.342,12.58,9.17,5480.195
01/29/2021 01:01:00,80000,1,65887.18,1,0.53,3.56,34.193,12.58,8.35,4741.831
01/29/2021 01:02:00,80000,1,69614.96,1,0.31,3.96,16.601,12.58,7.19,3727.775
01/29/2021 01:03:00,80000,1,73847.76,1,0.40,3.79,23.916,12.58,7.77,4232.804
01/29/2021 01:04:00,80000,1,78180.97,1,0.50,3.97,34.569,12.58,7.89,4333.207
01/29/2021 01:05:00,80000,1,2175.62,1,0.62,4.67,56.294,12.58,7.50,3994.647
01/29/2021 01:06:00,80000,1,6917.45,2,0.93,4.60,102.301,12.45,8.35,4741.831
01/29/2021 01:07:00,80000,1,13395.76,2,0.77,4.70,79.381,12.50,10.24,6478.310
01/29/2021 01:08:00,80000,1,18301.07,2,0.95,4.45,101.445,12.52,8.53,4905.315
