Date Time,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,in,fps,gpm,in,gpm
02/16/2021 13:55:00,0.47,0.40,3.218,1.31,122.976
02/16/2021 14:00:00,0.47,0.32,2.573,1.39,140.223
02/16/2021 14:05:00,0.34,0.41,2.077,1.32,125.368
02/16/2021 14:10:00,0.30,0.32,1.313,1.25,109.094
02/16/2021 14:15:00,0.30,0.31,1.259,1.21,101.412
02/16/2021 14:20:00,0.30,0.42,1.725,1.34,129.535
02/16/2021 14:25:00,0.43,0.34,2.402,1.30,120.584
02/16/2021 14:30:00,0.13,0.24,0.268,1.25,109.094
02/16/2021 14:35:00,0.13,0.28,0.312,1.25,109.094
02/16/2021 14:40:00,0.39,0.33,1.994,1.28,115.799
02/16/2021 14:45:00,0.43,0.31,2.136,1.28,115.799
02/16/2021 14:50:00,0.43,0.39,2.717,1.22,103.332
02/16/2021 14:55:00,0.47,0.39,3.170,1.36,133.701
02/16/2021 15:00:00,0.22,0.31,0.784,1.29,118.192
02/16/2021 15:05:00,0.30,0.33,1.346,1.33,127.451
02/16/2021 15:10:00,0.47,0.47,3.767,1.31,122.976
02/16/2021 15:15:00,0.52,1.07,9.775,1.39,140.223
02/16/2021 15:20:00,0.56,0.62,6.409,1.48,161.606
02/16/2021 15:25:00,0.30,0.47,1.928,1.34,129.535
02/16/2021 15:30:00,0.43,0.33,2.318,1.39,140.223
02/16/2021 15:35:00,0.30,0.39,1.606,1.34,129.535
02/16/2021 15:40:00,0.34,0.32,1.620,1.24,107.174
02/16/2021 15:45:00,0.34,0.38,1.926,1.33,127.451
02/16/2021 15:50:00,0.47,0.34,2.726,1.31,122.976
02/16/2021 15:55:00,0.30,0.33,1.350,1.32,125.368
02/16/2021 16:00:00,0.34,0.32,1.605,1.28,115.799
02/16/2021 16:05:00,0.47,0.31,2.517,1.30,120.584
02/16/2021 16:10:00,0.30,0.28,1.148,1.35,131.618
02/16/2021 16:15:00,0.47,0.44,3.509,1.25,109.094
02/16/2021 16:20:00,0.34,0.31,1.559,1.36,133.701
