DateTime,Label,Value,Units,Quality
01/22/2021 11:43:14,Reset Powerup,9,,G
01/22/2021 11:43:18,Battery,12.86,V,G
01/22/2021 11:43:18,Internal Temp,22.05,C,G
01/22/2021 11:45:02,RS232 Connected,0,,G
01/22/2021 11:45:03,RS232 Disconnected,0,,G
01/22/2021 11:45:34,System Error: Cell SIM Error,5582,,G
01/22/2021 11:50:02,RS232 Connected,0,,G
01/22/2021 11:50:02,RS232 Disconnected,0,,G
01/22/2021 11:55:02,RS232 Connected,0,,G
01/22/2021 11:55:17,RS232 Disconnected,0,,G
01/22/2021 12:00:02,RS232 Connected,0,,G
01/22/2021 12:00:17,RS232 Disconnected,0,,G
01/22/2021 12:05:01,Wi-Fi Connected,0,,G
01/22/2021 12:05:02,RS232 Connected,0,,G
01/22/2021 12:05:03,RS232 Disconnected,0,,G
01/22/2021 12:05:27,Time Before Change,237993,ms,G
01/22/2021 12:09:25,Time After Change,237993,ms,G
01/22/2021 12:09:25,User Set Time,0,,G
01/22/2021 12:09:27,Time Before Change,-260,ms,G
01/22/2021 12:09:27,Time After Change,-260,ms,G
01/22/2021 12:10:02,RS232 Connected,0,,G
01/22/2021 12:10:03,RS232 Disconnected,0,,G
01/22/2021 12:10:04,Trigger Man,1,,G
01/22/2021 12:10:31,Wi-Fi Disconnected,0,,G
01/22/2021 12:10:42,System Error: Cell SIM Error,5582,,G
01/22/2021 12:15:02,RS232 Connected,0,,G
01/22/2021 12:15:17,RS232 Disconnected,0,,G
01/22/2021 12:20:02,RS232 Connected,0,,G
01/22/2021 12:20:17,RS232 Disconnected,0,,G
01/22/2021 12:25:02,RS232 Connected,0,,G
01/22/2021 12:25:17,RS232 Disconnected,0,,G
01/22/2021 12:30:02,RS232 Connected,0,,G
01/22/2021 12:30:17,RS232 Disconnected,0,,G
01/22/2021 12:35:02,RS232 Connected,0,,G
01/22/2021 12:35:17,RS232 Disconnected,0,,G
01/22/2021 12:40:02,RS232 Connected,0,,G
01/22/2021 12:40:17,RS232 Disconnected,0,,G
01/22/2021 12:45:02,RS232 Connected,0,,G
01/22/2021 12:45:17,RS232 Disconnected,0,,G
01/22/2021 12:50:02,RS232 Connected,0,,G
01/22/2021 12:50:17,RS232 Disconnected,0,,G
01/22/2021 12:55:02,RS232 Connected,0,,G
01/22/2021 12:55:17,RS232 Disconnected,0,,G
01/22/2021 13:00:02,RS232 Connected,0,,G
01/22/2021 13:00:17,RS232 Disconnected,0,,G
01/22/2021 13:05:02,RS232 Connected,0,,G
01/22/2021 13:05:17,RS232 Disconnected,0,,G
01/22/2021 13:10:02,RS232 Connected,0,,G
01/22/2021 13:10:17,RS232 Disconnected,0,,G
01/22/2021 13:15:02,RS232 Connected,0,,G
01/22/2021 13:15:17,RS232 Disconnected,0,,G
01/22/2021 13:20:02,RS232 Connected,0,,G
01/22/2021 13:20:17,RS232 Disconnected,0,,G
01/22/2021 13:25:02,RS232 Connected,0,,G
01/22/2021 13:25:17,RS232 Disconnected,0,,G
01/22/2021 13:30:02,RS232 Connected,0,,G
01/22/2021 13:30:17,RS232 Disconnected,0,,G
01/22/2021 13:35:02,RS232 Connected,0,,G
01/22/2021 13:35:17,RS232 Disconnected,0,,G
01/22/2021 13:40:02,RS232 Connected,0,,G
01/22/2021 13:40:17,RS232 Disconnected,0,,G
01/22/2021 13:41:26,System Error: Cell SIM Error,5582,,G
01/22/2021 13:45:02,RS232 Connected,0,,G
01/22/2021 13:45:17,RS232 Disconnected,0,,G
01/22/2021 13:50:02,RS232 Connected,0,,G
01/22/2021 13:50:17,RS232 Disconnected,0,,G
01/22/2021 13:55:02,RS232 Connected,0,,G
01/22/2021 13:55:17,RS232 Disconnected,0,,G
01/22/2021 14:00:02,RS232 Connected,0,,G
01/22/2021 14:00:17,RS232 Disconnected,0,,G
01/22/2021 14:05:02,RS232 Connected,0,,G
01/22/2021 14:05:17,RS232 Disconnected,0,,G
01/22/2021 14:10:02,RS232 Connected,0,,G
01/22/2021 14:10:17,RS232 Disconnected,0,,G
01/22/2021 14:15:02,RS232 Connected,0,,G
01/22/2021 14:15:17,RS232 Disconnected,0,,G
01/22/2021 14:20:02,RS232 Connected,0,,G
01/22/2021 14:20:17,RS232 Disconnected,0,,G
01/22/2021 14:25:02,RS232 Connected,0,,G
01/22/2021 14:25:17,RS232 Disconnected,0,,G
01/22/2021 14:30:02,RS232 Connected,0,,G
01/22/2021 14:30:17,RS232 Disconnected,0,,G
01/22/2021 14:35:02,RS232 Connected,0,,G
01/22/2021 14:35:17,RS232 Disconnected,0,,G
01/22/2021 14:40:02,RS232 Connected,0,,G
01/22/2021 14:40:17,RS232 Disconnected,0,,G
01/22/2021 14:45:02,RS232 Connected,0,,G
01/22/2021 14:45:17,RS232 Disconnected,0,,G
01/22/2021 14:50:02,RS232 Connected,0,,G
