Station Name,model and version,XL2 S/N
LosCoches_F2,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1905439
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
TotFlow_950,Modbus,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
01/22/2021 11:44:00,SamplePacin,1,cf,G
01/22/2021 11:44:00,BottleNum,1,,G
01/22/2021 11:45:00,SamplePacin,1,cf,G
01/22/2021 11:45:00,BottleNum,1,,G
01/22/2021 11:45:00,AliquotNum,0,ali,G
01/22/2021 11:45:00,Level_950,1.00,in,G
01/22/2021 11:45:00,Flow_950,0.006,cfs,G
01/22/2021 11:45:00,Rain_950,0.00,in,G
01/22/2021 11:45:00,Battery_950,12.54,V,G
01/22/2021 11:45:00,Vel_950,0.20,fps,G
01/22/2021 11:45:00,TotFlow_950,0.00,cf,G
01/22/2021 11:44:00,Incr_Flow,0.00,cf,G
01/22/2021 11:45:00,Incr_Flow,0.00,cf,G
01/22/2021 11:46:00,SamplePacin,1,cf,G
01/22/2021 11:46:00,BottleNum,1,,G
01/22/2021 11:46:00,Incr_Flow,0.00,cf,G
01/22/2021 11:47:00,SamplePacin,1,cf,G
01/22/2021 11:47:00,BottleNum,1,,G
01/22/2021 11:47:00,Incr_Flow,0.00,cf,G
01/22/2021 11:48:00,SamplePacin,1,cf,G
01/22/2021 11:48:00,BottleNum,1,,G
01/22/2021 11:48:00,Incr_Flow,0.00,cf,G
01/22/2021 11:49:00,SamplePacin,1,cf,G
01/22/2021 11:49:00,BottleNum,1,,G
01/22/2021 11:49:00,Incr_Flow,0.00,cf,G
01/22/2021 11:50:00,SamplePacin,1,cf,G
01/22/2021 11:50:00,BottleNum,1,,G
01/22/2021 11:50:00,AliquotNum,0,ali,G
01/22/2021 11:50:00,Level_950,0.00,in,G
01/22/2021 11:50:00,TotFlow_950,0.00,cf,G
01/22/2021 11:50:00,Battery_950,12.51,V,G
01/22/2021 11:50:00,Vel_950,0.00,fps,G
01/22/2021 11:50:00,Rain_950,0.00,in,G
01/22/2021 11:50:00,Flow_950,0.000,cfs,G
01/22/2021 11:50:00,Incr_Flow,0.00,cf,G
01/22/2021 11:51:00,SamplePacin,1,cf,G
01/22/2021 11:51:00,BottleNum,1,,G
01/22/2021 11:51:00,Incr_Flow,0.00,cf,G
01/22/2021 11:52:00,SamplePacin,1,cf,G
01/22/2021 11:52:00,BottleNum,1,,G
01/22/2021 11:52:00,Incr_Flow,0.00,cf,G
01/22/2021 11:53:00,SamplePacin,1,cf,G
01/22/2021 11:53:00,BottleNum,1,,G
01/22/2021 11:53:00,Incr_Flow,0.00,cf,G
01/22/2021 11:54:00,SamplePacin,1,cf,G
01/22/2021 11:54:00,BottleNum,1,,G
01/22/2021 11:54:00,Incr_Flow,0.00,cf,G
01/22/2021 11:55:00,SamplePacin,1,cf,G
01/22/2021 11:55:00,BottleNum,1,,G
01/22/2021 11:55:00,AliquotNum,0,ali,G
01/22/2021 11:55:00,Level_950,0.00,in,G
01/22/2021 11:55:00,Battery_950,12.72,V,G
01/22/2021 11:55:00,Vel_950,0.00,fps,G
01/22/2021 11:55:00,TotFlow_950,0.00,cf,G
01/22/2021 11:55:00,Rain_950,0.00,in,G
01/22/2021 11:55:00,Flow_950,0.000,cfs,G
01/22/2021 11:55:00,Incr_Flow,0.00,cf,G
01/22/2021 11:56:00,SamplePacin,1,cf,G
01/22/2021 11:56:00,BottleNum,1,,G
01/22/2021 11:56:00,Incr_Flow,0.00,cf,G
01/22/2021 11:57:00,SamplePacin,1,cf,G
01/22/2021 11:57:00,BottleNum,1,,G
01/22/2021 11:57:00,Incr_Flow,0.00,cf,G
01/22/2021 11:58:00,SamplePacin,1,cf,G
01/22/2021 11:58:00,BottleNum,1,,G
01/22/2021 11:58:00,Incr_Flow,0.00,cf,G
01/22/2021 11:59:00,SamplePacin,1,cf,G
01/22/2021 11:59:00,BottleNum,1,,G
01/22/2021 11:59:00,Incr_Flow,0.00,cf,G
01/22/2021 12:00:00,SamplePacin,1,cf,G
01/22/2021 12:00:00,BottleNum,1,,G
01/22/2021 12:00:00,AliquotNum,0,ali,G
01/22/2021 12:00:00,Level_950,0.00,in,G
01/22/2021 12:00:00,Flow_950,0.000,cfs,G
01/22/2021 12:00:00,Incr_Flow,0.00,cf,G
01/22/2021 12:00:00,Rain_950,0.00,in,G
01/22/2021 12:00:00,Battery_950,12.74,V,G
01/22/2021 12:00:00,Vel_950,0.00,fps,G
01/22/2021 12:00:00,TotFlow_950,0.00,cf,G
01/22/2021 12:01:00,SamplePacin,1,cf,G
01/22/2021 12:01:00,BottleNum,1,,G
01/22/2021 12:01:00,Incr_Flow,0.00,cf,G
01/22/2021 12:02:00,SamplePacin,1,cf,G
01/22/2021 12:02:00,BottleNum,1,,G
