Station Name,model and version,XL2 S/N
Oceans11_DW0011,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911375
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,5.270000,Off
Flow _PT,Meta,1.000000,0.000000,Off
01/22/2021 15:05:00,PT Level,0.38,in,G
01/22/2021 15:05:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:05:00,Level_950,0.48,in,G
01/22/2021 15:05:00,Vel_950,0.01,fps,G
01/22/2021 15:05:00,Flow_950,0.07,gpm,G
01/22/2021 15:10:00,PT Level,0.39,in,G
01/22/2021 15:10:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:10:00,Level_950,0.48,in,G
01/22/2021 15:10:00,Vel_950,0.01,fps,G
01/22/2021 15:10:00,Flow_950,0.07,gpm,G
01/22/2021 15:15:00,PT Level,0.39,in,G
01/22/2021 15:15:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:15:00,Level_950,0.56,in,G
01/22/2021 15:15:00,Vel_950,0.01,fps,G
01/22/2021 15:15:00,Flow_950,0.08,gpm,G
01/22/2021 15:20:00,PT Level,0.39,in,G
01/22/2021 15:20:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:20:00,Level_950,0.35,in,G
01/22/2021 15:20:00,Vel_950,0.01,fps,G
01/22/2021 15:20:00,Flow_950,0.04,gpm,G
01/22/2021 15:25:00,PT Level,0.39,in,G
01/22/2021 15:25:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:25:00,Level_950,0.48,in,G
01/22/2021 15:25:00,Vel_950,0.01,fps,G
01/22/2021 15:25:00,Flow_950,0.07,gpm,G
01/22/2021 15:30:00,PT Level,0.39,in,G
01/22/2021 15:30:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:30:00,Level_950,0.52,in,G
01/22/2021 15:30:00,Vel_950,0.01,fps,G
01/22/2021 15:30:00,Flow_950,0.08,gpm,G
01/22/2021 15:35:00,PT Level,0.39,in,G
01/22/2021 15:35:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:35:00,Level_950,0.52,in,G
01/22/2021 15:35:00,Vel_950,0.01,fps,G
01/22/2021 15:35:00,Flow_950,0.08,gpm,G
01/22/2021 15:40:00,PT Level,0.39,in,G
01/22/2021 15:40:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:40:00,Level_950,0.43,in,G
01/22/2021 15:40:00,Vel_950,0.01,fps,G
01/22/2021 15:40:00,Flow_950,0.06,gpm,G
01/22/2021 15:45:00,PT Level,0.38,in,G
01/22/2021 15:45:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:45:00,Level_950,0.56,in,G
01/22/2021 15:45:00,Vel_950,0.01,fps,G
01/22/2021 15:45:00,Flow_950,0.08,gpm,G
01/22/2021 15:50:00,PT Level,0.39,in,G
01/22/2021 15:50:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:50:00,Level_950,0.43,in,G
01/22/2021 15:50:00,Vel_950,0.01,fps,G
01/22/2021 15:50:00,Flow_950,0.06,gpm,G
01/22/2021 15:55:00,PT Level,0.39,in,G
01/22/2021 15:55:00,PT Flow gpm,0.000,gpm,G
01/22/2021 15:55:00,Level_950,0.56,in,G
01/22/2021 15:55:00,Vel_950,0.01,fps,G
01/22/2021 15:55:00,Flow_950,0.08,gpm,G
01/22/2021 16:00:00,PT Level,0.39,in,G
01/22/2021 16:00:00,PT Flow gpm,0.000,gpm,G
01/22/2021 16:00:00,Battery_950,12.27,V,G
01/22/2021 16:00:00,Level_950,0.52,in,G
01/22/2021 16:00:00,Vel_950,0.01,fps,G
01/22/2021 16:00:00,Flow_950,0.08,gpm,G
01/22/2021 16:05:00,PT Level,0.39,in,G
01/22/2021 16:05:00,PT Flow gpm,0.000,gpm,G
01/22/2021 16:05:00,Level_950,0.48,in,G
01/22/2021 16:05:00,Vel_950,0.01,fps,G
01/22/2021 16:05:00,Flow_950,0.07,gpm,G
01/22/2021 16:10:00,PT Level,0.38,in,G
01/22/2021 16:10:00,PT Flow gpm,0.000,gpm,G
01/22/2021 16:10:00,Level_950,0.52,in,G
01/22/2021 16:10:00,Vel_950,0.01,fps,G
01/22/2021 16:10:00,Flow_950,0.08,gpm,G
01/22/2021 16:15:00,PT Level,0.39,in,G
01/22/2021 16:15:00,PT Flow gpm,0.000,gpm,G
01/22/2021 16:15:00,Level_950,0.52,in,G
01/22/2021 16:15:00,Vel_950,0.01,fps,G
01/22/2021 16:15:00,Flow_950,0.08,gpm,G
01/22/2021 16:20:00,PT Level,0.39,in,G
01/22/2021 16:20:00,PT Flow gpm,0.000,gpm,G
01/22/2021 16:20:00,Level_950,0.52,in,G
01/22/2021 16:20:00,Vel_950,0.01,fps,G
