Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Battery_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,V,in,gpm
01/29/2021 00:00:00,3000,1,0.00,0,1.71,0.70,28.003,12.59,2.15,41.186
01/29/2021 00:01:00,3000,1,38.04,0,2.14,0.70,43.328,12.58,2.09,38.042
01/29/2021 00:02:00,3000,1,76.08,0,2.31,0.65,44.762,12.59,2.09,38.042
01/29/2021 00:03:00,3000,1,115.17,0,2.31,0.68,46.979,12.59,2.11,39.090
01/29/2021 00:04:00,3000,1,155.31,0,2.35,0.64,45.767,12.59,2.13,40.138
01/29/2021 00:05:00,3000,1,190.73,0,2.31,0.61,42.267,12.59,2.04,35.422
01/29/2021 00:06:00,3000,1,224.58,0,2.27,0.63,43.889,12.59,2.01,33.850
01/29/2021 00:07:00,3000,1,255.95,0,2.27,0.65,43.889,12.58,1.95,31.367
01/29/2021 00:08:00,3000,1,286.49,0,2.18,0.65,41.674,12.58,1.93,30.539
01/29/2021 00:09:00,3000,1,317.44,0,2.14,0.64,39.924,12.58,1.94,30.953
01/29/2021 00:10:00,3000,1,348.40,0,2.14,0.63,38.933,12.58,1.94,30.953
01/29/2021 00:11:00,3000,1,381.83,0,2.14,0.63,38.809,12.58,2.00,33.436
01/29/2021 00:12:00,3000,1,414.03,0,2.18,0.64,40.591,12.58,1.97,32.195
01/29/2021 00:13:00,3000,1,447.46,0,2.14,0.60,37.324,12.58,2.00,33.436
01/29/2021 00:14:00,3000,1,484.98,0,2.22,0.64,42.025,12.58,2.08,37.518
01/29/2021 00:15:00,3000,1,533.22,0,2.27,0.60,40.518,12.58,2.28,48.243
01/29/2021 00:16:00,3000,1,578.60,0,2.35,0.67,47.476,12.58,2.23,45.378
01/29/2021 00:17:00,3000,1,632.02,0,2.39,0.61,44.872,12.58,2.36,53.417
01/29/2021 00:18:00,3000,1,691.26,0,2.48,0.75,57.776,12.58,2.45,59.237
01/29/2021 00:19:00,3000,1,748.55,0,2.61,0.74,60.955,12.58,2.42,57.297
01/29/2021 00:20:00,3000,1,814.62,0,2.65,0.72,60.978,12.58,2.55,66.072
01/29/2021 00:21:00,3000,1,885.02,0,2.82,0.88,82.042,12.58,2.61,70.394
01/29/2021 00:22:00,3000,1,964.78,0,2.95,0.90,89.318,12.58,2.74,79.760
01/29/2021 00:23:00,3000,1,1050.39,0,3.08,0.96,100.828,12.58,2.81,85.612
01/29/2021 00:24:00,3000,1,1161.44,0,3.12,0.76,81.996,12.58,3.09,111.045
01/29/2021 00:25:00,3000,1,1259.88,0,3.16,0.69,76.061,12.58,2.96,98.444
01/29/2021 00:26:00,3000,1,1369.92,0,3.37,0.91,109.343,12.58,3.08,110.041
01/29/2021 00:27:00,3000,1,1477.96,0,3.33,1.07,126.179,12.58,3.06,108.034
01/29/2021 00:28:00,3000,1,1614.32,0,3.50,0.95,120.637,12.58,3.33,136.362
01/29/2021 00:29:00,3000,1,1756.26,0,3.63,1.01,134.997,12.58,3.38,141.940
01/29/2021 00:30:00,3000,1,1907.24,0,3.67,1.18,160.639,12.58,3.46,150.978
01/29/2021 00:31:00,3000,1,2064.36,0,3.71,0.98,135.313,12.58,3.51,157.120
01/29/2021 00:32:00,3000,1,2237.44,0,3.93,1.04,155.863,12.58,3.64,173.087
01/29/2021 00:33:00,3000,1,2405.62,0,4.23,1.06,177.573,12.58,3.60,168.174
01/29/2021 00:34:00,3000,1,2603.24,0,4.31,1.21,207.704,12.58,3.82,197.619
01/29/2021 00:35:00,3000,1,2825.14,0,4.23,1.25,209.509,12.58,3.99,221.903
01/29/2021 00:36:00,3000,1,67.38,0,4.40,1.09,193.635,12.58,4.13,242.240
01/29/2021 00:37:00,3000,1,284.92,1,4.69,1.09,211.988,12.35,3.96,217.546
01/29/2021 00:38:00,3000,1,534.02,1,4.99,1.09,232.151,12.50,4.17,249.095
01/29/2021 00:39:00,3000,1,839.36,1,5.12,1.20,263.358,12.53,4.49,305.342
01/29/2021 00:40:00,3000,1,1086.74,1,5.04,1.20,258.204,12.54,4.16,247.381
01/29/2021 00:41:00,3000,1,1328.98,1,5.21,1.20,270.302,12.54,4.13,242.240
01/29/2021 00:42:00,3000,1,1552.34,1,5.04,0.99,212.841,12.55,4.00,223.356
01/29/2021 00:43:00,3000,1,1748.56,1,4.91,1.14,236.252,12.55,3.81,196.218
01/29/2021 00:44:00,3000,1,1954.58,1,4.74,1.59,313.850,12.56,3.88,206.027
01/29/2021 00:45:00,3000,1,2169.23,1,4.82,1.38,278.308,12.56,3.94,214.640
01/29/2021 00:46:00,3000,1,2342.31,1,4.95,1.51,316.400,12.56,3.64,173.087
01/29/2021 00:47:00,3000,1,2564.22,1,5.12,1.64,361.127,12.56,3.99,221.903
01/29/2021 00:48:00,3000,1,2847.87,1,5.04,1.40,300.772,12.56,4.37,283.652
01/29/2021 00:49:00,3000,1,127.91,1,4.87,1.45,296.568,12.56,4.35,280.037
