Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,FlowAV_vel,FlowAV_leve
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,fps,in
01/15/2021 12:17:00,15,2,-99999.00,,,,,2.451,1.62
01/15/2021 12:18:00,15,2,0.00,,,,,,
01/15/2021 12:19:00,15,2,,,,,,,
01/15/2021 12:20:00,15,2,0.00,0,0.24,3.12,0.000,2.355,1.86
01/15/2021 12:21:00,15,2,0.00,,,,,,
01/15/2021 12:22:00,15,2,0.00,,,,,,
01/15/2021 12:23:00,15,2,0.00,,,,,,
01/15/2021 12:24:00,15,2,0.00,,,,,,
01/15/2021 12:25:00,15,2,0.00,0,0.28,3.10,0.000,2.921,1.89
01/15/2021 12:26:00,15,2,0.00,,,,,,
01/15/2021 12:27:00,15,2,0.00,,,,,,
01/15/2021 12:28:00,15,2,0.00,,,,,,
01/15/2021 12:29:00,15,2,0.00,,,,,,
01/15/2021 12:30:00,15,2,0.00,0,0.28,3.10,0.000,2.753,1.95
01/15/2021 12:31:00,15,2,0.00,,,,,,
01/15/2021 12:32:00,15,2,0.00,,,,,,
01/15/2021 12:33:00,15,2,0.00,,,,,,
01/15/2021 12:34:00,15,2,0.00,,,,,,
01/15/2021 12:35:00,15,2,0.00,0,0.28,3.10,0.000,2.786,1.87
01/15/2021 12:36:00,15,2,0.00,,,,,,
01/15/2021 12:37:00,15,2,0.00,,,,,,
