Station Name,model and version,XL2 S/N
Tazon_DW0317,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911380
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.150000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
11/10/2020,00:00:00,PT Level,0.10,in,G
11/10/2020,00:00:00,PT Flow cfs,0.190,gpm,G
11/10/2020,00:00:04,RS232 Connected,0,,G
11/10/2020,00:00:00,Battery_950,12.58,V,G
11/10/2020,00:00:00,Level_950,0.10,in,G
11/10/2020,00:00:00,Flow_950,0.29,cfs,G
11/10/2020,00:00:13,RS232 Disconnected,0,,G
11/10/2020,00:00:00,Vel_950,4.84,fps,G
11/10/2020,00:05:00,PT Level,0.10,in,G
11/10/2020,00:05:00,PT Flow cfs,0.190,gpm,G
11/10/2020,00:05:04,RS232 Connected,0,,G
11/10/2020,00:05:00,Level_950,0.10,in,G
11/10/2020,00:05:00,Flow_950,0.29,cfs,G
11/10/2020,00:05:10,RS232 Disconnected,0,,G
11/10/2020,00:05:00,Vel_950,4.84,fps,G
11/10/2020,00:10:00,PT Level,0.10,in,G
11/10/2020,00:10:00,PT Flow cfs,0.190,gpm,G
11/10/2020,00:10:04,RS232 Connected,0,,G
11/10/2020,00:10:00,Level_950,0.10,in,G
11/10/2020,00:10:00,Flow_950,0.29,cfs,G
11/10/2020,00:10:10,RS232 Disconnected,0,,G
11/10/2020,00:10:00,Vel_950,4.84,fps,G
11/10/2020,00:15:00,PT Level,0.12,in,G
11/10/2020,00:15:00,PT Flow cfs,0.320,gpm,G
11/10/2020,00:15:04,RS232 Connected,0,,G
11/10/2020,00:15:00,Level_950,0.10,in,G
11/10/2020,00:15:00,Flow_950,0.29,cfs,G
11/10/2020,00:15:10,RS232 Disconnected,0,,G
11/10/2020,00:15:00,Vel_950,4.84,fps,G
11/10/2020,00:20:00,PT Level,0.10,in,G
11/10/2020,00:20:00,PT Flow cfs,0.190,gpm,G
11/10/2020,00:20:04,RS232 Connected,0,,G
11/10/2020,00:20:00,Level_950,0.10,in,G
11/10/2020,00:20:00,Flow_950,0.29,cfs,G
11/10/2020,00:20:10,RS232 Disconnected,0,,G
11/10/2020,00:20:00,Vel_950,4.84,fps,G
11/10/2020,00:25:00,PT Level,0.11,in,G
11/10/2020,00:25:00,PT Flow cfs,0.255,gpm,G
11/10/2020,00:25:04,RS232 Connected,0,,G
11/10/2020,00:25:00,Level_950,0.10,in,G
11/10/2020,00:25:00,Flow_950,0.29,cfs,G
11/10/2020,00:25:10,RS232 Disconnected,0,,G
11/10/2020,00:25:00,Vel_950,4.84,fps,G
11/10/2020,00:30:00,PT Level,0.12,in,G
11/10/2020,00:30:00,PT Flow cfs,0.320,gpm,G
11/10/2020,00:30:04,RS232 Connected,0,,G
11/10/2020,00:30:00,Level_950,0.10,in,G
11/10/2020,00:30:00,Flow_950,0.29,cfs,G
11/10/2020,00:30:10,RS232 Disconnected,0,,G
11/10/2020,00:30:00,Vel_950,4.84,fps,G
11/10/2020,00:35:00,PT Level,0.11,in,G
11/10/2020,00:35:00,PT Flow cfs,0.255,gpm,G
11/10/2020,00:35:04,RS232 Connected,0,,G
11/10/2020,00:35:00,Level_950,0.10,in,G
11/10/2020,00:35:00,Flow_950,0.29,cfs,G
11/10/2020,00:35:10,RS232 Disconnected,0,,G
11/10/2020,00:35:00,Vel_950,4.84,fps,G
11/10/2020,00:40:00,PT Level,0.11,in,G
11/10/2020,00:40:00,PT Flow cfs,0.255,gpm,G
11/10/2020,00:40:04,RS232 Connected,0,,G
11/10/2020,00:40:00,Level_950,0.10,in,G
11/10/2020,00:40:00,Flow_950,0.29,cfs,G
11/10/2020,00:40:10,RS232 Disconnected,0,,G
11/10/2020,00:40:00,Vel_950,4.84,fps,G
11/10/2020,00:45:00,PT Level,0.11,in,G
11/10/2020,00:45:00,PT Flow cfs,0.255,gpm,G
11/10/2020,00:45:04,RS232 Connected,0,,G
11/10/2020,00:45:00,Level_950,0.10,in,G
11/10/2020,00:45:00,Flow_950,0.29,cfs,G
11/10/2020,00:45:10,RS232 Disconnected,0,,G
11/10/2020,00:45:00,Vel_950,4.84,fps,G
11/10/2020,00:50:00,PT Level,0.13,in,G
11/10/2020,00:50:00,PT Flow cfs,0.385,gpm,G
11/10/2020,00:50:04,RS232 Connected,0,,G
11/10/2020,00:50:00,Level_950,0.10,in,G
11/10/2020,00:50:00,Flow_950,0.29,cfs,G
11/10/2020,00:50:10,RS232 Disconnected,0,,G
11/10/2020,00:50:00,Vel_950,4.84,fps,G
11/10/2020,00:55:00,PT Level,0.12,in,G
11/10/2020,00:55:00,PT Flow cfs,0.320,gpm,G
11/10/2020,00:55:04,RS232 Connected,0,,G
11/10/2020,00:55:00,Level_950,0.10,in,G
11/10/2020,00:55:00,Flow_950,0.29,cfs,G
11/10/2020,00:55:10,RS232 Disconnected,0,,G
11/10/2020,00:55:00,Vel_950,4.84,fps,G
11/10/2020,01:00:00,PT Level,0.13,in,G
11/10/2020,01:00:00,PT Flow cfs,0.385,gpm,G
11/10/2020,01:00:04,RS232 Connected,0,,G
11/10/2020,01:00:00,Battery_950,12.58,V,G
11/10/2020,01:00:00,Level_950,0.10,in,G
11/10/2020,01:00:00,Flow_950,0.29,cfs,G
11/10/2020,01:00:13,RS232 Disconnected,0,,G
11/10/2020,01:00:00,Vel_950,4.84,fps,G
11/10/2020,01:05:00,PT Level,0.11,in,G
