Station Name,model and version,XL2 S/N
Tazon_DW0317,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911380
Label,Meas Type,Slope,Offset,Equation
SamplePacin,Manual Entry,1.000000,0.000000,Off
BottleNum,Manual Entry,1.000000,0.000000,Off
Incr_Flow,Meta,1.000000,0.000000,Off
AliquotNum,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
Level_PT,SDI-12,1.000000,0.000000,Off
Flow _PT,Meta,1.000000,0.000000,Off
01/29/2021 00:00:00,Level_PT,1.69,in,G
01/29/2021 00:00:00,Flow _PT,183.387,gpm,G
01/29/2021 00:00:00,SamplePacin,20000,gal,G
01/29/2021 00:00:00,BottleNum,1,,G
01/29/2021 00:00:00,AliquotNum,0,ali,G
01/29/2021 00:00:00,Level_950,1.42,in,G
01/29/2021 00:00:00,Incr_Flow,797.56,gal,G
01/29/2021 00:00:00,Battery_950,12.51,V,G
01/29/2021 00:00:00,Flow_950,89.206,gpm,G
01/29/2021 00:00:00,Vel_950,2.35,fps,G
01/29/2021 00:01:00,Level_PT,1.91,in,G
01/29/2021 00:01:00,Flow _PT,226.062,gpm,G
01/29/2021 00:01:00,SamplePacin,20000,gal,G
01/29/2021 00:01:00,BottleNum,1,,G
01/29/2021 00:01:00,AliquotNum,0,ali,G
01/29/2021 00:01:00,Level_950,1.39,in,G
01/29/2021 00:01:00,Incr_Flow,1023.62,gal,G
01/29/2021 00:01:00,Vel_950,2.93,fps,G
01/29/2021 00:01:00,Battery_950,12.51,V,G
01/29/2021 00:01:00,Flow_950,107.350,gpm,G
01/29/2021 00:02:00,Level_PT,1.51,in,G
01/29/2021 00:02:00,Flow _PT,149.226,gpm,G
01/29/2021 00:02:00,SamplePacin,20000,gal,G
01/29/2021 00:02:00,BottleNum,1,,G
01/29/2021 00:02:00,AliquotNum,0,ali,G
01/29/2021 00:02:00,Level_950,1.49,in,G
01/29/2021 00:02:00,Incr_Flow,1172.85,gal,G
01/29/2021 00:02:00,Battery_950,12.51,V,G
01/29/2021 00:02:00,Vel_950,3.15,fps,G
01/29/2021 00:02:00,Flow_950,128.804,gpm,G
01/29/2021 00:03:00,Level_PT,1.85,in,G
01/29/2021 00:03:00,Flow _PT,214.423,gpm,G
01/29/2021 00:03:00,SamplePacin,20000,gal,G
01/29/2021 00:03:00,BottleNum,1,,G
01/29/2021 00:03:00,AliquotNum,0,ali,G
01/29/2021 00:03:00,Level_950,1.50,in,G
01/29/2021 00:03:00,Incr_Flow,1387.27,gal,G
01/29/2021 00:03:00,Battery_950,12.49,V,G
01/29/2021 00:03:00,Vel_950,2.46,fps,G
01/29/2021 00:03:00,Flow_950,101.639,gpm,G
01/29/2021 00:04:00,Level_PT,1.68,in,G
01/29/2021 00:04:00,Flow _PT,181.447,gpm,G
01/29/2021 00:04:00,SamplePacin,20000,gal,G
01/29/2021 00:04:00,BottleNum,1,,G
01/29/2021 00:04:00,AliquotNum,0,ali,G
01/29/2021 00:04:00,Level_950,1.26,in,G
01/29/2021 00:04:00,Incr_Flow,1568.72,gal,G
01/29/2021 00:04:00,Battery_950,12.50,V,G
01/29/2021 00:04:00,Vel_950,2.41,fps,G
01/29/2021 00:04:00,Flow_950,76.291,gpm,G
01/29/2021 00:05:00,Level_PT,1.93,in,G
01/29/2021 00:05:00,Flow _PT,229.942,gpm,G
01/29/2021 00:05:00,SamplePacin,20000,gal,G
01/29/2021 00:05:00,BottleNum,1,,G
01/29/2021 00:05:00,AliquotNum,0,ali,G
01/29/2021 00:05:00,Level_950,1.43,in,G
01/29/2021 00:05:00,Incr_Flow,1798.66,gal,G
01/29/2021 00:05:00,Vel_950,2.25,fps,G
01/29/2021 00:05:00,Flow_950,86.267,gpm,G
01/29/2021 00:05:00,Battery_950,12.50,V,G
01/29/2021 00:06:00,Level_PT,1.65,in,G
01/29/2021 00:06:00,Flow _PT,175.628,gpm,G
01/29/2021 00:06:00,SamplePacin,20000,gal,G
01/29/2021 00:06:00,AliquotNum,0,ali,G
01/29/2021 00:06:00,BottleNum,1,,G
01/29/2021 00:06:00,Level_950,0.19,in,G
01/29/2021 00:06:00,Incr_Flow,1974.29,gal,G
01/29/2021 00:06:00,Vel_950,2.49,fps,G
01/29/2021 00:06:00,Flow_950,4.758,gpm,G
01/29/2021 00:06:00,Battery_950,12.50,V,G
01/29/2021 00:07:00,Level_PT,1.75,in,G
01/29/2021 00:07:00,Flow _PT,195.026,gpm,G
01/29/2021 00:07:00,SamplePacin,20000,gal,G
01/29/2021 00:07:00,BottleNum,1,,G
01/29/2021 00:07:00,AliquotNum,0,ali,G
01/29/2021 00:07:00,Level_950,1.30,in,G
01/29/2021 00:07:00,Incr_Flow,2169.32,gal,G
01/29/2021 00:07:00,Vel_950,3.35,fps,G
01/29/2021 00:07:00,Flow_950,111.596,gpm,G
01/29/2021 00:07:00,Battery_950,12.50,V,G
01/29/2021 00:08:00,Level_PT,2.27,in,G
01/29/2021 00:08:00,Flow _PT,303.667,gpm,G
