Date,Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Battery_950
MM/dd/yyyy,hh:mm:ss,in,gpm,in,fps,cfs,V
11/06/2020,16:00:00,,,,,,12.66
11/06/2020,16:40:00,,-99999.000,0.10,-99999.00,0.29,
11/06/2020,16:42:00,-0.05,,,4.84,,
11/06/2020,16:45:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,16:50:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,16:55:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,17:00:00,0.10,0.190,0.10,4.84,0.29,12.68
11/06/2020,17:05:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,17:10:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,17:15:00,0.09,0.171,0.10,4.84,0.29,
11/06/2020,17:20:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,17:25:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,17:30:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,17:35:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,17:40:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,17:45:00,0.12,0.320,0.10,4.84,0.29,
11/06/2020,17:50:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,17:55:00,0.12,0.320,0.10,4.84,0.29,
11/06/2020,18:00:00,0.10,0.190,0.10,4.84,0.29,12.69
11/06/2020,18:05:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,18:10:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,18:15:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,18:20:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,18:25:00,0.09,0.171,0.10,4.84,0.29,
11/06/2020,18:30:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,18:35:00,0.11,0.255,0.10,4.84,0.29,
11/06/2020,18:40:00,0.10,0.190,0.10,4.84,0.29,
11/06/2020,18:45:00,0.09,0.171,0.10,4.84,0.29,
