Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Battery_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,V,in,gpm
01/22/2021 00:00:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.00,0.000
01/22/2021 00:01:00,15,1,0.00,,,,,,,
01/22/2021 00:02:00,15,1,0.00,,,,,,,
01/22/2021 00:03:00,15,1,0.00,,,,,,,
01/22/2021 00:04:00,15,1,0.00,,,,,,,
01/22/2021 00:05:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.01,0.282
01/22/2021 00:06:00,15,1,0.00,,,,,,,
01/22/2021 00:07:00,15,1,0.00,,,,,,,
01/22/2021 00:08:00,15,1,0.00,,,,,,,
01/22/2021 00:09:00,15,1,0.00,,,,,,,
01/22/2021 00:10:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.01,0.282
01/22/2021 00:11:00,15,1,0.00,,,,,,,
01/22/2021 00:12:00,15,1,0.00,,,,,,,
01/22/2021 00:13:00,15,1,0.00,,,,,,,
01/22/2021 00:14:00,15,1,0.00,,,,,,,
01/22/2021 00:15:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.00,0.000
01/22/2021 00:16:00,15,1,0.00,,,,,,,
01/22/2021 00:17:00,15,1,0.00,,,,,,,
01/22/2021 00:18:00,15,1,0.00,,,,,,,
01/22/2021 00:19:00,15,1,0.00,,,,,,,
01/22/2021 00:20:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.00,0.000
01/22/2021 00:21:00,15,1,0.00,,,,,,,
01/22/2021 00:22:00,15,1,0.00,,,,,,,
01/22/2021 00:23:00,15,1,0.00,,,,,,,
01/22/2021 00:24:00,15,1,0.00,,,,,,,
01/22/2021 00:25:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.01,0.282
01/22/2021 00:26:00,15,1,0.00,,,,,,,
01/22/2021 00:27:00,15,1,0.00,,,,,,,
01/22/2021 00:28:00,15,1,0.00,,,,,,,
01/22/2021 00:29:00,15,1,0.00,,,,,,,
01/22/2021 00:30:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.00,0.000
01/22/2021 00:31:00,15,1,0.00,,,,,,,
01/22/2021 00:32:00,15,1,0.00,,,,,,,
01/22/2021 00:33:00,15,1,0.00,,,,,,,
01/22/2021 00:34:00,15,1,0.00,,,,,,,
01/22/2021 00:35:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.01,0.282
01/22/2021 00:36:00,15,1,0.00,,,,,,,
01/22/2021 00:37:00,15,1,0.00,,,,,,,
01/22/2021 00:38:00,15,1,0.00,,,,,,,
01/22/2021 00:39:00,15,1,0.00,,,,,,,
01/22/2021 00:40:00,15,1,0.00,0,0.10,0.40,0.288,12.54,0.01,0.282
01/22/2021 00:41:00,15,1,0.00,,,,,,,
01/22/2021 00:42:00,15,1,0.00,,,,,,,
01/22/2021 00:43:00,15,1,0.00,,,,,,,
01/22/2021 00:44:00,15,1,0.00,,,,,,,
01/22/2021 00:45:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.01,0.282
01/22/2021 00:46:00,15,1,0.00,,,,,,,
01/22/2021 00:47:00,15,1,0.00,,,,,,,
01/22/2021 00:48:00,15,1,0.00,,,,,,,
01/22/2021 00:49:00,15,1,0.00,,,,,,,
01/22/2021 00:50:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.00,0.000
01/22/2021 00:51:00,15,1,0.00,,,,,,,
01/22/2021 00:52:00,15,1,0.00,,,,,,,
01/22/2021 00:53:00,15,1,0.00,,,,,,,
01/22/2021 00:54:00,15,1,0.00,,,,,,,
01/22/2021 00:55:00,15,1,0.00,0,0.10,0.40,0.288,12.55,0.00,0.000
01/22/2021 00:56:00,15,1,0.00,,,,,,,
01/22/2021 00:57:00,15,1,0.00,,,,,,,
01/22/2021 00:58:00,15,1,0.00,,,,,,,
01/22/2021 00:59:00,15,1,0.00,,,,,,,
01/22/2021 01:00:00,15,1,0.00,0,0.10,0.40,0.288,12.55,-0.01,0.000
01/22/2021 01:01:00,15,1,0.00,,,,,,,
