Date Time,SamplePacin,BottleNum,Incr_Flow,AliquotNum,Level_950,Vel_950,Flow_950,Level_PT,Flow _PT,Level_PTnew
MM/dd/yyyy hh:mm:ss,gal,,gal,ali,in,fps,gpm,in,gpm,in
03/03/2021 14:46:00,2000,1,1392.43,14,2.07,3.30,218.891,0.70,7.892,0.28
03/03/2021 14:47:00,2000,1,1614.16,14,2.04,3.41,221.732,0.71,4.792,0.17
03/03/2021 14:48:00,2000,1,1841.48,14,2.05,3.48,227.320,0.75,1.409,0.05
03/03/2021 14:49:00,2000,1,53.83,14,2.00,3.38,212.354,0.61,1.409,0.05
03/03/2021 14:50:00,2000,1,261.86,15,1.95,3.43,208.034,0.73,4.228,0.15
03/03/2021 14:51:00,2000,1,482.33,15,2.10,3.26,220.469,0.76,2.819,0.10
03/03/2021 14:52:00,2000,1,678.47,15,1.89,3.37,196.140,0.77,7.047,0.25
03/03/2021 14:53:00,2000,1,846.93,15,1.82,3.08,168.459,0.99,0.000,-0.01
03/03/2021 14:54:00,2000,1,976.97,15,1.52,3.09,130.040,0.89,0.000,-0.05
03/03/2021 14:55:00,2000,1,1091.29,15,1.41,3.04,114.316,0.99,0.000,-0.10
03/03/2021 14:56:00,2000,1,1202.81,15,1.38,3.06,111.519,1.03,0.000,-0.11
03/03/2021 14:57:00,2000,1,1305.08,15,1.38,2.81,102.268,0.91,0.000,-0.01
03/03/2021 14:58:00,2000,1,1407.97,15,1.44,2.66,102.899,1.07,4.510,0.16
03/03/2021 14:59:00,2000,1,1480.04,15,1.16,2.57,72.067,1.12,3.382,0.12
03/03/2021 15:00:00,2000,1,1543.20,15,1.20,2.13,63.154,1.07,4.792,0.17
03/03/2021 15:01:00,2000,1,1599.02,15,1.13,2.07,55.829,1.21,7.328,0.26
03/03/2021 15:02:00,2000,1,1653.10,15,1.04,2.25,54.071,1.13,7.328,0.26
03/03/2021 15:03:00,2000,1,1702.81,15,1.00,2.20,49.710,1.09,1.973,0.07
03/03/2021 15:04:00,2000,1,1756.38,15,1.00,2.37,53.572,0.97,1.691,0.06
03/03/2021 15:05:00,2000,1,1800.70,15,0.96,2.09,44.326,1.07,0.000,-0.15
03/03/2021 15:06:00,2000,1,1853.12,15,1.00,2.32,52.420,1.14,4.510,0.16
03/03/2021 15:07:00,2000,1,1909.97,15,1.00,2.52,56.847,1.10,5.637,0.20
03/03/2021 15:08:00,2000,1,1960.40,15,1.05,2.08,50.432,0.92,1.691,0.06
03/03/2021 15:09:00,2000,1,13.81,15,1.09,2.09,53.411,0.83,2.537,0.09
03/03/2021 15:10:00,2000,1,64.14,16,0.92,2.54,50.324,0.92,7.047,0.25
03/03/2021 15:11:00,2000,1,94.89,16,0.79,1.95,30.749,0.93,6.483,0.23
03/03/2021 15:12:00,2000,1,125.76,16,0.79,1.95,30.876,0.85,2.819,0.10
03/03/2021 15:13:00,2000,1,127.19,16,0.10,1.98,1.424,0.88,8.456,0.30
03/03/2021 15:14:00,2000,1,128.50,16,0.10,1.83,1.312,0.87,3.664,0.13
03/03/2021 15:15:00,2000,1,159.31,16,0.87,1.67,30.807,0.78,8.174,0.29
03/03/2021 15:16:00,2000,1,189.22,16,0.79,1.89,29.912,0.78,2.255,0.08
03/03/2021 15:17:00,2000,1,220.60,16,0.87,1.70,31.378,0.81,6.201,0.22
03/03/2021 15:18:00,2000,1,243.51,16,0.75,1.58,22.918,0.78,4.228,0.15
03/03/2021 15:19:00,2000,1,263.54,16,0.75,1.38,20.023,0.81,5.919,0.21
03/03/2021 15:20:00,2000,1,288.64,16,0.75,1.73,25.101,0.72,5.637,0.20
03/03/2021 15:21:00,2000,1,310.11,16,0.79,1.36,21.469,0.66,4.228,0.15
03/03/2021 15:22:00,2000,1,329.10,16,0.70,1.42,18.992,0.75,1.409,0.05
03/03/2021 15:23:00,2000,1,353.02,16,0.75,1.64,23.922,0.69,2.537,0.09
03/03/2021 15:24:00,2000,1,370.29,16,0.75,1.19,17.272,0.70,3.100,0.11
03/03/2021 15:25:00,2000,1,387.86,16,0.75,1.21,17.563,0.74,1.691,0.06
