Date,Time,Label,Value,Units,Quality
11/05/2020,18:00:06,RS232 Connected,0,,G
11/05/2020,18:00:15,RS232 Disconnected,0,,G
11/05/2020,18:05:05,RS232 Connected,0,,G
11/05/2020,18:05:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,18:05:10,RS232 Disconnected,0,,G
11/05/2020,18:10:05,RS232 Connected,0,,G
11/05/2020,18:10:09,RS232 Disconnected,0,,G
11/05/2020,18:15:05,RS232 Connected,0,,G
11/05/2020,18:15:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,18:15:09,RS232 Disconnected,0,,G
11/05/2020,18:20:05,RS232 Connected,0,,G
11/05/2020,18:20:10,RS232 Disconnected,0,,G
11/05/2020,18:25:05,RS232 Connected,0,,G
11/05/2020,18:25:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,18:25:09,RS232 Disconnected,0,,G
11/05/2020,18:30:05,RS232 Connected,0,,G
11/05/2020,18:30:09,RS232 Disconnected,0,,G
11/05/2020,18:35:05,RS232 Connected,0,,G
11/05/2020,18:35:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,18:35:10,RS232 Disconnected,0,,G
11/05/2020,18:40:05,RS232 Connected,0,,G
11/05/2020,18:40:09,RS232 Disconnected,0,,G
11/05/2020,18:45:05,RS232 Connected,0,,G
11/05/2020,18:45:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,18:45:09,RS232 Disconnected,0,,G
11/05/2020,18:50:05,RS232 Connected,0,,G
11/05/2020,18:50:10,RS232 Disconnected,0,,G
11/05/2020,18:55:05,RS232 Connected,0,,G
11/05/2020,18:55:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,18:55:09,RS232 Disconnected,0,,G
11/05/2020,19:00:06,RS232 Connected,0,,G
11/05/2020,19:00:15,RS232 Disconnected,0,,G
11/05/2020,19:05:05,RS232 Connected,0,,G
11/05/2020,19:05:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,19:05:10,RS232 Disconnected,0,,G
11/05/2020,19:10:05,RS232 Connected,0,,G
11/05/2020,19:10:09,RS232 Disconnected,0,,G
11/05/2020,19:15:05,RS232 Connected,0,,G
11/05/2020,19:15:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,19:15:09,RS232 Disconnected,0,,G
11/05/2020,19:20:05,RS232 Connected,0,,G
11/05/2020,19:20:10,RS232 Disconnected,0,,G
11/05/2020,19:25:05,RS232 Connected,0,,G
11/05/2020,19:25:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,19:25:09,RS232 Disconnected,0,,G
11/05/2020,19:30:05,RS232 Connected,0,,G
11/05/2020,19:30:09,RS232 Disconnected,0,,G
11/05/2020,19:35:05,RS232 Connected,0,,G
11/05/2020,19:35:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,19:35:10,RS232 Disconnected,0,,G
11/05/2020,19:40:05,RS232 Connected,0,,G
11/05/2020,19:40:09,RS232 Disconnected,0,,G
11/05/2020,19:45:05,RS232 Connected,0,,G
11/05/2020,19:45:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,19:45:09,RS232 Disconnected,0,,G
11/05/2020,19:50:05,RS232 Connected,0,,G
11/05/2020,19:50:10,RS232 Disconnected,0,,G
11/05/2020,19:55:05,RS232 Connected,0,,G
11/05/2020,19:55:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,19:55:09,RS232 Disconnected,0,,G
11/05/2020,20:00:06,RS232 Connected,0,,G
11/05/2020,20:00:15,RS232 Disconnected,0,,G
11/05/2020,20:05:05,RS232 Connected,0,,G
11/05/2020,20:05:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,20:05:10,RS232 Disconnected,0,,G
11/05/2020,20:10:05,RS232 Connected,0,,G
11/05/2020,20:10:09,RS232 Disconnected,0,,G
11/05/2020,20:15:05,RS232 Connected,0,,G
11/05/2020,20:15:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,20:15:09,RS232 Disconnected,0,,G
11/05/2020,20:20:05,RS232 Connected,0,,G
11/05/2020,20:20:10,RS232 Disconnected,0,,G
11/05/2020,20:25:05,RS232 Connected,0,,G
11/05/2020,20:25:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,20:25:09,RS232 Disconnected,0,,G
11/05/2020,20:30:05,RS232 Connected,0,,G
11/05/2020,20:30:09,RS232 Disconnected,0,,G
11/05/2020,20:35:05,RS232 Connected,0,,G
11/05/2020,20:35:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,20:35:10,RS232 Disconnected,0,,G
11/05/2020,20:40:05,RS232 Connected,0,,G
11/05/2020,20:40:09,RS232 Disconnected,0,,G
11/05/2020,20:45:05,RS232 Connected,0,,G
11/05/2020,20:45:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,20:45:09,RS232 Disconnected,0,,G
11/05/2020,20:50:05,RS232 Connected,0,,G
11/05/2020,20:50:10,RS232 Disconnected,0,,G
11/05/2020,20:55:05,RS232 Connected,0,,G
11/05/2020,20:55:05,System Error: Modbus Sensor Failure,5593,,G
11/05/2020,20:55:09,RS232 Disconnected,0,,G
11/05/2020,21:00:06,RS232 Connected,0,,G
11/05/2020,21:00:15,RS232 Disconnected,0,,G
11/05/2020,21:05:05,RS232 Connected,0,,G
