Date,Time,Label,Value,Units,Quality
11/19/2020,09:00:08,RS232 Connected,0,,G
11/19/2020,09:00:17,RS232 Disconnected,0,,G
11/19/2020,09:00:45,Log Download,0,,G
11/19/2020,09:02:24,Client Conn,4,,G
11/19/2020,09:05:07,RS232 Connected,0,,G
11/19/2020,09:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,09:05:11,RS232 Disconnected,0,,G
11/19/2020,09:10:07,RS232 Connected,0,,G
11/19/2020,09:10:12,RS232 Disconnected,0,,G
11/19/2020,09:15:07,RS232 Connected,0,,G
11/19/2020,09:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,09:15:11,RS232 Disconnected,0,,G
11/19/2020,09:20:07,RS232 Connected,0,,G
11/19/2020,09:20:11,RS232 Disconnected,0,,G
11/19/2020,09:25:07,RS232 Connected,0,,G
11/19/2020,09:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,09:25:12,RS232 Disconnected,0,,G
11/19/2020,09:30:07,RS232 Connected,0,,G
11/19/2020,09:30:11,RS232 Disconnected,0,,G
11/19/2020,09:35:07,RS232 Connected,0,,G
11/19/2020,09:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,09:35:11,RS232 Disconnected,0,,G
11/19/2020,09:40:07,RS232 Connected,0,,G
11/19/2020,09:40:12,RS232 Disconnected,0,,G
11/19/2020,09:45:07,RS232 Connected,0,,G
11/19/2020,09:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,09:45:11,RS232 Disconnected,0,,G
11/19/2020,09:50:07,RS232 Connected,0,,G
11/19/2020,09:50:11,RS232 Disconnected,0,,G
11/19/2020,09:55:07,RS232 Connected,0,,G
11/19/2020,09:55:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,09:55:12,RS232 Disconnected,0,,G
11/19/2020,10:00:08,RS232 Connected,0,,G
11/19/2020,10:00:17,RS232 Disconnected,0,,G
11/19/2020,10:05:07,RS232 Connected,0,,G
11/19/2020,10:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,10:05:11,RS232 Disconnected,0,,G
11/19/2020,10:10:07,RS232 Connected,0,,G
11/19/2020,10:10:12,RS232 Disconnected,0,,G
11/19/2020,10:15:07,RS232 Connected,0,,G
11/19/2020,10:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,10:15:11,RS232 Disconnected,0,,G
11/19/2020,10:20:07,RS232 Connected,0,,G
11/19/2020,10:20:11,RS232 Disconnected,0,,G
11/19/2020,10:25:07,RS232 Connected,0,,G
11/19/2020,10:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,10:25:12,RS232 Disconnected,0,,G
11/19/2020,10:30:07,RS232 Connected,0,,G
11/19/2020,10:30:11,RS232 Disconnected,0,,G
11/19/2020,10:35:07,RS232 Connected,0,,G
11/19/2020,10:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,10:35:11,RS232 Disconnected,0,,G
11/19/2020,10:40:07,RS232 Connected,0,,G
11/19/2020,10:40:12,RS232 Disconnected,0,,G
11/19/2020,10:45:07,RS232 Connected,0,,G
11/19/2020,10:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,10:45:11,RS232 Disconnected,0,,G
11/19/2020,10:50:07,RS232 Connected,0,,G
11/19/2020,10:50:11,RS232 Disconnected,0,,G
11/19/2020,10:55:07,RS232 Connected,0,,G
11/19/2020,10:55:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,10:55:12,RS232 Disconnected,0,,G
11/19/2020,11:00:08,RS232 Connected,0,,G
11/19/2020,11:00:17,RS232 Disconnected,0,,G
11/19/2020,11:05:07,RS232 Connected,0,,G
11/19/2020,11:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,11:05:11,RS232 Disconnected,0,,G
11/19/2020,11:10:07,RS232 Connected,0,,G
11/19/2020,11:10:12,RS232 Disconnected,0,,G
11/19/2020,11:15:07,RS232 Connected,0,,G
11/19/2020,11:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,11:15:11,RS232 Disconnected,0,,G
11/19/2020,11:20:07,RS232 Connected,0,,G
11/19/2020,11:20:11,RS232 Disconnected,0,,G
11/19/2020,11:25:07,RS232 Connected,0,,G
11/19/2020,11:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,11:25:12,RS232 Disconnected,0,,G
11/19/2020,11:30:07,RS232 Connected,0,,G
11/19/2020,11:30:11,RS232 Disconnected,0,,G
11/19/2020,11:35:07,RS232 Connected,0,,G
11/19/2020,11:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,11:35:11,RS232 Disconnected,0,,G
11/19/2020,11:40:07,RS232 Connected,0,,G
11/19/2020,11:40:12,RS232 Disconnected,0,,G
11/19/2020,11:45:07,RS232 Connected,0,,G
11/19/2020,11:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,11:45:11,RS232 Disconnected,0,,G
11/19/2020,11:50:07,RS232 Connected,0,,G
11/19/2020,11:50:11,RS232 Disconnected,0,,G
11/19/2020,11:55:07,RS232 Connected,0,,G
11/19/2020,11:55:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,11:55:12,RS232 Disconnected,0,,G
11/19/2020,12:00:08,RS232 Connected,0,,G
11/19/2020,12:00:17,RS232 Disconnected,0,,G
11/19/2020,12:05:07,RS232 Connected,0,,G
11/19/2020,12:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,12:05:11,RS232 Disconnected,0,,G
11/19/2020,12:10:07,RS232 Connected,0,,G
11/19/2020,12:10:12,RS232 Disconnected,0,,G
11/19/2020,12:15:07,RS232 Connected,0,,G
11/19/2020,12:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,12:15:11,RS232 Disconnected,0,,G
11/19/2020,12:20:07,RS232 Connected,0,,G
11/19/2020,12:20:11,RS232 Disconnected,0,,G
11/19/2020,12:25:07,RS232 Connected,0,,G
11/19/2020,12:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,12:25:12,RS232 Disconnected,0,,G
11/19/2020,12:30:07,RS232 Connected,0,,G
11/19/2020,12:30:11,RS232 Disconnected,0,,G
11/19/2020,12:35:07,RS232 Connected,0,,G
11/19/2020,12:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,12:35:11,RS232 Disconnected,0,,G
11/19/2020,12:40:07,RS232 Connected,0,,G
11/19/2020,12:40:12,RS232 Disconnected,0,,G
11/19/2020,12:45:07,RS232 Connected,0,,G
11/19/2020,12:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,12:45:11,RS232 Disconnected,0,,G
11/19/2020,12:50:07,RS232 Connected,0,,G
11/19/2020,12:50:11,RS232 Disconnected,0,,G
11/19/2020,12:55:07,RS232 Connected,0,,G
11/19/2020,12:55:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,12:55:12,RS232 Disconnected,0,,G
11/19/2020,13:00:08,RS232 Connected,0,,G
11/19/2020,13:00:17,RS232 Disconnected,0,,G
11/19/2020,13:05:07,RS232 Connected,0,,G
11/19/2020,13:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,13:05:11,RS232 Disconnected,0,,G
11/19/2020,13:10:07,RS232 Connected,0,,G
11/19/2020,13:10:12,RS232 Disconnected,0,,G
11/19/2020,13:15:07,RS232 Connected,0,,G
11/19/2020,13:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,13:15:11,RS232 Disconnected,0,,G
11/19/2020,13:20:07,RS232 Connected,0,,G
11/19/2020,13:20:11,RS232 Disconnected,0,,G
11/19/2020,13:25:07,RS232 Connected,0,,G
11/19/2020,13:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,13:25:12,RS232 Disconnected,0,,G
11/19/2020,13:30:07,RS232 Connected,0,,G
11/19/2020,13:30:11,RS232 Disconnected,0,,G
11/19/2020,13:35:07,RS232 Connected,0,,G
11/19/2020,13:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,13:35:11,RS232 Disconnected,0,,G
11/19/2020,13:40:07,RS232 Connected,0,,G
11/19/2020,13:40:12,RS232 Disconnected,0,,G
11/19/2020,13:45:07,RS232 Connected,0,,G
11/19/2020,13:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,13:45:11,RS232 Disconnected,0,,G
11/19/2020,13:50:07,RS232 Connected,0,,G
11/19/2020,13:50:11,RS232 Disconnected,0,,G
11/19/2020,13:55:07,RS232 Connected,0,,G
11/19/2020,13:55:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,13:55:12,RS232 Disconnected,0,,G
11/19/2020,13:55:13,SDI XDT,0,,G
11/19/2020,14:00:08,RS232 Connected,0,,G
11/19/2020,14:00:16,RS232 Disconnected,0,,G
11/19/2020,14:05:07,RS232 Connected,0,,G
11/19/2020,14:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,14:05:11,RS232 Disconnected,0,,G
11/19/2020,14:10:07,RS232 Connected,0,,G
11/19/2020,14:10:12,RS232 Disconnected,0,,G
11/19/2020,14:15:07,RS232 Connected,0,,G
11/19/2020,14:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,14:15:11,RS232 Disconnected,0,,G
11/19/2020,14:20:07,RS232 Connected,0,,G
11/19/2020,14:20:11,RS232 Disconnected,0,,G
11/19/2020,14:25:07,RS232 Connected,0,,G
11/19/2020,14:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,14:25:12,RS232 Disconnected,0,,G
11/19/2020,14:30:07,RS232 Connected,0,,G
11/19/2020,14:30:11,RS232 Disconnected,0,,G
11/19/2020,14:35:07,RS232 Connected,0,,G
11/19/2020,14:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,14:35:11,RS232 Disconnected,0,,G
11/19/2020,14:40:07,RS232 Connected,0,,G
11/19/2020,14:40:12,RS232 Disconnected,0,,G
11/19/2020,14:45:07,RS232 Connected,0,,G
11/19/2020,14:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,14:45:11,RS232 Disconnected,0,,G
11/19/2020,14:50:07,RS232 Connected,0,,G
11/19/2020,14:50:11,RS232 Disconnected,0,,G
11/19/2020,14:55:07,RS232 Connected,0,,G
11/19/2020,14:55:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,14:55:12,RS232 Disconnected,0,,G
11/19/2020,15:00:08,RS232 Connected,0,,G
11/19/2020,15:00:17,RS232 Disconnected,0,,G
11/19/2020,15:05:07,RS232 Connected,0,,G
11/19/2020,15:05:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,15:05:11,RS232 Disconnected,0,,G
11/19/2020,15:10:07,RS232 Connected,0,,G
11/19/2020,15:10:12,RS232 Disconnected,0,,G
11/19/2020,15:15:07,RS232 Connected,0,,G
11/19/2020,15:15:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,15:15:11,RS232 Disconnected,0,,G
11/19/2020,15:20:07,RS232 Connected,0,,G
11/19/2020,15:20:11,RS232 Disconnected,0,,G
11/19/2020,15:25:07,RS232 Connected,0,,G
11/19/2020,15:25:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,15:25:12,RS232 Disconnected,0,,G
11/19/2020,15:30:07,RS232 Connected,0,,G
11/19/2020,15:30:11,RS232 Disconnected,0,,G
11/19/2020,15:35:07,RS232 Connected,0,,G
11/19/2020,15:35:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,15:35:11,RS232 Disconnected,0,,G
11/19/2020,15:40:07,RS232 Connected,0,,G
11/19/2020,15:40:12,RS232 Disconnected,0,,G
11/19/2020,15:45:07,RS232 Connected,0,,G
11/19/2020,15:45:07,System Error: Modbus Sensor Failure,5593,,G
11/19/2020,15:45:11,RS232 Disconnected,0,,G
