Station Name,model and version,XL2 S/N
ViaRancho_HDG102,Sutron XLink 500 Version 8.35 Build 17:45:51 09/23/2020 revision 3369,1911377
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
PT Flow cfs,Meta,1.000000,0.000000,Off
Level_950,Modbus,1.000000,0.000000,Off
Vel_950,Modbus,1.000000,0.000000,Off
Flow_950,Modbus,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
Battery_950,Modbus,1.000000,0.000000,Off
11/05/2020,16:37:00,PT Flow cfs,-99999.000,cfs,B
11/05/2020,16:35:00,Curr_pacing,-99999.00,,B
11/05/2020,16:35:00,FlowVolume,-99999.00,,B
11/05/2020,16:35:00,Aliquot_Num,-99999,ali,B
11/05/2020,16:00:00,Battery_950,13.02,vol,G
11/05/2020,16:30:00,Flow_950,0.00,cfs,G
11/05/2020,16:37:00,Level_950,1.03,in,G
11/05/2020,16:35:00,Vel_950,-99999.00,fps,B
11/05/2020,16:38:00,PT Flow cfs,-99999.000,cfs,B
11/05/2020,16:38:00,Level_950,1.03,in,G
11/05/2020,16:39:00,PT Flow cfs,-99999.000,cfs,B
11/05/2020,16:39:00,Level_950,1.07,in,G
11/05/2020,16:40:00,PT Level,1.97,in,G
11/05/2020,16:40:00,PT Flow cfs,-99999.000,cfs,B
11/05/2020,16:40:00,Curr_pacing,-99999.00,,B
11/05/2020,16:40:00,Aliquot_Num,-99999,ali,B
11/05/2020,16:40:00,FlowVolume,-99999.00,,B
11/05/2020,16:40:00,Vel_950,-99999.00,fps,B
11/05/2020,16:40:00,Level_950,-99999.00,in,B
11/05/2020,16:41:00,PT Flow cfs,-99999.000,cfs,B
11/05/2020,16:41:00,Level_950,1.07,in,G
11/05/2020,16:42:00,PT Flow cfs,-99999.000,cfs,B
11/05/2020,16:42:00,Level_950,1.07,in,G
11/05/2020,16:43:00,PT Flow cfs,0.475,cfs,G
11/05/2020,16:43:00,PT Level,1.95,in,G
11/05/2020,16:43:00,Level_950,-99999.00,in,B
11/05/2020,16:43:00,Flow_950,1.07,cfs,G
11/05/2020,16:43:00,Vel_950,0.00,fps,G
11/05/2020,16:43:00,FlowVolume,0.00,,G
11/05/2020,16:45:00,PT Level,1.94,in,G
11/05/2020,16:45:00,Curr_pacing,0.00,,G
11/05/2020,16:45:00,Aliquot_Num,0,ali,G
11/05/2020,16:45:00,PT Flow cfs,0.460,cfs,G
11/05/2020,16:45:00,FlowVolume,0.00,,G
11/05/2020,16:45:00,Level_950,1.03,in,G
11/05/2020,16:45:00,Vel_950,0.00,fps,G
11/05/2020,16:45:00,Flow_950,0.00,cfs,G
11/05/2020,15:48:00,PT Flow cfs,0.460,cfs,G
11/05/2020,15:48:00,Level_950,-99999.00,in,B
11/05/2020,15:49:00,PT Flow cfs,0.460,cfs,G
11/05/2020,15:49:00,Level_950,-99999.00,in,B
11/05/2020,15:50:00,Curr_pacing,0.00,,G
11/05/2020,15:50:00,Aliquot_Num,0,ali,G
11/05/2020,15:50:00,PT Flow cfs,0.460,cfs,G
11/05/2020,15:50:00,PT Level,1.94,in,G
11/05/2020,15:50:00,FlowVolume,0.00,,G
11/05/2020,15:50:00,Level_950,-99999.00,in,B
11/05/2020,15:50:00,Vel_950,0.12,fps,G
11/05/2020,15:50:00,Flow_950,0.00,cfs,G
11/05/2020,15:55:00,PT Level,1.90,in,G
11/05/2020,15:55:00,Aliquot_Num,0,ali,G
11/05/2020,15:55:00,Curr_pacing,0.00,,G
11/05/2020,15:55:00,PT Flow cfs,0.440,cfs,G
11/05/2020,15:55:00,FlowVolume,0.00,,G
11/05/2020,15:55:00,Level_950,-99999.00,in,B
11/05/2020,15:55:00,Flow_950,-99999.00,cfs,B
11/05/2020,15:55:00,Vel_950,-99999.00,fps,B
11/05/2020,16:00:00,PT Level,1.91,in,G
11/05/2020,16:00:00,Aliquot_Num,0,ali,G
11/05/2020,16:00:00,Curr_pacing,0.00,,G
11/05/2020,16:00:00,PT Flow cfs,0.445,cfs,G
11/05/2020,16:00:00,FlowVolume,0.00,,G
11/05/2020,16:00:00,Battery_950,12.93,V,G
11/05/2020,16:00:00,Level_950,1.03,in,G
11/05/2020,16:00:00,Vel_950,0.00,fps,G
11/05/2020,16:00:00,Flow_950,0.00,cfs,G
11/05/2020,16:05:00,PT Level,1.91,in,G
11/05/2020,16:05:00,Curr_pacing,0.00,,G
11/05/2020,16:05:00,Aliquot_Num,0,ali,G
11/05/2020,16:05:00,PT Flow cfs,0.445,cfs,G
11/05/2020,16:05:00,FlowVolume,0.00,,G
11/05/2020,16:05:00,Vel_950,-99999.00,fps,B
11/05/2020,16:05:00,Flow_950,0.00,cfs,G
11/05/2020,16:05:00,Level_950,1.03,in,G
11/05/2020,16:10:00,PT Level,1.90,in,G
11/05/2020,16:10:00,PT Flow cfs,0.440,cfs,G
11/05/2020,16:10:00,Curr_pacing,0.00,,G
11/05/2020,16:10:00,Aliquot_Num,0,ali,G
