Date,Time,PT_Level
MM/dd/yyyy,hh:mm:ss,in
10/06/2020,00:00:00,2.35
10/06/2020,00:05:00,2.26
10/06/2020,00:10:00,2.17
10/06/2020,00:15:00,2.14
10/06/2020,00:20:00,2.10
10/06/2020,00:25:00,2.13
10/06/2020,00:30:00,2.11
10/06/2020,00:35:00,2.09
10/06/2020,00:40:00,2.13
10/06/2020,00:45:00,2.17
10/06/2020,00:50:00,2.39
10/06/2020,00:55:00,2.20
10/06/2020,01:00:00,2.12
10/06/2020,01:05:00,2.12
10/06/2020,01:10:00,2.08
10/06/2020,01:15:00,2.04
10/06/2020,01:20:00,2.06
10/06/2020,01:25:00,2.03
10/06/2020,01:30:00,2.04
10/06/2020,01:35:00,2.04
10/06/2020,01:40:00,2.04
10/06/2020,01:45:00,2.08
10/06/2020,01:50:00,2.06
10/06/2020,01:55:00,2.20
10/06/2020,02:00:00,2.41
10/06/2020,02:05:00,2.40
10/06/2020,02:10:00,2.45
10/06/2020,02:15:00,2.44
10/06/2020,02:20:00,2.46
10/06/2020,02:25:00,2.35
10/06/2020,02:30:00,2.28
10/06/2020,02:35:00,2.39
10/06/2020,02:40:00,2.47
10/06/2020,02:45:00,2.46
10/06/2020,02:50:00,2.43
10/06/2020,02:55:00,2.34
10/06/2020,03:00:00,2.29
10/06/2020,03:05:00,2.24
10/06/2020,03:10:00,2.18
10/06/2020,03:15:00,2.17
10/06/2020,03:20:00,2.13
10/06/2020,03:25:00,2.12
10/06/2020,03:30:00,2.27
10/06/2020,03:35:00,2.22
10/06/2020,03:40:00,2.22
10/06/2020,03:45:00,2.21
10/06/2020,03:50:00,2.27
10/06/2020,03:55:00,2.21
10/06/2020,04:00:00,2.16
10/06/2020,04:05:00,2.13
10/06/2020,04:10:00,2.21
10/06/2020,04:15:00,2.15
10/06/2020,04:20:00,2.13
10/06/2020,04:25:00,2.11
10/06/2020,04:30:00,2.15
10/06/2020,04:35:00,2.18
10/06/2020,04:40:00,2.38
10/06/2020,04:45:00,2.55
10/06/2020,04:50:00,2.38
10/06/2020,04:55:00,2.28
10/06/2020,05:00:00,2.21
10/06/2020,05:05:00,2.17
10/06/2020,05:10:00,2.24
10/06/2020,05:15:00,2.23
10/06/2020,05:20:00,2.19
10/06/2020,05:25:00,2.16
10/06/2020,05:30:00,2.15
10/06/2020,05:35:00,2.15
10/06/2020,05:40:00,2.13
10/06/2020,05:45:00,2.13
10/06/2020,05:50:00,2.18
10/06/2020,05:55:00,2.15
10/06/2020,06:00:00,2.18
10/06/2020,06:05:00,2.19
10/06/2020,06:10:00,2.17
10/06/2020,06:15:00,2.21
10/06/2020,06:20:00,2.22
10/06/2020,06:25:00,2.60
10/06/2020,06:30:00,2.48
10/06/2020,06:35:00,2.35
10/06/2020,06:40:00,2.29
10/06/2020,06:45:00,2.26
10/06/2020,06:50:00,2.26
10/06/2020,06:55:00,2.21
10/06/2020,07:00:00,2.20
10/06/2020,07:05:00,2.27
10/06/2020,07:10:00,2.23
10/06/2020,07:15:00,2.22
10/06/2020,07:20:00,2.22
10/06/2020,07:25:00,2.20
10/06/2020,07:30:00,2.20
10/06/2020,07:35:00,2.23
10/06/2020,07:40:00,2.23
10/06/2020,07:45:00,2.23
10/06/2020,07:50:00,2.19
10/06/2020,07:55:00,2.18
10/06/2020,08:00:00,2.20
10/06/2020,08:05:00,2.17
10/06/2020,08:10:00,2.17
10/06/2020,08:15:00,2.15
10/06/2020,08:20:00,2.18
10/06/2020,08:25:00,2.19
10/06/2020,08:30:00,2.18
10/06/2020,08:35:00,2.15
10/06/2020,08:40:00,2.15
10/06/2020,08:45:00,2.15
