Date,Time,PT Level,PT Flow cfs,Level_950,Vel_950,Flow_950,Battery_950
MM/dd/yyyy,hh:mm:ss,in,cfs,in,fps,cfs,V
11/06/2020,10:20:00,1.92,0.450,-99999.00,0.00,1.07,
11/06/2020,10:25:00,1.94,0.460,-99999.00,0.13,0.00,
11/06/2020,10:30:00,1.91,0.445,-99999.00,0.00,1.03,
11/06/2020,10:35:00,1.92,0.450,-99999.00,0.00,0.99,
11/06/2020,10:40:00,1.94,0.460,1.03,0.00,0.00,
11/06/2020,10:45:00,1.94,0.460,1.03,0.00,0.00,
11/06/2020,10:50:00,1.92,0.450,0.99,0.00,0.00,
11/06/2020,10:55:00,1.92,0.450,0.99,0.00,0.00,
11/06/2020,11:00:00,1.92,0.450,1.07,0.00,0.00,13.49
11/06/2020,11:05:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,11:10:00,1.92,0.450,0.99,0.00,0.00,
11/06/2020,11:15:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,11:20:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,11:25:00,1.94,0.460,0.90,0.00,0.00,
11/06/2020,11:30:00,1.93,0.455,1.07,0.00,0.00,
11/06/2020,11:35:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,11:40:00,1.93,0.455,1.07,0.00,0.00,
11/06/2020,11:45:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,11:50:00,1.99,0.485,1.11,0.00,0.00,
11/06/2020,11:55:00,1.95,0.465,0.99,0.00,0.00,
11/06/2020,12:00:00,1.93,0.455,1.03,0.00,0.00,13.52
11/06/2020,12:05:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,12:10:00,1.91,0.445,1.07,0.00,0.00,
11/06/2020,12:15:00,1.92,0.450,1.03,0.00,0.00,
11/06/2020,12:20:00,1.93,0.455,1.03,0.00,0.00,
11/06/2020,12:25:00,1.94,0.460,1.03,0.00,0.00,
11/06/2020,12:30:00,1.94,0.460,1.03,0.00,0.00,
11/06/2020,12:35:00,1.92,0.450,0.94,0.00,0.00,
11/06/2020,12:40:00,1.92,0.450,1.07,0.00,0.00,
11/06/2020,12:45:00,1.94,0.460,1.03,0.00,0.00,
11/06/2020,12:50:00,1.97,0.475,1.07,0.00,0.00,
11/06/2020,12:55:00,1.96,0.470,1.07,0.00,0.00,
11/06/2020,13:00:00,1.94,0.460,1.07,0.00,0.00,13.49
11/06/2020,13:05:00,1.94,0.460,0.00,-99999.00,0.00,
11/06/2020,13:10:00,1.94,0.460,1.03,0.00,0.00,
11/06/2020,13:15:00,1.94,0.460,1.07,0.00,0.00,
11/06/2020,13:20:00,1.94,0.460,1.07,-99999.00,0.00,
11/06/2020,13:25:00,1.94,0.460,0.99,0.00,0.00,
11/06/2020,13:30:00,1.94,0.460,1.07,0.00,0.00,
11/06/2020,13:35:00,1.94,0.460,1.07,-99999.00,0.00,
11/06/2020,13:40:00,1.91,0.445,1.07,0.00,0.00,
11/06/2020,13:45:00,1.91,0.445,1.07,0.00,0.00,
11/06/2020,13:50:00,1.92,0.450,1.07,-99999.00,0.00,
11/06/2020,13:55:00,1.93,0.455,1.07,0.00,0.00,
11/06/2020,14:00:00,1.90,0.440,1.03,0.00,0.00,13.38
11/06/2020,14:05:00,1.87,0.425,0.94,0.00,0.00,
11/06/2020,14:10:00,1.92,0.450,1.03,0.00,0.00,
11/06/2020,14:15:00,1.89,0.435,0.99,0.00,0.00,
11/06/2020,14:20:00,1.90,0.440,1.03,0.00,0.00,
11/06/2020,14:25:00,1.94,0.460,0.99,0.00,0.00,
11/06/2020,14:30:00,1.94,0.460,1.07,0.00,0.00,
11/06/2020,14:35:00,1.91,0.445,1.03,0.00,0.00,
11/06/2020,14:40:00,1.92,0.450,1.03,0.00,0.00,
11/06/2020,14:45:00,1.98,0.480,1.03,0.00,0.00,
