Date Time,SamplePacin,BottleNum,TimeToSampl,AliquotNum,Level_950,Vel_950,Flow_950,TotFlow_950,Battery_950,Level_PT,Flow _PT
MM/dd/yyyy hh:mm:ss,min,,min,ali,in,fps,cfs,cf,V,in,cfs
12/23/2020 16:50:00,,,,,,,0.00,,,,
12/23/2020 16:50:20,,,,,1.16,,,,,,
12/23/2020 16:50:40,,,,,,0.00,,,,,
12/23/2020 16:53:40,,,-99999,,,,,,,,
12/23/2020 16:54:00,12,-99999,-99999,-99999,-99999.00,-99999.00,-99999,215926.00,,2.02,-99999.000
12/23/2020 16:55:00,10,1,-99999,-99999,1.20,0.00,0.000,215926.00,,2.01,-99999.000
12/23/2020 16:56:00,10,1,-99999,-99999,1.16,0.00,0.000,215926.00,,2.04,-99999.000
12/23/2020 16:57:00,10,1,-99999,-99999,1.20,0.00,0.000,215926.00,,1.99,-99999.000
12/23/2020 16:58:00,10,1,-99999,-99999,1.20,0.00,0.000,215926.00,,2.02,-99999.000
12/23/2020 16:59:00,10,1,-99999,-99999,1.20,0.00,0.000,215926.00,12.81,2.02,0.000
12/23/2020 17:00:00,10,1,10,0,1.20,0.00,0.000,215926.00,12.83,2.02,0.000
12/23/2020 17:01:00,10,1,10,0,1.11,0.00,0.000,215926.00,,2.03,0.000
12/23/2020 17:02:00,10,1,10,0,1.20,0.00,0.000,215926.00,,2.00,0.000
12/23/2020 17:03:00,10,1,10,0,1.20,0.00,0.000,215926.00,,1.99,0.000
12/23/2020 17:04:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:05:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:06:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.03,0.000
12/23/2020 17:07:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.00,0.000
12/23/2020 17:08:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:09:00,20,1,10,0,0.26,0.00,0.000,215926.00,,2.01,0.000
12/23/2020 17:10:00,20,1,10,0,0.26,0.00,0.000,215926.00,,2.00,0.000
12/23/2020 17:11:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:12:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:13:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.03,0.000
12/23/2020 17:14:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.00,0.000
12/23/2020 17:15:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.01,0.000
12/23/2020 17:16:00,20,1,10,0,1.07,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:17:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.00,0.000
12/23/2020 17:18:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.01,0.000
12/23/2020 17:19:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.01,0.000
12/23/2020 17:20:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:21:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:22:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.01,0.000
12/23/2020 17:23:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.00,0.000
12/23/2020 17:24:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.02,0.000
12/23/2020 17:25:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.06,0.000
12/23/2020 17:26:00,20,1,10,0,1.20,0.00,0.000,215926.00,,2.06,0.000
12/23/2020 17:27:00,20,1,10,0,1.11,0.00,0.000,215926.00,,2.06,0.000
12/23/2020 17:28:00,20,1,10,0,1.24,0.00,0.000,215926.00,,2.06,0.000
12/23/2020 17:29:00,20,1,10,0,1.24,0.00,0.000,215926.00,,2.05,0.000
12/23/2020 17:30:00,20,1,10,0,1.24,0.00,0.000,215926.00,,2.05,0.000
12/23/2020 17:31:00,20,1,10,0,1.16,0.00,0.000,215926.00,,2.04,0.000
12/23/2020 17:32:00,20,1,10,0,1.24,0.00,0.000,215926.00,,2.03,0.000
