Station Name,model and version,XL2 S/N
LakeHodges_FELICITA,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911368
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
02/07/2020,18:05:02,Reset Powerup,1,,G
02/07/2020,18:05:05,Battery,12.77,V,G
02/07/2020,18:05:05,Internal Temp,13.72,C,G
02/07/2020,18:07:30,USB Cable,1,,G
02/07/2020,18:07:50,Upgrade Start,8.27,,G
02/07/2020,18:07:50,Rev Start,3087,,G
02/07/2020,18:08:05,Reset Soft,1,,G
02/07/2020,18:08:05,Upgrade Complete,8.28,,G
02/07/2020,18:08:05,Rev Complet,3127,,G
02/07/2020,18:08:08,Battery,12.71,V,G
02/07/2020,18:08:08,Internal Temp,14.41,C,G
02/07/2020,18:08:14,USB Cable,1,,G
02/07/2020,18:08:28,Setup Change,0,,G
02/07/2020,18:08:40,Time Before Change,-28781787,ms,G
02/07/2020,10:08:59,Time After Change,-28781787,ms,G
02/07/2020,10:08:59,User Set Time,0,,G
02/07/2020,10:08:59,USB Cable,0,,G
02/07/2020,10:09:11,USB Cable,1,,G
02/07/2020,10:11:24,System Error: Cell SIM Error,5582,,G
02/07/2020,10:11:51,Setup Change,0,,G
02/07/2020,10:12:00,Recording,1,,G
02/07/2020,10:12:00,PT Level,0.14,in,G
02/07/2020,10:12:00,Flow_cfs,0.71,,G
02/07/2020,10:12:02,SDI XDT,0,,G
02/07/2020,10:12:00,FlowVolume,42.60,,G
02/07/2020,10:13:00,PT Level,5.57,in,G
02/07/2020,10:13:00,Alarm In,1,,G
02/07/2020,10:13:00,Flow_cfs,56.25,,G
02/07/2020,10:13:00,FlowVolume,3375.00,,G
02/07/2020,10:13:58,Setup Change,0,,G
02/07/2020,10:14:00,PT Level,5.60,in,G
02/07/2020,10:14:00,Alarm Out,1,,G
02/07/2020,10:14:00,Flow_cfs,57.00,,G
02/07/2020,10:14:00,FlowVolume,3375.00,,G
02/07/2020,10:15:00,PT Level,5.59,in,G
02/07/2020,10:15:00,Flow_cfs,56.75,,G
02/07/2020,10:15:00,FlowVolume,3375.00,,G
02/07/2020,10:15:04,Log Download,0,,G
02/07/2020,10:15:20,Log Download,0,,G
02/07/2020,10:16:59,USB Cable,0,,G
02/07/2020,10:18:51,Wi-Fi Connected,0,,G
02/07/2020,10:19:42,Log Download,0,,G
02/07/2020,10:20:00,PT Level,5.63,in,G
02/07/2020,10:20:00,Flow_cfs,57.75,,G
02/07/2020,10:20:00,FlowVolume,3375.00,,G
02/07/2020,10:20:43,Setup Change,0,,G
02/07/2020,10:21:41,Log Download,0,,G
02/07/2020,10:25:00,PT Level,5.67,in,G
02/07/2020,10:25:00,Flow_cfs,58.75,,G
02/07/2020,10:25:01,Setup Change,0,,G
02/07/2020,10:25:00,FlowVolume,3375.00,,G
02/07/2020,10:25:24,Log Download,0,,G
02/07/2020,10:27:41,Wi-Fi Disconnected,0,,G
02/07/2020,10:30:00,PT Level,5.68,in,G
02/07/2020,10:30:00,Flow_cfs,59.00,,G
02/07/2020,10:30:00,FlowVolume,3375.00,,G
02/07/2020,10:35:00,PT Level,5.69,in,G
02/07/2020,10:35:00,Flow_cfs,59.25,,G
02/07/2020,10:35:00,FlowVolume,3375.00,,G
02/07/2020,10:40:00,PT Level,5.70,in,G
02/07/2020,10:40:00,Flow_cfs,59.50,,G
02/07/2020,10:40:00,FlowVolume,3375.00,,G
02/07/2020,10:45:00,PT Level,5.70,in,G
02/07/2020,10:45:00,Flow_cfs,59.50,,G
02/07/2020,10:45:00,FlowVolume,3375.00,,G
02/07/2020,10:50:00,PT Level,5.71,in,G
02/07/2020,10:50:00,Flow_cfs,59.75,,G
02/07/2020,10:50:00,FlowVolume,3375.00,,G
02/07/2020,10:55:00,PT Level,5.71,in,G
02/07/2020,10:55:00,Flow_cfs,59.75,,G
02/07/2020,10:55:00,FlowVolume,3375.00,,G
02/07/2020,11:00:00,PT Level,5.72,in,G
02/07/2020,11:00:00,Flow_cfs,60.00,,G
02/07/2020,11:00:00,FlowVolume,3375.00,,G
02/07/2020,11:05:00,PT Level,5.73,in,G
02/07/2020,11:05:00,Flow_cfs,60.25,,G
02/07/2020,11:05:00,FlowVolume,3375.00,,G
02/07/2020,11:10:00,PT Level,5.74,in,G
02/07/2020,11:10:00,Flow_cfs,60.50,,G
02/07/2020,11:10:00,FlowVolume,3375.00,,G
02/07/2020,11:15:00,PT Level,5.78,in,G
02/07/2020,11:15:00,Flow_cfs,61.50,,G
02/07/2020,11:15:00,FlowVolume,3375.00,,G
02/07/2020,11:20:00,PT Level,5.77,in,G
02/07/2020,11:20:00,Flow_cfs,61.25,,G
02/07/2020,11:20:00,FlowVolume,3375.00,,G
02/07/2020,11:25:00,PT Level,5.77,in,G
02/07/2020,11:25:00,Flow_cfs,61.25,,G
02/07/2020,11:25:00,FlowVolume,3375.00,,G
02/07/2020,11:30:00,PT Level,5.77,in,G
02/07/2020,11:30:00,Flow_cfs,61.25,,G
02/07/2020,11:30:00,FlowVolume,3375.00,,G
02/07/2020,11:35:00,PT Level,5.77,in,G
02/07/2020,11:35:00,Flow_cfs,61.25,,G
02/07/2020,11:35:00,FlowVolume,3375.00,,G
02/07/2020,11:40:00,PT Level,5.76,in,G
02/07/2020,11:40:00,Flow_cfs,61.00,,G
02/07/2020,11:40:00,FlowVolume,3375.00,,G
02/07/2020,11:45:00,PT Level,5.75,in,G
02/07/2020,11:45:00,Flow_cfs,60.75,,G
