Station Name,model and version,XL2 S/N
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_Pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
02/06/2020,20:39:14,Reset Powerup,1,,G
02/06/2020,20:39:17,Battery,12.63,V,G
02/06/2020,20:39:17,Internal Temp,27.18,C,G
02/06/2020,20:42:05,System Error: Cell SIM Error,5582,,G
02/06/2020,20:43:41,USB Cable,1,,G
02/06/2020,20:44:46,Upgrade Start,8.27,,G
02/06/2020,20:44:46,Rev Start,3087,,G
02/06/2020,20:45:02,Reset Soft,1,,G
02/06/2020,20:45:02,Upgrade Complete,8.28,,G
02/06/2020,20:45:02,Rev Complet,3127,,G
02/06/2020,20:45:05,Battery,12.58,V,G
02/06/2020,20:45:05,Internal Temp,29.01,C,G
02/06/2020,20:45:10,USB Cable,1,,G
02/06/2020,20:45:26,Setup Change,0,,G
02/06/2020,20:46:53,Setup Change,0,,G
02/06/2020,20:47:02,Recording,1,,G
02/06/2020,20:47:03,SDI XDT,0,,G
02/06/2020,20:48:12,Setup Change,0,,G
02/06/2020,20:48:00,FlowVolume,-99999.00,,B
02/06/2020,20:49:23,Log Download,0,,G
02/06/2020,20:50:00,PT Level,-0.14,in,G
02/06/2020,20:48:00,Flow_cfs,0.00,,G
02/06/2020,20:50:00,Flow_cfs,0.00,,G
02/06/2020,20:49:00,FlowVolume,0.00,,G
02/06/2020,20:50:00,FlowVolume,0.00,,G
02/06/2020,20:50:25,Setup Change,0,,G
02/06/2020,20:51:00,Flow_cfs,0.00,,G
02/06/2020,20:51:00,FlowVolume,0.00,,G
02/06/2020,20:52:00,Flow_cfs,0.00,,G
02/06/2020,20:52:00,FlowVolume,0.00,,G
02/06/2020,20:53:00,Flow_cfs,0.00,,G
02/06/2020,20:53:00,FlowVolume,0.00,,G
02/06/2020,20:53:17,Setup Change,0,,G
02/06/2020,20:53:54,USB Cable,0,,G
02/06/2020,20:54:00,Flow_cfs,0.00,,G
02/06/2020,20:54:00,FlowVolume,0.00,,G
02/06/2020,20:54:49,Wi-Fi Connected,0,,G
02/06/2020,20:55:00,PT Level,-0.18,in,G
02/06/2020,20:55:00,Flow_cfs,0.00,,G
02/06/2020,20:55:00,FlowVolume,0.00,,G
02/06/2020,20:56:00,Flow_cfs,0.00,,G
02/06/2020,20:56:00,FlowVolume,0.00,,G
02/06/2020,20:56:27,Setup Change,0,,G
02/06/2020,20:56:00,PT Level,-0.14,in,G
02/06/2020,20:57:00,PT Level,-0.13,in,G
02/06/2020,20:57:00,Flow_cfs,0.00,,G
