Station Name,model and version,XL2 S/N
LakeHodges_SYCAMORE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911378
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
02/07/2020,23:40:05,Reset Powerup,1,,G
02/07/2020,23:40:08,Battery,12.77,V,G
02/07/2020,23:40:08,Internal Temp,26.68,C,G
02/07/2020,23:42:05,USB Cable,1,,G
02/07/2020,23:42:26,Upgrade Start,8.27,,G
02/07/2020,23:42:26,Rev Start,3087,,G
02/07/2020,23:42:43,Reset Soft,1,,G
02/07/2020,23:42:43,Upgrade Complete,8.28,,G
02/07/2020,23:42:43,Rev Complet,3127,,G
02/07/2020,23:42:46,Battery,12.74,V,G
02/07/2020,23:42:46,Internal Temp,27.94,C,G
02/07/2020,23:42:51,USB Cable,1,,G
02/07/2020,23:42:55,Setup Change,0,,G
02/07/2020,23:43:09,Time Before Change,-28784592,ms,G
02/07/2020,15:43:25,Time After Change,-28784592,ms,G
02/07/2020,15:43:25,User Set Time,0,,G
02/07/2020,15:43:25,USB Cable,0,,G
02/07/2020,15:43:34,USB Cable,1,,G
02/07/2020,15:45:59,System Error: Cell SIM Error,5582,,G
02/07/2020,15:46:05,Setup Change,0,,G
02/07/2020,15:46:14,Recording,1,,G
02/07/2020,15:46:15,SDI XDT,0,,G
02/07/2020,15:46:42,Setup Change,0,,G
02/07/2020,15:47:34,Log Download,0,,G
02/07/2020,15:48:34,Log Download,0,,G
02/07/2020,15:48:40,Log Download,0,,G
02/07/2020,15:48:54,USB Cable,0,,G
02/07/2020,15:50:00,PT Level,-0.09,in,G
02/07/2020,15:50:00,Flow_cfs,0.00,,G
02/07/2020,15:50:00,FlowVolume,0.00,,G
02/07/2020,15:55:00,PT Level,-0.08,in,G
02/07/2020,15:55:00,Flow_cfs,0.00,,G
02/07/2020,15:55:00,FlowVolume,0.00,,G
02/07/2020,16:00:00,PT Level,-0.09,in,G
02/07/2020,16:00:00,Flow_cfs,0.00,,G
02/07/2020,16:00:00,FlowVolume,0.00,,G
02/07/2020,16:05:00,PT Level,-0.07,in,G
02/07/2020,16:05:00,Flow_cfs,0.00,,G
02/07/2020,16:05:00,FlowVolume,0.00,,G
