Station Name,model and version,XL2 S/N
LakeHodges_CLOVERDALE,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911374
Label,Meas Type,Slope,Offset,Equation
PT Level,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT Level,03/11/2020,00:00:00,12.40,G
Aliquot_Num,03/11/2020,00:00:00,11,G
Flow_cfs,03/11/2020,00:00:00,24.10,G
FlowVolume,03/11/2020,00:00:00,8207.41,G
PT Level,03/11/2020,00:01:00,12.40,G
Flow_cfs,03/11/2020,00:01:00,24.10,G
FlowVolume,03/11/2020,00:01:00,9653.41,G
PT Level,03/11/2020,00:02:00,12.42,G
Flow_cfs,03/11/2020,00:02:00,24.17,G
FlowVolume,03/11/2020,00:02:00,11103.41,G
PT Level,03/11/2020,00:03:00,12.41,G
Flow_cfs,03/11/2020,00:03:00,24.13,G
FlowVolume,03/11/2020,00:03:00,12551.41,G
PT Level,03/11/2020,00:04:00,12.41,G
Flow_cfs,03/11/2020,00:04:00,24.13,G
FlowVolume,03/11/2020,00:04:00,13999.41,G
PT Level,03/11/2020,00:05:00,12.40,G
Aliquot_Num,03/11/2020,00:05:00,11,G
Flow_cfs,03/11/2020,00:05:00,24.10,G
FlowVolume,03/11/2020,00:05:00,15445.41,G
PT Level,03/11/2020,00:06:00,12.40,G
Flow_cfs,03/11/2020,00:06:00,24.10,G
FlowVolume,03/11/2020,00:06:00,16891.41,G
PT Level,03/11/2020,00:07:00,12.40,G
Flow_cfs,03/11/2020,00:07:00,24.10,G
FlowVolume,03/11/2020,00:07:00,18337.41,G
PT Level,03/11/2020,00:08:00,12.40,G
Flow_cfs,03/11/2020,00:08:00,24.10,G
FlowVolume,03/11/2020,00:08:00,19783.41,G
PT Level,03/11/2020,00:09:00,12.41,G
Flow_cfs,03/11/2020,00:09:00,24.13,G
FlowVolume,03/11/2020,00:09:00,21231.41,G
PT Level,03/11/2020,00:10:00,12.40,G
Aliquot_Num,03/11/2020,00:10:00,11,G
Flow_cfs,03/11/2020,00:10:00,24.10,G
FlowVolume,03/11/2020,00:10:00,22677.41,G
PT Level,03/11/2020,00:11:00,12.40,G
Flow_cfs,03/11/2020,00:11:00,24.10,G
FlowVolume,03/11/2020,00:11:00,24123.41,G
PT Level,03/11/2020,00:12:00,12.40,G
Flow_cfs,03/11/2020,00:12:00,24.10,G
FlowVolume,03/11/2020,00:12:00,25569.41,G
PT Level,03/11/2020,00:13:00,12.39,G
Flow_cfs,03/11/2020,00:13:00,24.07,G
FlowVolume,03/11/2020,00:13:00,27013.41,G
PT Level,03/11/2020,00:14:00,12.39,G
Flow_cfs,03/11/2020,00:14:00,24.07,G
FlowVolume,03/11/2020,00:14:00,28457.41,G
PT Level,03/11/2020,00:15:00,12.38,G
Aliquot_Num,03/11/2020,00:15:00,11,G
Flow_cfs,03/11/2020,00:15:00,24.03,G
FlowVolume,03/11/2020,00:15:00,29899.41,G
PT Level,03/11/2020,00:16:00,12.38,G
Flow_cfs,03/11/2020,00:16:00,24.03,G
FlowVolume,03/11/2020,00:16:00,31341.41,G
PT Level,03/11/2020,00:17:00,12.40,G
Flow_cfs,03/11/2020,00:17:00,24.10,G
FlowVolume,03/11/2020,00:17:00,32787.41,G
PT Level,03/11/2020,00:18:00,12.38,G
Flow_cfs,03/11/2020,00:18:00,24.03,G
FlowVolume,03/11/2020,00:18:00,34229.41,G
PT Level,03/11/2020,00:19:00,12.38,G
Flow_cfs,03/11/2020,00:19:00,24.03,G
FlowVolume,03/11/2020,00:19:00,35671.41,G
PT Level,03/11/2020,00:20:00,12.37,G
Aliquot_Num,03/11/2020,00:20:00,11,G
Flow_cfs,03/11/2020,00:20:00,24.00,G
FlowVolume,03/11/2020,00:20:00,37111.41,G
PT Level,03/11/2020,00:21:00,12.37,G
Flow_cfs,03/11/2020,00:21:00,24.00,G
FlowVolume,03/11/2020,00:21:00,38551.41,G
PT Level,03/11/2020,00:22:00,12.36,G
Flow_cfs,03/11/2020,00:22:00,23.96,G
FlowVolume,03/11/2020,00:22:00,39989.27,G
PT Level,03/11/2020,00:23:00,12.36,G
Flow_cfs,03/11/2020,00:23:00,23.96,G
FlowVolume,03/11/2020,00:23:00,41427.12,G
PT Level,03/11/2020,00:24:00,12.36,G
Flow_cfs,03/11/2020,00:24:00,23.96,G
FlowVolume,03/11/2020,00:24:00,42864.98,G
PT Level,03/11/2020,00:25:00,12.36,G
Aliquot_Num,03/11/2020,00:25:00,11,G
Flow_cfs,03/11/2020,00:25:00,23.96,G
FlowVolume,03/11/2020,00:25:00,44302.84,G
PT Level,03/11/2020,00:26:00,12.37,G
Flow_cfs,03/11/2020,00:26:00,24.00,G
FlowVolume,03/11/2020,00:26:00,45742.84,G
PT Level,03/11/2020,00:27:00,12.36,G
Flow_cfs,03/11/2020,00:27:00,23.96,G
FlowVolume,03/11/2020,00:27:00,47180.69,G
PT Level,03/11/2020,00:28:00,12.35,G
Flow_cfs,03/11/2020,00:28:00,23.93,G
Triggered S,03/11/2020,00:28:00,12,G
VolumeTrig,03/11/2020,00:28:00,48616.41,G
FlowVolume,03/11/2020,00:28:00,616.41,G
PT Level,03/11/2020,00:29:00,12.35,G
Flow_cfs,03/11/2020,00:29:00,23.93,G
FlowVolume,03/11/2020,00:29:00,2052.12,G
PT Level,03/11/2020,00:30:00,12.36,G
Aliquot_Num,03/11/2020,00:30:00,12,G
Flow_cfs,03/11/2020,00:30:00,23.96,G
FlowVolume,03/11/2020,00:30:00,3489.98,G
PT Level,03/11/2020,00:31:00,12.35,G
Flow_cfs,03/11/2020,00:31:00,23.93,G
FlowVolume,03/11/2020,00:31:00,4925.69,G
PT Level,03/11/2020,00:32:00,12.34,G
Flow_cfs,03/11/2020,00:32:00,23.89,G
FlowVolume,03/11/2020,00:32:00,6359.27,G
PT Level,03/11/2020,00:33:00,12.36,G
Flow_cfs,03/11/2020,00:33:00,23.96,G
FlowVolume,03/11/2020,00:33:00,7797.12,G
PT Level,03/11/2020,00:34:00,12.35,G
Flow_cfs,03/11/2020,00:34:00,23.93,G
FlowVolume,03/11/2020,00:34:00,9232.84,G
PT Level,03/11/2020,00:35:00,12.35,G
Aliquot_Num,03/11/2020,00:35:00,12,G
Flow_cfs,03/11/2020,00:35:00,23.93,G
FlowVolume,03/11/2020,00:35:00,10668.55,G
PT Level,03/11/2020,00:36:00,12.35,G
Flow_cfs,03/11/2020,00:36:00,23.93,G
FlowVolume,03/11/2020,00:36:00,12104.27,G
PT Level,03/11/2020,00:37:00,12.34,G
Flow_cfs,03/11/2020,00:37:00,23.89,G
FlowVolume,03/11/2020,00:37:00,13537.84,G
PT Level,03/11/2020,00:38:00,12.32,G
Flow_cfs,03/11/2020,00:38:00,23.82,G
FlowVolume,03/11/2020,00:38:00,14967.12,G
PT Level,03/11/2020,00:39:00,12.33,G
Flow_cfs,03/11/2020,00:39:00,23.86,G
FlowVolume,03/11/2020,00:39:00,16398.55,G
PT Level,03/11/2020,00:40:00,12.32,G
Aliquot_Num,03/11/2020,00:40:00,12,G
Flow_cfs,03/11/2020,00:40:00,23.82,G
FlowVolume,03/11/2020,00:40:00,17827.84,G
PT Level,03/11/2020,00:41:00,12.34,G
Flow_cfs,03/11/2020,00:41:00,23.89,G
FlowVolume,03/11/2020,00:41:00,19261.41,G
PT Level,03/11/2020,00:42:00,12.33,G
Flow_cfs,03/11/2020,00:42:00,23.86,G
FlowVolume,03/11/2020,00:42:00,20692.84,G
PT Level,03/11/2020,00:43:00,12.32,G
Flow_cfs,03/11/2020,00:43:00,23.82,G
FlowVolume,03/11/2020,00:43:00,22122.12,G
PT Level,03/11/2020,00:44:00,12.34,G
Flow_cfs,03/11/2020,00:44:00,23.89,G
FlowVolume,03/11/2020,00:44:00,23555.69,G
PT Level,03/11/2020,00:45:00,12.34,G
Aliquot_Num,03/11/2020,00:45:00,12,G
Flow_cfs,03/11/2020,00:45:00,23.89,G
FlowVolume,03/11/2020,00:45:00,24989.27,G
PT Level,03/11/2020,00:46:00,12.33,G
Flow_cfs,03/11/2020,00:46:00,23.86,G
FlowVolume,03/11/2020,00:46:00,26420.69,G
Log Download,03/11/2020,00:46:21,0,G
Client Conn,03/11/2020,00:46:56,29,G
PT Level,03/11/2020,00:47:00,12.32,G
Flow_cfs,03/11/2020,00:47:00,23.82,G
FlowVolume,03/11/2020,00:47:00,27849.98,G
PT Level,03/11/2020,00:48:00,12.32,G
Flow_cfs,03/11/2020,00:48:00,23.82,G
FlowVolume,03/11/2020,00:48:00,29279.27,G
PT Level,03/11/2020,00:49:00,12.33,G
Flow_cfs,03/11/2020,00:49:00,23.86,G
FlowVolume,03/11/2020,00:49:00,30710.69,G
PT Level,03/11/2020,00:50:00,12.32,G
Aliquot_Num,03/11/2020,00:50:00,12,G
Flow_cfs,03/11/2020,00:50:00,23.82,G
