Station Name,model and version,XL2 S/N
LakeHodges_GREENVALLEY,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911371
Label,Meas Type,Slope,Offset,Equation
PT North,SDI-12,1.000000,0.000000,Off
PT South,SDI-12,1.000000,0.000000,Off
Flow_cfs,Meta,1.000000,0.000000,Off
Curr_pacing,Meta,1.000000,0.000000,Off
FlowVolume,Meta,1.000000,0.000000,Off
Aliquot_Num,Meta,1.000000,0.000000,Off
PT North,03/11/2020,00:00:00,3.53,G
Flow_cfs,03/11/2020,00:00:00,3.71,G
Aliquot_Num,03/11/2020,00:00:00,27,G
PT South,03/11/2020,00:00:00,1.74,G
FlowVolume,03/11/2020,00:00:00,22679.88,G
PT North,03/11/2020,00:01:00,3.51,G
Flow_cfs,03/11/2020,00:01:00,3.67,G
PT South,03/11/2020,00:01:00,1.74,G
FlowVolume,03/11/2020,00:01:00,22900.24,G
PT North,03/11/2020,00:02:00,3.51,G
Flow_cfs,03/11/2020,00:02:00,3.67,G
PT South,03/11/2020,00:02:00,1.71,G
FlowVolume,03/11/2020,00:02:00,23120.60,G
PT North,03/11/2020,00:03:00,3.58,G
Flow_cfs,03/11/2020,00:03:00,3.80,G
PT South,03/11/2020,00:03:00,1.72,G
FlowVolume,03/11/2020,00:03:00,23348.49,G
PT North,03/11/2020,00:04:00,3.49,G
Flow_cfs,03/11/2020,00:04:00,3.64,G
PT South,03/11/2020,00:04:00,1.70,G
FlowVolume,03/11/2020,00:04:00,23566.70,G
PT North,03/11/2020,00:05:00,3.53,G
Flow_cfs,03/11/2020,00:05:00,3.71,G
Aliquot_Num,03/11/2020,00:05:00,27,G
PT South,03/11/2020,00:05:00,1.70,G
FlowVolume,03/11/2020,00:05:00,23789.21,G
PT North,03/11/2020,00:06:00,3.51,G
Flow_cfs,03/11/2020,00:06:00,3.67,G
PT South,03/11/2020,00:06:00,1.70,G
FlowVolume,03/11/2020,00:06:00,24009.57,G
PT North,03/11/2020,00:07:00,3.48,G
Flow_cfs,03/11/2020,00:07:00,3.62,G
PT South,03/11/2020,00:07:00,1.68,G
FlowVolume,03/11/2020,00:07:00,24226.70,G
PT North,03/11/2020,00:08:00,3.44,G
Flow_cfs,03/11/2020,00:08:00,3.55,G
PT South,03/11/2020,00:08:00,1.67,G
FlowVolume,03/11/2020,00:08:00,24439.53,G
PT North,03/11/2020,00:09:00,3.32,G
Flow_cfs,03/11/2020,00:09:00,3.33,G
PT South,03/11/2020,00:09:00,1.69,G
FlowVolume,03/11/2020,00:09:00,24639.44,G
PT North,03/11/2020,00:10:00,3.51,G
Flow_cfs,03/11/2020,00:10:00,3.67,G
Aliquot_Num,03/11/2020,00:10:00,27,G
PT South,03/11/2020,00:10:00,1.70,G
FlowVolume,03/11/2020,00:10:00,24859.79,G
PT North,03/11/2020,00:11:00,3.42,G
Flow_cfs,03/11/2020,00:11:00,3.51,G
PT South,03/11/2020,00:11:00,1.69,G
FlowVolume,03/11/2020,00:11:00,25070.47,G
PT North,03/11/2020,00:12:00,3.50,G
Flow_cfs,03/11/2020,00:12:00,3.65,G
PT South,03/11/2020,00:12:00,1.67,G
FlowVolume,03/11/2020,00:12:00,25289.75,G
